职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
文案策划, 7, 1, 运营, 编辑, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
文案策划, 10, 3, 运营, 编辑, 3W Coffee, 深圳, 本科, 15, 成长型, 移动互联网 · 招聘
文案策划, 6, 不, 运营, 编辑, 猪哼少, 杭州, 大专, 50, 成长型, 电子商务 · 其他
文案策划, 12, 1, 运营, 编辑, 脸脸, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
文案策划, 7, 1, 市场与销售, 市场/营销, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
文案策划, 5, 1, 运营, 编辑, 唯一网络, 东莞, 大专, 150, 成长型, 移动互联网 · 数据服务
文案策划, 6, 3, , 文案策划, 曲奇单车, 厦门, 大专, 50, 初创型, 移动互联网 · 硬件
文案策划, 10, 3, 运营, 编辑, 天行家, 深圳, 本科, 15, 初创型, O2O · 生活服务
文案策划, 6, 1, 运营, 编辑, 搜道网, 杭州, 大专, 50, 成长型, 电子商务 · 社交网络
文案策划, 6, 1, 运营, 编辑, 北京正义创新科技有限公司, 北京, 本科, 15, 初创型, 移动互联网
文案策划, 6, 1, 运营, 编辑, 笨瓜网, 上海, 大专, 15, 成长型, 电子商务
文案策划, 9, 1, 市场与销售, 市场/营销, 一起装修网, 北京, 大专, 150, 成长型, 电子商务 · O2O
文案策划, 5, 1, 运营, 编辑, 聚居网, 长沙, 学历不限, 15, 成长型, 移动互联网 · 硬件
文案策划, 6, 不, 运营, 编辑, 七煌, 上海, 本科, 150, 成长型, 游戏 · 文化娱乐
文案策划, 7, 1, 运营, 运营, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
文案策划, 6, 1, 运营, 编辑, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
文案策划, 6, 1, 运营, 运营, 卖客疯APP（宝尊电商旗下，纳斯达克上市公司）, 上海, 学历不限, 500, 上市公, 移动互联网 · 电子商务
文案策划, 5, 1, 运营, 编辑, 52校园, 郑州, 大专, 50, 成长型, 电子商务 · 金融
文案策划, 9, 1, 市场与销售, 市场/营销, 一准网, 上海, 本科, 15, 初创型, 电子商务 · 分类信息
文案策划, 9, 1, 运营, 编辑, Testin云测, 北京, 本科, 150, 成长型, 移动互联网
文案策划, 6, 不, 运营, 编辑, 时代互联科技有限公司, 珠海, 学历不限, 50, 成熟型, 移动互联网
文案策划, 6, 1, 运营, 编辑, 银盒宝成, 杭州, 大专, 50, 成长型, O2O
文案策划, 6, 1, 运营, 编辑, 周百通科技, 广州, 本科, 15, 成长型, 移动互联网 · O2O
文案策划, 5, 1, 运营, 编辑, eDoctor, 上海, 大专, 150, 成长型, 医疗健康 · 广告营销
文案策划, 4, 1, 运营, 编辑, 拉维斯, 福州, 大专, 50, 成长型, 移动互联网 · 文化娱乐
文案策划, 7, 不, 运营, 编辑, 轻松筹, 北京, 学历不限, 50, 成长型, 移动互联网 · 金融
文案策划, 4, 不, 运营, 编辑, 一零二四, 郑州, 学历不限, 15, 初创型, 移动互联网 · 企业服务
文案策划, 6, 1, 运营, 编辑, 中国121店, 杭州, 大专, 50, 成长型, 移动互联网 · O2O
文案策划, 5, 1, 运营, 编辑, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
文案策划, 4, 1, 运营, 编辑, 便利客智能科技, 济南, 本科, 15, 初创型, 移动互联网 · 生活服务
文案策划, 7, 1, 运营, 编辑, 珍岛集团, 上海, 大专, 500, 成长型, 移动互联网 · 广告营销
文案策划, 4, 1, 运营, 编辑, 易维帮助台, 成都, 大专, 50, 初创型, 移动互联网 · 企业服务
文案策划, 12, 1, 运营, 编辑, 蓝月亮, 广州, 本科, 2000, 成熟型, 生活服务
文案策划, 7, 1, 运营, 编辑, 独立日, 上海, 大专, 15, 初创型, O2O · 招聘
文案策划/内容编辑, 7, 不, 运营, 运营, 河马牙医, 上海, 本科, 15, 初创型, 医疗健康
文案策划, 11, 1, 运营, 编辑, 2144游戏网, 上海, 大专, 150, 初创型, 移动互联网 · 游戏
文案策划, 6, 1, 运营, 编辑, 千山药机, 长沙, 大专, 2000, 上市公, 医疗健康
文案策划, 8, 1, 市场与销售, 市场/营销, 车团网, 上海, 本科, 150, 成熟型, 移动互联网 · 电子商务
