职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
商家运营, 9, 1, 运营, 运营, 好有钱, 北京, 本科, 50, 成长型, 移动互联网 · 金融
商家运营, 12, 3, 运营, 运营, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
商家运营, 6, 1, 运营, 运营, 聚居网, 长沙, 大专, 15, 成长型, 移动互联网 · 硬件
商家运营, 12, 1, 运营, 运营, OKCoin, 北京, 大专, 150, 成长型, 移动互联网 · 金融
商家运营, 8, 1, 运营, 运营, 卖客疯APP（宝尊电商旗下，纳斯达克上市公司）, 上海, 本科, 500, 上市公, 移动互联网 · 电子商务
商家运营, 6, 1, 运营, 运营, 搜道网, 杭州, 大专, 50, 成长型, 电子商务 · 社交网络
商家运营, 7, 1, 运营, 运营, 聚工厂, 杭州, 本科, 50, 初创型, 移动互联网
商家运营, 6, 1, 运营, 运营, 银盒宝成, 杭州, 大专, 50, 成长型, O2O
商家运营, 15, 3, 运营, 运营, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
商家运营, 12, 1, 运营, 运营, 博奥颐和健康, 北京, 本科, 500, 成熟型, 移动互联网 · 医疗健康
商家运营, 7, 1, 运营, 运营, 大家网络, 厦门, 本科, 50, 初创型, 移动互联网 · 电子商务
商家运营, 5, 不, 运营, 运营, 美秒科技, 北京, 学历不限, 15, 成长型, 移动互联网 · 电子商务
商家运营, 8, 1, 运营, 运营, 会聚网, 广州, 大专, 50, 初创型, 移动互联网
商家运营, 5, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
商家运营, 6, 1年以, 运营, 运营, 呆呆阿卜, 苏州, 学历不限, 15, 初创型, 移动互联网 · O2O
商家运营, 25, 3, 运营, 运营, 九维网络科技, 深圳, 大专, 150, 成长型, 移动互联网 · 社交网络
商家运营, 4, 1, 运营, 运营, 产业通, 深圳, 学历不限, 15, 初创型, 移动互联网 · 电子商务
商家运营, 9, 1, 运营, 运营, 有赞, 郑州, 学历不限, 150, 成长型, 移动互联网 · 电子商务
商家运营, 7, 3, 运营, 运营, 商禾, 南京, 本科, 15, 初创型, 移动互联网 · 电子商务
商家运营, 7, 1, 运营, 运营, 丁丁租房, 北京, 本科, 2000, 成熟型, 移动互联网
商家运营, 4, 不, 运营, 运营, 神汽在线, 西安, 大专, 500, 成长型, 电子商务
商家运营, 25, 5, 运营, 运营, 美丽说, 广州, 大专, 500, 成熟型, 电子商务 · 移动互联网
商家运营, 4, 1, 运营, 运营, 安果, 北京, 大专, 15, 初创型, 移动互联网 · 游戏
