职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
内容运营, 7, 1, 运营, 运营, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
内容运营, 1, 不, 运营, 运营, 小肚皮App, 北京, 本科, 15, 成长型, 移动互联网
内容运营, 19, 1, 运营, 运营, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
内容运营, 11, 1, 运营, 运营, twinkle, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
内容运营, 5, 1, 运营, 运营, 挖豆app, 厦门, 大专, 15, 成长型, 移动互联网
内容运营, 6, 3, 运营, 运营, 灵犀金融, 杭州, 大专, 150, 上市公, 移动互联网 · 金融
内容运营, 2, 不, 运营, 运营, 棒呆Bon Day！, 上海, 学历不限, 15, 初创型, 教育 · 移动互联网
内容运营, 5, 应届毕业, 运营, 运营, 炫体, 上海, 大专, 15, 初创型, 移动互联网 · 社交网络
内容运营, 6, 1年以, 运营, 运营, 好实再商贸（深圳）有限公司, 深圳, 大专, 150, 成长型, 电子商务 · O2O
内容运营, 9, 1, 运营, 运营, 墨齐, 深圳, 本科, 15, 成长型, 移动互联网 · 教育
内容运营, 11, 1, 运营, 运营, 易保利, 深圳, 本科, 50, 成长型, 金融
内容运营, 6, 1, 运营, 运营, 充电网, 北京, 本科, 150, 成长型, 移动互联网 · O2O
内容运营, 6, 不, 运营, 运营, 搜道网, 杭州, 大专, 50, 成长型, 电子商务 · 社交网络
内容运营(实习生), 2, 不, 运营, 运营, 挖豆app, 厦门, 学历不限, 15, 成长型, 移动互联网
内容运营, 3, 应届毕业, 运营, 运营, 365日历, 北京, 本科, 50, 成长型, 移动互联网  · 社交网络
内容运营, 11, 3, 运营, 运营, 小圈, 上海, 本科, 50, 初创型, 移动互联网 · 社交网络
内容运营, 7, 1, 运营, 运营, 易加医, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
内容运营, 5, 1, 运营, 运营, 掌驭科技(小白用车), 深圳, 大专, 15, 初创型, O2O · 数据服务
内容运营, 5, 1, 运营, 运营, 美妆心得, 杭州, 大专, 50, 成长型, 移动互联网
内容运营, 15, 3, 运营, 运营, 八点半网络, 上海, 本科, 50, 成长型, 移动互联网 · 数据服务
内容运营, 5, 应届毕业, 运营, 运营, 东方财富, 上海, 本科, 500, 上市公, 金融
内容运营, 6, 1, 运营, 运营, 悟空找房, 上海, 本科, 500, 成长型, 移动互联网 · O2O
内容运营, 6, 1, 运营, 运营, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
内容运营, 10, 3, 运营, 运营, 畅捷通, 北京, 本科, 500, 上市公, 移动互联网 · 企业服务
内容运营（社区）, 11, 1, 运营, 运营, 空空狐, 北京, 本科, 15, 成长型, 移动互联网
内容运营, 7, 1, 运营, 运营, ARC, 北京, 本科, 15, 上市公, 移动互联网 · 广告营销
内容运营, 7, 不, 运营, 运营, 元因信息科技, 广州, 本科, 15, 初创型, 移动互联网 · 企业服务
内容运营, 9, 1, 运营, 运营, 人言, 杭州, 学历不限, 15, 初创型, 移动互联网 · 社交网络
内容运营, 2, 不, 运营, 运营, 云家政, 上海, 学历不限, 50, 成长型, O2O
内容运营（杭州）, 9, 1, 运营, 运营, 天天投, 杭州, 本科, 15, 成长型, 移动互联网 · 金融
内容运营, 3, 1, 运营, 运营, 点通智库, 宁波, 本科, 15, 初创型, O2O · 企业服务
内容运营, 7, 1, 运营, 运营, 众有科技, 上海, 学历不限, 50, 初创型, 移动互联网 · O2O
内容运营, 4, 1, 运营, 编辑, 度假派, 广州, 本科, 15, 初创型, 旅游
内容运营, 10, 1, 运营, 运营, REnexTop, 上海, 学历不限, 15, 初创型, 社交网络 · 文化娱乐
内容运营, 5, 1, 运营, 运营, 盛成网络（妈妈网）, 广州, 本科, 150, 成长型, 移动互联网 · 社交网络
内容运营, 5, 1, 运营, 运营, 百星文化, 广州, 大专, 50, 初创型, 电子商务 · 文化娱乐
内容运营, 10, 3, 运营, 运营, 华邦股份, 深圳, 大专, 150, 初创型, 移动互联网 · 数据服务
内容运营, 3, 不, 运营, 运营, 朔雨, 上海, 学历不限, 15, 初创型, 移动互联网 · O2O
内容运营, 7, 1, 运营, 运营, 快抢车, 杭州, 大专, 50, 成长型, 移动互联网
