职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
数据运营, 3, 1, 运营, 运营, 最鲜到, 长沙, 大专, 150, 成长型, O2O
数据运营, 6, 3, 运营, 运营, 灵犀金融, 杭州, 本科, 150, 上市公, 移动互联网 · 金融
数据运营, 4, 1, 运营, 运营, DMC 迪姆云, 广州, 大专, 15, 初创型, 移动互联网 · 电子商务
数据运营, 5, 1, 运营, 运营, 美菜网, 北京, 大专, 2000, 成熟型, 电子商务 · O2O
数据运营, 7, 1, 运营, 运营, 聚工厂, 杭州, 本科, 50, 初创型, 移动互联网
数据运营, 5, 1, 运营, 运营, 掌驭科技(小白用车), 深圳, 大专, 15, 初创型, O2O · 数据服务
数据运营, 10, 1, 运营, 运营, 360, 北京, 本科, 2000, 上市公, 移动互联网 · 游戏
数据运营, 2, 不, 运营, 运营, Uber Beijing, 青岛, 本科, 15, 成熟型, 移动互联网 · O2O
数据运营, 5, 不, 运营, 运营, 金卖网, 厦门, 大专, 50, 成长型, 移动互联网 · 电子商务
数据运营, 15, 5, 运营, 运营, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
数据运营, 3, 不, 运营, 运营, 易加医, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
数据运营, 10, 1, 运营, 运营, 一种生活, 深圳, 本科, 15, 初创型, 移动互联网 · 电子商务
数据运营, 6, 1, 运营, 运营, 途牛旅游网, 南京, 本科, 2000, 上市公, 电子商务 · 旅游
数据运营, 6, 1, 运营, 运营, 58赶集集团（斗米兼职）, 深圳, 大专, 150, 成长型, O2O
数据运营, 6, 1, 运营, 运营, 途牛旅游网, 南京, 本科, 2000, 上市公, 电子商务 · 旅游
数据运营, 6, 1, 运营, 运营, 途牛旅游网, 南京, 本科, 2000, 上市公, 电子商务 · 旅游
数据运营, 10, 1, 运营, 运营, 黄金岛, 深圳, 大专, 50, 成长型, 移动互联网 · 游戏
数据运营, 6, 1, 运营, 运营, 天舟, 北京, 本科, 500, 成熟型, 移动互联网
数据运营, 5, 1, 运营, 运营, 易直供, 南京, 大专, 150, 成长型, 移动互联网 · 电子商务
数据运营, 20, 3, 运营, 运营, 闻都集团, 上海, 本科, 50, 成长型, 金融 · 移动互联网
数据运营, 8, 1, 运营, 运营, 58同城, 天津, 本科, 2000, 上市公, O2O · 分类信息
数据运营, 8, 1, 运营, 运营, 北京搜房科技发展有限公司, 北京, 本科, 2000, 上市公, 移动互联网 · 金融
数据运营, 9, 1, 运营, 运营, 天梯卓越, 苏州, 大专, 15, 成长型, 其他
数据运营, 5, 不, 运营, 运营, 云声信息, 南京, 大专, 50, 初创型, 移动互联网 · 社交网络
数据运营, 8, 1, 运营, 运营, 58同城, 天津, 本科, 2000, 上市公, O2O · 分类信息
数据运营, 4, 1, 运营, 运营, 快狗速运 (GoGoVan), 武汉, 大专, 150, 成长型, 移动互联网 · O2O
数据运营, 6, 1, 运营, 运营, 多快好省, 厦门, 本科, 15, 初创型, 金融
数据运营, 3, 1, 运营, 运营, e袋洗, 武汉, 本科, 500, 成长型, O2O
数据运营, 22, 3, 运营, 运营, 快的打车, 杭州, 本科, 2000, 成熟型, 移动互联网
数据运营, 11, 1, 运营, 运营, 网易, 杭州, 本科, 2000, 上市公, 移动互联网 · 游戏
数据运营, 16, 3, 运营, 运营, 买衣爽, 上海, 硕士, 50, 成长型, 电子商务 · O2O
数据运营, 5, 1, 运营, 运营, TT快车, 深圳, 大专, 150, 成长型, 移动互联网 · O2O
数据运营, 5, 1, 运营, 运营, 合众力道, 北京, 本科, 15, 初创型, 移动互联网
数据运营, 8, 1, 运营, 运营, 随手科技, 深圳, 本科, 150, 成长型, 移动互联网 · 金融
数据运营, 11, 3, 运营, 运营, 正邦创意, 北京, 本科, 500, 成熟型, 移动互联网 · 广告营销
数据运营, 5, 1年以, 运营, 运营, 众感传媒, 无锡, 本科, 15, 初创型, 移动互联网 · 文化娱乐
数据运营, 6, 1, 运营, 运营, 美天科技, 重庆, 大专, 50, 初创型, 移动互联网
数据运营, 8, 1, 运营, 运营, 新浪乐居, 北京, 本科, 2000, 上市公, 电子商务  · 文化娱乐
数据运营, 45, 5, 运营, 运营, 好利58, 北京, 本科, 50, 成长型, 金融
