职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏运营, 4, 不, 运营, 运营, 宜搜, 深圳, 大专, 500, 成熟型, 移动互联网 · 游戏
游戏运营, 9, 1, 运营, 运营, 聚会玩, 上海, 本科, 15, 成长型, 移动互联网 · 游戏
游戏运营, 6, 不, 运营, 运营, 苏州乐米, 苏州, 大专, 50, 成长型, 游戏
游戏运营, 8, 1, 运营, 运营, 瑛麒动漫, 上海, 学历不限, 15, 成长型, 移动互联网 · 文化娱乐
游戏运营, 12, 3, 运营, 运营, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
游戏运营, 7, 不, 运营, 运营, 火之炎网游, 上海, 学历不限, 50, 成长型, 移动互联网 · 游戏
游戏运营, 3, 不, 运营, 运营, 颂图科技, 杭州, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏运营, 12, 1, 运营, 运营, 龙图游戏, 北京, 本科, 500, 成熟型, 游戏
游戏运营, 5, 不, 运营, 运营, 盛天网络, 武汉, 大专, 150, 成长型, 游戏 · 文化娱乐
游戏运营, 20, 1, 运营, 运营, 37游戏, 广州, 本科, 500, 上市公, 游戏
游戏运营, 4, 1, 运营, 运营, 奇葩互动, 武汉, 大专, 15, 初创型, 游戏 · 文化娱乐
游戏运营, 7, 不, 运营, 运营, 心界科技, 杭州, 大专, 15, 初创型, 移动互联网 · 电子商务
游戏运营, 4, 不, 运营, 运营, 掌世界, 长沙, 大专, 50, 上市公, 移动互联网
游戏运营(棋牌类游戏), 6, 1, 运营, 运营, 盛天网络, 武汉, 大专, 150, 成长型, 游戏 · 文化娱乐
游戏运营, 4, 不, 运营, 运营, 掌世界, 南京, 大专, 50, 上市公, 移动互联网
游戏运营, 7, 1, 运营, 运营, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
游戏运营, 8, 1, 运营, 运营, 上海傲介, 上海, 大专, 15, 初创型, 游戏
游戏运营, 3, 1, 运营, 运营, 掌游科技, 武汉, 大专, 50, 初创型, 移动互联网 · 游戏
游戏运营, 1, 1, 运营, 运营, 中软国际, 深圳, 大专, 2000, 上市公, 移动互联网 · 电子商务
游戏运营, 4, 不, 运营, 运营, 掌世界, 重庆, 大专, 50, 上市公, 移动互联网
游戏运营, 9, 不, 运营, 运营, 产品100, 成都, 学历不限, 15, 成长型, 企业服务 · 教育
游戏运营, 11, 1, 运营, 运营, 英雄互娱, 北京, 本科, 150, 成熟型, 移动互联网 · 游戏
游戏运营, 6, 1, 运营, 运营, 阿拉软件, 杭州, 大专, 500, 上市公, 移动互联网 · 电子商务
游戏运营, 11, 3, 运营, 运营, 英雄互娱, 北京, 本科, 150, 成熟型, 移动互联网 · 游戏
游戏运营, 6, 1, 运营, 运营, 卓动信息科技, 广州, 本科, 15, 初创型, 游戏
游戏运营, 4, 1, 运营, 运营, 掌动科技, 杭州, 大专, 50, 成长型, 游戏
游戏运营, 9, 1, 运营, 运营, 方趣网络, 上海, 本科, 15, 初创型, 游戏
游戏运营, 2, 不, 运营, 运营, 厦门万古网络科技有限公司, 厦门, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏运营, 2, 应届毕业, 运营, 运营, 厦门大黑科技有限公司, 厦门, 大专, 150, 成长型, 游戏
