职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
海外运营, 9, 不, 运营, 运营, 墨齐, 深圳, 本科, 15, 成长型, 移动互联网 · 教育
海外运营, 6, 1, , 电商产品经理, Mobisummer, 广州, 本科, 15, 初创型, 移动互联网 · 广告营销
海外运营, 5, 1, 运营, 运营, 郑州悉知, 郑州, 本科, 150, 初创型, 电子商务
海外运营, 12, 1, 运营, 运营, 战吼, 深圳, 学历不限, 15, 初创型, 移动互联网 · 社交网络
海外运营, 7, 3, 运营, 运营, 联接科技, 厦门, 大专, 15, 初创型, 移动互联网 · 电子商务
海外运营, 6, 1, 运营, 运营, 嗨米智能科技, 上海, 本科, 15, 初创型, 电子商务 · 移动互联网
海外运营, 6, 1, 运营, 运营, 踏浪者国际, 北京, 本科, 500, 成长型, 电子商务
海外运营, 8, 1, 运营, 运营, 速贸天下, 广州, 大专, 15, 初创型, 移动互联网 · 电子商务
海外运营, 4, 1, 运营, 运营, iSing, 成都, 大专, 50, 成长型, 移动互联网
海外运营/电商助理, 3, 1年以, 运营, 运营, 百美公司, 福州, 大专, 150, 成长型, 电子商务 · 其他
海外运营, 5, 不, 运营, 运营, 掌赢科技, 南京, 本科, 50, 初创型, 移动互联网 · 社交网络
海外运营, 12, 1, 运营, 运营, JoyCastle, 北京, 学历不限, 15, 初创型, 移动互联网 · 游戏
海外运营, 6, 1, 运营, 运营, 若溪科技, 成都, 大专, 15, 初创型, 社交网络 · 游戏
海外运营, 5, 1, 运营, 运营, 噶盖网络, 临沂, 本科, 15, 初创型, 移动互联网 · O2O
海外运营, 7, 不, 运营, 运营, 文思海辉, 无锡, 本科, 2000, 成熟型, 移动互联网 · 企业服务
海外运营, 12, 1, 运营, 运营, ElitesCastle, 北京, 学历不限, 15, 成长型, 移动互联网 · 游戏
