职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
用户运营, 7, 1, 运营, 运营, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
用户运营, 4, 1, 运营, 运营, 挖豆app, 厦门, 学历不限, 15, 成长型, 移动互联网
用户运营, 16, 3, 运营, 运营, 房多多, 深圳, 本科, 2000, 成熟型, 移动互联网 · O2O
用户运营, 6, 1, 运营, 运营, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
用户运营, 6, 1, 运营, 运营, 聚居网, 长沙, 大专, 15, 成长型, 移动互联网 · 硬件
用户运营, 7, 1, 运营, 运营, 好实再商贸（深圳）有限公司, 深圳, 大专, 150, 成长型, 电子商务 · O2O
用户运营, 10, 1, 运营, 运营, 小肚皮App, 北京, 学历不限, 15, 成长型, 移动互联网
用户运营, 6, 1, 运营, 运营, 搜道网, 杭州, 大专, 50, 成长型, 电子商务 · 社交网络
用户运营, 15, 3, 运营, 运营, 慧择网, 深圳, 大专, 500, 成长型, 移动互联网  · 电子商务
用户运营, 7, 1, 运营, 运营, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
用户运营, 9, 1, 运营, 运营, 泛微, 上海, 本科, 500, 成熟型, 移动互联网 · 企业服务
用户运营, 4, 不, 运营, 运营, 思可达, 苏州, 学历不限, 50, 成长型, 移动互联网 · 金融
用户运营, 5, 1, 运营, 运营, 杏树林, 北京, 本科, 150, 成长型, 移动互联网 · 医疗健康
用户运营, 4, 1, 运营, 运营, 圣仁康, 成都, 本科, 15, 初创型, 移动互联网 · 医疗健康
用户运营, 7, 1, 运营, 运营, 快课网, 上海, 本科, 15, 初创型, 移动互联网 · 教育
用户运营, 10, 1, 运营, 运营, Hortor Games, 北京, 学历不限, 15, 成长型, 移动互联网 · 游戏
用户运营, 9, 3, 运营, 运营, 易直供, 南京, 大专, 150, 成长型, 移动互联网 · 电子商务
用户运营, 5, 3, 运营, 运营, 美妆心得, 杭州, 大专, 50, 成长型, 移动互联网
用户运营, 3, 1, 运营, 运营, e袋洗, 武汉, 大专, 500, 成长型, O2O
用户运营, 4, 1, 运营, 运营, 叁疯, 厦门, 学历不限, 15, 初创型, 移动互联网 · 电子商务
用户运营, 12, 1, 运营, 运营, 乐心微动, 广州, 大专, 500, 成熟型, 移动互联网 · 硬件
用户运营, 5, 1, 运营, 运营, 兔狗科技, 杭州, 大专, 500, 成长型, 电子商务
用户运营, 6, 1, 运营, 运营, 青团社, 杭州, 学历不限, 50, 成长型, 移动互联网 · 招聘
用户运营, 10, 3, 运营, 运营, 会聚网, 广州, 大专, 50, 初创型, 移动互联网
