职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
运营专员, 7, 1, 市场与销售, 市场/营销, 名传, 上海, 大专, 50, 成长型, 电子商务 · 数据服务
运营助理, 5, 1, 职能, 行政, 蜜蜂银行, 北京, 大专, 150, 成长型, 金融
运营专员, 4, 1, 运营, 运营, 创客金融, 杭州, 大专, 50, 成长型, 移动互联网 · 金融
运营专员, 8, 1, 运营, 运营, 朗播网, 北京, 大专, 15, 成长型, 教育
运营专员, 7, 1, 运营, 运营, 炫体, 上海, 大专, 15, 初创型, 移动互联网 · 社交网络
运营专员, 10, 1, 市场与销售, 市场/营销, 金色家园科技, 北京, 本科, 500, 成熟型, O2O
运营专员, 7, 1, 运营, 运营, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
运营专员, 6, 不, 运营, 运营, 浙江鹰泊, 杭州, 大专, 50, 成熟型, 电子商务
运营专员, 7, 1, 运营, 运营, 北京搜房科技发展有限公司, 北京, 本科, 2000, 上市公, 移动互联网 · 金融
运营助理, 4, 应届毕业, 运营, 运营, 小萌科技, 杭州, 学历不限, 15, 初创型, 移动互联网
运营专员, 4, 1, 运营, 运营, 领壹科技, 苏州, 大专, 500, 成熟型, 移动互联网 · 金融
运营专员, 2, 1, 运营, 运营, 云帆世纪, 郴州, 大专, 50, 成长型, 数据服务
运营专员, 8, 3, 运营, 运营, 悠络客, 上海, 大专, 150, 成长型, 移动互联网
运营专员, 5, 1, 运营, 运营, 凯闻思, 重庆, 本科, 15, 初创型, 移动互联网 · 医疗健康
运营专员, 4, 不, 运营, 运营, 百度贴吧四川运营中心, 成都, 本科, 50, 初创型, 电子商务 · 企业服务
运营专员, 7, 1, 运营, 运营, 树熊网络, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
运营专员, 3, 1, 运营, 运营, 搜云科技, 长沙, 大专, 50, 初创型, 移动互联网 · 电子商务
运营专员, 4, 1, 运营, 运营, 联动天下, 佛山, 大专, 15, 初创型, 企业服务 · 数据服务
运营专员, 4, 1, 运营, 运营, 货拉拉手机软件公司, 惠州, 学历不限, 150, 成长型, 移动互联网 · O2O
运营专员, 4, 不, 运营, 运营, nonda 能塔智能, 上海, 本科, 15, 初创型, 移动互联网 · 硬件
运营专员, 4, 1, 运营, 运营, 591结婚网, 北京, 大专, 500, 成长型, O2O · 生活服务
运营专员, 4, 1, 运营, 运营, 货拉拉手机软件公司, 中山, 大专, 150, 成长型, 移动互联网 · O2O
运营专员, 6, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
运营专员, 8, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
运营专员, 7, 不, 运营, 运营, 中国保税网, 深圳, 大专, 15, 初创型, 电子商务 · O2O
运营专员, 3, 应届毕业, 运营, 运营, 微众, 成都, 大专, 50, 成长型, 金融 · 硬件
运营助理, 4, 不, 职能, 行政, 悟空找房, 上海, 大专, 500, 成长型, 移动互联网 · O2O
运营专员, 1, 应届毕业, 运营, 运营, 鹏信科技, 杭州, 本科, 50, 初创型, 移动互联网
运营专员, 6, 1, 运营, 运营, 新云联, 杭州, 本科, 50, 初创型, 电子商务 · O2O
运营专员, 6, 不, 运营, 运营, 联想利泰, 北京, 本科, 500, 初创型, 移动互联网 · 招聘
运营专员, 2, 1, 运营, 运营, 广西云尚, 南宁, 大专, 50, 成长型, 移动互联网 · 电子商务
运营专员, 8, 1, 运营, 运营, 指尖城市, 深圳, 本科, 50, 成长型, 移动互联网
运营专员, 5, 1, 运营, 运营, 亿超眼镜, 杭州, 大专, 50, 成长型, 电子商务 · O2O
运营专员, 5, 应届毕业, 运营, 运营, 木屋时代科技有限公司, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
运营专员, 7, 1, 运营, 运营, 她他社, 广州, 本科, 15, 初创型, 移动互联网 · 电子商务
运营专员, 4, 1, 运营, 运营, 天翼佳音, 成都, 大专, 150, 成长型, 移动互联网
运营专员, 6, 1, 运营, 运营, 中亿广告传媒（Billionmobi）, 珠海, 大专, 50, 初创型, 移动互联网
运营专员, 6, 1, 运营, 运营, 有顷网络, 杭州, 大专, 50, 成长型, 移动互联网
运营专员（客户下单）, 7, 不, 运营, 运营, 买个便宜货mgpyh, 上海, 学历不限, 15, 成长型, 电子商务 · 生活服务
运营专员, 9, 1, 运营, 运营, 易加医, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
运营专员, 7, 1, 运营, 运营, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
运营专员, 6, 1, 运营, 运营, 百美公司, 福州, 本科, 150, 成长型, 电子商务 · 其他
运营专员, 6, 1, 市场与销售, 销售, 中亿广告传媒（Billionmobi）, 珠海, 本科, 50, 初创型, 移动互联网
运营专员（体育）, 7, 应届毕业, 运营, 运营, 炫体, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
运营专员, 4, 不, 运营, 运营, 连你, 南宁, 学历不限, 50, 成长型, 移动互联网 · O2O
