职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
交互设计总监, 25, 3, 设计, 高端设计职位, 超客网络, 北京, 本科, 500, 成熟型, 社交网络
交互设计总监, 22, 不, 设计, 交互设计, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
交互设计总监, 29, 3, 设计, 高端设计职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
交互设计总监, 36, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
交互设计总监, 31, 5, 设计, 高端设计职位, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
交互设计总监, 6, 3, 设计, 高端设计职位, 熟店宝, 镇江, 本科, 50, 初创型, 移动互联网
交互设计总监, 30, 5, 设计, 高端设计职位, 浪淘金, 北京, 本科, 150, 成长型, 广告营销
交互设计总监, 31, 5, 设计, 高端设计职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
交互设计总监, 24, 3, 设计, 高端设计职位, 特赞|Tezign, 上海, 本科, 15, 初创型, 移动互联网
交互设计总监, 22, 5, 设计, 高端设计职位, 蝉鸣视觉, 北京, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
交互设计总监, 32, 5, 设计, 高端设计职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
交互设计总监, 25, 5, 设计, 高端设计职位, 卡惠, 北京, 本科, 15, 初创型, 移动互联网 · 金融
交互设计总监, 11, 3, 设计, 高端设计职位, IUV, 深圳, 本科, 15, 初创型, 移动互联网 · 教育
交互设计总监, 27, 3, 设计, 高端设计职位, 云来网络, 深圳, 本科, 150, 成长型, 移动互联网
交互设计总监, 18, 5, 设计, 高端设计职位, 一派, 南京, 本科, 50, 初创型, 移动互联网
交互设计总监, 30, 3, 设计, 高端设计职位, 卡行天下, 上海, 本科, 2000, 成熟型, 移动互联网
交互设计总监, 17, 3, 设计, 高端设计职位, 雷音科技, 广州, 本科, 15, 成长型, 移动互联网 · 游戏
交互设计总监, 31, 5, 设计, 高端设计职位, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
交互设计总监, 17, 1, 设计, 高端设计职位, 唯奥设计, 深圳, 大专, 15, 初创型, 移动互联网
交互设计总监, 27, 3, 设计, 高端设计职位, 细刻科技, 北京, 大专, 50, 初创型, 移动互联网 · 电子商务
交互设计总监, 12, 3, 设计, 高端设计职位, 微往, 苏州, 本科, 50, 成长型, 移动互联网 · 电子商务
交互设计总监, 22, 3, 设计, 高端设计职位, U26, 上海, 学历不限, 15, 初创型, 移动互联网
交互设计总监, 12, 1, 设计, 高端设计职位, 云晖科技, 成都, 本科, 50, 上市公, 移动互联网 · 游戏
交互设计总监, 22, 5, 设计, 高端设计职位, S.POINT指南设计, 上海, 本科, 15, 初创型, 企业服务
交互设计总监, 40, 3, 设计, 高端设计职位, 南电科技, 北京, 本科, 2000, 成熟型, 电子商务 · 数据服务
设计总监（以交互设计为主）, 12, 5, 设计, 交互设计, 盛唐, 青岛, 本科, 15, 初创型, 电子商务 · 广告营销
UE交互设计总监, 32, 3, 设计, 交互设计, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
UE交互, 22, 1, 设计, 交互设计, 畅捷通, 北京, 本科, 500, 上市公, 移动互联网 · 企业服务
前端开发工程师（交互）, 19, 1, 技术, 前端开发, 网贷之家, 上海, 大专, 150, 成长型, 金融
交互产品经理, 20, 3, 产品, 产品经理, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
高级交互工程师, 17, 3, 设计, 高端设计职位, 米么金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
