职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
视觉设计总监, 17, 3, 设计, 高端设计职位, 北京红缨教育, 北京, 本科, 150, 上市公, 教育
视觉设计总监, 32, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
视觉设计总监, 32, 5, 设计, 高端设计职位, 妈妈好, 杭州, 大专, 150, 初创型, 移动互联网 · 电子商务
视觉设计总监, 6, 1, 设计, 高端设计职位, 银桑天猫旗舰店, 杭州, 大专, 50, 成长型, 电子商务
视觉设计总监, 9, 3, 设计, 高端设计职位, 大秦互动, 西安, 本科, 15, 初创型, 移动互联网
视觉设计总监, 7, 3, 设计, 高端设计职位, 猫咪爱上鱼, 南京, 本科, 15, 初创型, O2O · 数据服务
视觉设计总监, 27, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
视觉设计总监, 14, 3, 设计, 高端设计职位, 盛郑网络, 深圳, 本科, 15, 初创型, 移动互联网
视觉设计总监, 30, 5, 设计, 高端设计职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
视觉设计总监, 32, 5, 设计, 高端设计职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
视觉设计总监, 8, 3, 设计, 高端设计职位, 畅想东方, 深圳, 大专, 15, 初创型, 文化娱乐
视觉设计总监, 9, 3, 设计, 高端设计职位, 双叶智木, 杭州, 大专, 15, 初创型, 电子商务 · O2O
视觉设计总监, 30, 5, 设计, 高端设计职位, 宁波雅购贸易有限公司, 杭州, 学历不限, 150, 初创型, 移动互联网 · O2O
视觉设计总监, 16, 5, 设计, 高端设计职位, 卷福, 北京, 本科, 15, 初创型, 电子商务 · O2O
视觉设计总监, 22, 3, 设计, 高端设计职位, 创意邦, 北京, 本科, 15, 初创型, 移动互联网 · 企业服务
视觉设计总监, 22, 3, 设计, 高端设计职位, 小鸟看看, 北京, 本科, 150, 成长型, 硬件 · 其他
视觉设计总监/经理, 32, 3, 设计, 高端设计职位, 么啊宝宝, 北京, 本科, 50, 成长型, 教育 · 硬件
视觉设计总监, 21, 5, 设计, 高端设计职位, 趣住啊, 上海, 本科, 15, 初创型, 移动互联网 · 旅游
视觉设计总监, 22, 3, 设计, 高端设计职位, 欢否, 北京, 本科, 15, 成长型, 移动互联网 · O2O
视觉设计总监, 12, 1, 设计, 高端设计职位, 创意邦, 北京, 本科, 15, 初创型, 移动互联网 · 企业服务
视觉设计总监, 10, 3, 设计, 高端设计职位, 寻美客公司, 北京, 学历不限, 15, 初创型, 文化娱乐 · 其他
视觉设计总监, 11, 不, 设计, 高端设计职位, 创意邦, 北京, 本科, 15, 初创型, 移动互联网 · 企业服务
视觉设计总监, 10, 3, 设计, 高端设计职位, 智惟高, 广州, 大专, 50, 初创型, 电子商务 · 教育
视觉设计总监, 12, 5, 设计, 视觉设计, 阿奴精油, 南京, 本科, 50, 初创型, 移动互联网 · 电子商务
视觉设计总监, 12, 3, 设计, 高端设计职位, 美筹科技, 杭州, 本科, 15, 初创型, 移动互联网 · O2O
视觉设计总监, 12, 3, 设计, 视觉设计, 掌柜攻略, 北京, 本科, 15, 初创型, 移动互联网 · O2O
视觉设计总监, 16, 5, 设计, 视觉设计, 威派实业, 上海, 大专, 50, 成长型, 电子商务
视觉设计总监, 22, 5, 设计, 高端设计职位, 途牛旅游网, 南京, 本科, 2000, 上市公, 电子商务 · 旅游
视觉设计总监, 17, 1, 设计, 高端设计职位, 唯奥设计, 深圳, 大专, 15, 初创型, 移动互联网
视觉设计总监, 15, 3, 设计, 高端设计职位, 谷美科技, 深圳, 大专, 15, 初创型, O2O
视觉设计总监, 10, 3, 设计, 高端设计职位, 优蓓教育, 郑州, 本科, 50, 成长型, 移动互联网 · 教育
视觉设计总监, 25, 3, 设计, 高端设计职位, 宝润兴业, 深圳, 大专, 150, 初创型, 电子商务 · 金融
视觉设计总监, 20, 5, 设计, 高端设计职位, 云策创意, 杭州, 大专, 15, 初创型, 移动互联网 · 电子商务
视觉设计总监, 12, 5, 设计, 视觉设计, 伶猫网, 广州, 本科, 50, 成长型, 移动互联网 · 电子商务
视觉设计总监, 9, 3, 设计, 高端设计职位, 医疗界, 郑州, 本科, 50, 初创型, 移动互联网 · 电子商务
视觉设计总监, 11, 5, 设计, 高端设计职位, 好设会广告电商服务平台, 深圳, 本科, 15, 初创型, 电子商务 · 文化娱乐
视觉设计总监, 25, 3, 设计, 视觉设计, 微信电影票, 北京, 大专, 500, 成熟型, 移动互联网 · 广告营销
视觉设计总监, 20, 5, 设计, 高端设计职位, 微糖, 北京, 本科, 15, 初创型, 移动互联网 · 电子商务
视觉设计总监, 21, 3, 设计, 高端设计职位, 易路, 上海, 学历不限, 50, 初创型, 移动互联网 · 金融
视觉设计总监, 10, 3, 设计, 高端设计职位, 花生居, 广州, 学历不限, 50, 成长型, 电子商务
视觉设计总监, 22, 5, 设计, 视觉设计, 创邻, 上海, 本科, 50, 成长型, 移动互联网 · 企业服务
视觉设计总监, 60, 5, 设计, 高端设计职位, 蓝地集团, 北京, 本科, 2000, 成熟型, O2O · 其他
设计总监, 22, 3, 设计, 高端设计职位, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
视觉设计总监, 22, 5, 设计, 高端设计职位, 火速移动, 北京, 本科, 50, 成长型, 移动互联网
设计总监, 12, 3, 设计, 高端设计职位, 好唱, 重庆, 本科, 150, 成长型, 移动互联网
视觉设计总监, 15, 3, 设计, 高端设计职位, 合力电商, 北京, 本科, 50, 初创型, 电子商务
设计总监/主美, 20, 不, 设计, 高端设计职位, 四楼无限, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
视觉设计总监, 32, 5, 设计, 视觉设计, 非礼物, 北京, 本科, 15, 初创型, 移动互联网 · 电子商务
视觉设计总监, 22, 1, 设计, 高端设计职位, 唐人, 北京, 学历不限, 15, 初创型, 移动互联网 · 教育
设计总监, 12, 3, 设计, 高端设计职位, 盛果网络, 成都, 大专, 15, 初创型, 移动互联网 · 电子商务
视觉设计总监, 9, 5, 设计, 视觉设计, 魔码传媒—传媒家网, 北京, 学历不限, 15, 初创型, 文化娱乐
