职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
交互设计师, 15, 3, 设计, 交互设计, 路路由, 上海, 学历不限, 150, 成长型, 移动互联网 · O2O
交互设计师, 9, 1, 设计, 交互设计, 湖南中清龙图, 长沙, 大专, 500, 成长型, 移动互联网 · 游戏
交互设计师, 15, 3, 设计, 交互设计, 电视淘宝, 杭州, 大专, 50, 成长型, 电子商务
交互设计师, 12, 1, 设计, 交互设计, 美赛达, 深圳, 大专, 150, 成熟型, 移动互联网 · 数据服务
交互设计师, 15, 3, 设计, 交互设计, 信壹网络, 深圳, 本科, 50, 成熟型, 移动互联网
交互设计师, 20, 3, 设计, 交互设计, 爱上租, 杭州, 大专, 500, 初创型, 移动互联网 · O2O
交互设计师, 8, 1, 设计, 交互设计, 曲奇单车, 厦门, 本科, 50, 初创型, 移动互联网 · 硬件
交互设计师, 15, 1, 设计, 交互设计, 贝贝网, 杭州, 本科, 500, 成熟型, 电子商务
交互设计师, 12, 1, 设计, 交互设计, 蓝月亮, 广州, 本科, 2000, 成熟型, 生活服务
交互设计师, 11, 不, 设计, 交互设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
交互设计师, 12, 1, 设计, 交互设计, 掌康科技, 杭州, 本科, 15, 成长型, 移动互联网 · 医疗健康
交互设计师, 9, 1, 设计, 交互设计, 聚居网, 长沙, 学历不限, 15, 成长型, 移动互联网 · 硬件
交互设计师, 12, 3, 设计, 交互设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
交互设计师（中级）, 10, 1, 设计, 交互设计, 最鲜到, 杭州, 本科, 150, 成长型, O2O
交互设计师, 13, 3, 设计, 交互设计, 聚贸, 杭州, 大专, 150, 成长型, 金融 · 电子商务
交互设计师, 11, 1, 设计, 交互设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
交互设计师, 22, 不, 设计, 交互设计, DJI大疆创新, 深圳, 本科, 2000, 初创型, 移动互联网 · 硬件
交互设计师（移动端）, 11, 1, 设计, 交互设计, 最鲜到, 杭州, 本科, 150, 成长型, O2O
交互设计师（PC端）, 11, 1, 设计, 交互设计, 最鲜到, 杭州, 本科, 150, 成长型, O2O
交互设计师, 8, 不, 设计, 交互设计, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
交互设计师, 18, 1, 设计, 交互设计, 人人行, 北京, 学历不限, 500, 成熟型, 移动互联网 · 金融
交互设计师, 8, 应届毕业, 设计, 交互设计, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
