职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
3D美术宣传设计师, 13, 1, 设计, 视觉设计, 莉莉丝游戏, 上海, 大专, 150, 成长型, 移动互联网 · 游戏
2D美术宣传设计师, 13, 不, 设计, 视觉设计, 莉莉丝游戏, 上海, 大专, 150, 成长型, 移动互联网 · 游戏
美编设计师（2D/3D）, 6, 1, 设计, 视觉设计, 达新 | 探宝 | 智检, 广州, 学历不限, 150, 成长型, 移动互联网
视频设计师（2D/3D）, 15, 1, 设计, 视觉设计, 美刻, 北京, 大专, 15, 成长型, 文化娱乐 · 移动互联网
三维设计师, 5, 1, 设计, 视觉设计, 易家纺, 杭州, 大专, 15, 初创型, 电子商务
3D设计师, 11, 3, 技术, 项目管理, 马良行, 上海, 大专, 50, 成长型, 移动互联网 · 电子商务
3D美术助理, 5, 应届毕业, 设计, 视觉设计, 幻世网络, 厦门, 学历不限, 50, 成长型, 移动互联网
3D设计师, 4, 1, 设计, 视觉设计, 广州市怡大广告设计有限公司, 广州, 大专, 500, 成熟型, 生活服务 · 移动互联网
2D角色高级设计师, 15, 不, 设计, 视觉设计, 网龙网络有限公司, 福州, 学历不限, 2000, 上市公, 移动互联网 · 教育
3D动作设计师, 11, 1, 设计, 视觉设计, 老K游戏, 广州, 大专, 150, 上市公, 游戏
2D场景高级设计师, 14, 不, 设计, 视觉设计, 网龙网络有限公司, 福州, 学历不限, 2000, 上市公, 移动互联网 · 教育
高级3D角色设计师, 12, 3, 设计, 视觉设计, 弘先网络科技, 广州, 大专, 50, 成长型, 移动互联网 · 游戏
2D原画设计师（需要提供作品）, 6, 1, 设计, 视觉设计, 火拉网络, 上海, 大专, 15, 初创型, 游戏
3D设计师, 9, 3, 设计, 视觉设计, 易讯理想科技, 北京, 本科, 50, 初创型, 移动互联网 · 广告营销
3D游戏场景设计师, 15, 不, 设计, 视觉设计, 心游科技, 珠海, 学历不限, 150, 初创型, 移动互联网 · 游戏
3D动作设计师, 11, 1, 设计, 视觉设计, 莉莉丝游戏, 上海, 大专, 150, 成长型, 移动互联网 · 游戏
3D动作设计师, 14, 1, 设计, 视觉设计, 龙图游戏, 北京, 学历不限, 500, 成熟型, 游戏
3D动作设计师, 12, 3, 设计, 视觉设计, 微漫网络, 上海, 本科, 15, 成长型, 移动互联网 · 社交网络
3D特效设计师, 6, 1, 设计, 视觉设计, 厦门九酷游戏, 厦门, 学历不限, 15, 初创型, 游戏
高级3D角色美术, 15, 3, 设计, 视觉设计, 腾讯, 北京, 学历不限, 2000, 上市公, 移动互联网
3D设计专员, 10, 1, 设计, 视觉设计, 海置科创, 北京, 本科, 15, 初创型, 企业服务
空间设计师, 15, 3, 设计, 视觉设计, OPPO, 深圳, 本科, 2000, 成熟型, 移动互联网
15618-游戏美术2D设计师（上海）, 24, 3, 设计, 视觉设计, 腾讯, 上海, 大专, 2000, 上市公, 移动互联网  · 游戏
3D角色设计师, 6, 1, 设计, 视觉设计, 厦门九酷游戏, 厦门, 学历不限, 15, 初创型, 游戏
3D设计师, 4, 1, 设计, 视觉设计, 易家工社, 厦门, 学历不限, 50, 初创型, 移动互联网 · 生活服务
3D场景设计师, 6, 1, 设计, 视觉设计, 点触, 厦门, 大专, 50, 初创型, 移动互联网 · 游戏
3d模型设计师, 7, 1, 设计, 视觉设计, 易视互动, 北京, 本科, 15, 初创型, 文化娱乐
设计, 15, 5, 设计, 交互设计, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
3D游戏设计师, 6, 1, 设计, 视觉设计, 启云软件, 合肥, 大专, 50, 初创型, 移动互联网
3D场景设计师, 10, 1, 设计, 视觉设计, 极光网络, 上海, 学历不限, 50, 成长型, 游戏
