职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏角色, 12, 1, 设计, 视觉设计, 第七天堂, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏角色, 9, 1, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏角色, 6, 应届毕业, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏角色, 12, 1, 设计, 视觉设计, 趣上科技, 深圳, 大专, 15, 初创型, 移动互联网 · 游戏
游戏角色, 4, 不, 设计, 视觉设计, 子涵科技, 秦皇岛, 学历不限, 15, 初创型, 企业服务
游戏角色, 13, 3, 设计, 视觉设计, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
游戏角色, 7, 1, 设计, 视觉设计, 上海预言软件有限公司成立于2003年，国内具有实力的第三方独立游戏开发公司, 杭州, 大专, 50, 成长型, 移动互联网
游戏角色, 7, 1, 设计, 视觉设计, 上海预言软件有限公司成立于2003年，国内具有实力的第三方独立游戏开发公司, 杭州, 大专, 50, 成长型, 移动互联网
游戏角色, 8, 1, 设计, 视觉设计, 石头兄弟网络科技, 北京, 学历不限, 15, 初创型, 移动互联网 · 社交网络
游戏角色, 5, 1, 设计, 视觉设计, 厦门六次方, 厦门, 大专, 15, 初创型, 移动互联网 · 游戏
游戏角色, 7, 1, 设计, 视觉设计, 广州市仁大信息科技有限公司, 广州, 学历不限, 50, 初创型, 游戏 · 硬件
游戏角色, 6, 1, 设计, 视觉设计, 武汉大地兄弟科技有限公司, 武汉, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏角色, 12, 不, 设计, 视觉设计, 七酷网络, 无锡, 学历不限, 500, 上市公, 游戏
游戏角色, 11, 3, 设计, 视觉设计, 上海3A游戏, 上海, 大专, 15, 初创型, 游戏
游戏角色, 10, 3, 设计, 视觉设计, 丝路集团, 深圳, 本科, 500, 成熟型, 文化娱乐
游戏角色, 12, 1, 设计, 视觉设计, 上海石湖网络科技有限公司, 上海, 大专, 50, 初创型, 游戏
游戏角色, 6, 1, 设计, 视觉设计, 武汉像素工坊, 武汉, 学历不限, 15, 初创型, 游戏 · 其他
游戏角色, 6, 1, 设计, 视觉设计, 山东动量影视技术有限公司, 济南, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏角色, 11, 3, 设计, 视觉设计, 苏州3A游戏, 苏州, 学历不限, 15, 初创型, 游戏
游戏角色, 6, 1, 设计, 视觉设计, 东方国龙, 杭州, 大专, 50, 成长型, 电子商务 · 文化娱乐
游戏角色, 13, 3, 设计, 视觉设计, 游龙互动, 深圳, 大专, 50, 初创型, 游戏
游戏角色, 8, 不, 设计, 视觉设计, 蜜柚, 北京, 学历不限, 15, 成长型, 移动互联网 · 游戏
游戏角色(2D角色设计师), 7, 1, 设计, 视觉设计, 非奇科技, 杭州, 本科, 50, 初创型, 移动互联网 · 游戏
游戏角色, 16, 不, 设计, 视觉设计, 蓝港互动集团, 北京, 学历不限, 500, 上市公, 游戏
游戏角色, 11, 1, 设计, 视觉设计, 上海望乘, 上海, 学历不限, 15, 初创型, 电子商务 · 其他
游戏角色模型, 11, 1, 设计, 视觉设计, 胡莱游戏, 厦门, 学历不限, 500, 初创型, 游戏
3D游戏角色, 15, 不, 设计, 视觉设计, 深圳比麟科技, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏角色模型, 10, 3, 设计, 视觉设计, 觉醒, 深圳, 学历不限, 50, 成长型, 游戏
3D游戏角色, 12, 1, 设计, 视觉设计, 上海敬游软件, 上海, 大专, 50, 成长型, 游戏
游戏角色动作, 7, 1, 设计, 视觉设计, 朋万科技, 成都, 大专, 50, 成长型, 游戏
3D游戏角色, 7, 1, 设计, 视觉设计, 进画论, 广州, 大专, 50, 成熟型, 其他
游戏角色原画, 11, 3, 设计, 视觉设计, 上海敬游软件, 上海, 学历不限, 50, 成长型, 游戏
资深游戏角色原画, 22, 3, 设计, 视觉设计, 网易游戏, 广州, 学历不限, 2000, 上市公, 游戏
游戏角色组长, 15, 3, 设计, 视觉设计, 丝路集团, 深圳, 本科, 500, 成熟型, 文化娱乐
3D游戏角色, 12, 1, 设计, 视觉设计, 格游网络, 北京, 大专, 15, 初创型, 游戏
3D游戏角色, 11, 1, 设计, 视觉设计, 骏梦游戏, 上海, 大专, 150, 上市公, 游戏
3D游戏角色, 11, 3, 设计, 视觉设计, 骏梦游戏, 上海, 大专, 150, 上市公, 游戏
游戏角色原画, 12, 3, 设计, 视觉设计, 若水网络, 苏州, 大专, 50, 初创型, 游戏
游戏角色原画师, 7, 不, 设计, 视觉设计, 凡跃集团, 广州, 大专, 500, 成熟型, 移动互联网 · 游戏
