职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏场景, 11, 不, 设计, 视觉设计, 四楼无限, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏场景, 15, 3, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
游戏场景, 7, 不, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
游戏场景, 9, 1, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏场景, 10, 1, 设计, 视觉设计, LuciolaGames, 广州, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏场景, 15, 1, 设计, 视觉设计, 深圳比麟科技, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏场景, 4, 1, 设计, 视觉设计, 三生石, 郑州, 大专, 50, 成长型, 移动互联网 · 游戏
游戏场景, 7, 3, 设计, 视觉设计, 深圳蜂与鸟, 深圳, 大专, 15, 初创型, 移动互联网 · 电子商务
游戏场景, 6, 应届毕业, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏场景, 12, 1, 设计, 视觉设计, 趣上科技, 深圳, 大专, 15, 初创型, 移动互联网 · 游戏
游戏场景, 5, 1, 设计, 视觉设计, 美任文化, 南京, 大专, 15, 成长型, 游戏 · 文化娱乐
游戏场景, 10, 1, 设计, 视觉设计, 火舞游戏, 广州, 学历不限, 50, 成长型, 游戏
游戏场景, 10, 1, 设计, 视觉设计, LuciolaGames, 广州, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏场景, 6, 1, 设计, 视觉设计, 合肥乐堂动漫, 合肥, 大专, 150, 初创型, 游戏
游戏场景, 7, 1, 设计, 视觉设计, 上海预言软件有限公司成立于2003年，国内具有实力的第三方独立游戏开发公司, 杭州, 大专, 50, 成长型, 移动互联网
游戏场景, 10, 1, 设计, 视觉设计, 浙江冰峰, 杭州, 学历不限, 50, 初创型, 游戏
游戏场景, 11, 1, 设计, 视觉设计, 易帆互动, 深圳, 大专, 50, 成长型, 移动互联网 · 游戏
游戏场景(3D), 7, 1, 设计, 视觉设计, 风际游戏, 成都, 大专, 150, 初创型, 移动互联网 · 游戏
游戏场景, 6, 1, 设计, 视觉设计, 漫谷, 重庆, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏场景, 13, 1, 设计, 视觉设计, 果核科技, 厦门, 大专, 15, 成长型, 移动互联网
游戏场景, 17, 3, 设计, 视觉设计, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
游戏场景, 6, 不, 技术, 移动开发, 沙盒网络, 珠海, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏场景, 7, 1, 设计, 视觉设计, 锐威科技, 武汉, 大专, 15, 初创型, 移动互联网 · 游戏
游戏场景, 4, 不, 设计, 视觉设计, Rinzz Mobile Games, 长沙, 大专, 15, 初创型, 移动互联网 · 游戏
游戏场景, 6, 1, 设计, 视觉设计, 南京炫佳网络科技有限公司, 南京, 大专, 15, 初创型, 金融 · 文化娱乐
游戏场景, 5, 1, 设计, 视觉设计, 阿达游戏, 无锡, 大专, 50, 初创型, 移动互联网 · 游戏
游戏场景, 6, 1, 设计, 视觉设计, 武汉大地兄弟科技有限公司, 武汉, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏场景, 8, 1, 设计, 视觉设计, 领钧技术, 北京, 大专, 150, 初创型, 移动互联网 · 文化娱乐
游戏场景, 6, 不, 设计, 视觉设计, 国百公司, 淮南, 大专, 15, 初创型, 电子商务
游戏场景, 6, 不, 设计, 视觉设计, 沙盒网络, 珠海, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏场景, 5, 不, 设计, 视觉设计, 至乐天下, 北京, 学历不限, 15, 初创型, 移动互联网
游戏场景, 7, 1, 设计, 视觉设计, 上海魔泊网络科技有限公司, 上海, 大专, 15, 成长型, 游戏
游戏场景, 6, 1, 设计, 视觉设计, 武汉像素工坊, 武汉, 学历不限, 15, 初创型, 游戏 · 其他
游戏场景, 12, 不, 设计, 视觉设计, 酷橙游戏, 上海, 本科, 15, 成长型, 游戏
游戏场景, 6, 1, 设计, 视觉设计, 合肥乐堂动漫, 合肥, 大专, 150, 初创型, 游戏
游戏场景, 5, 1, 设计, 视觉设计, 武汉博润通, 武汉, 大专, 150, 上市公, 移动互联网 · 文化娱乐
游戏场景, 19, 5, 设计, 视觉设计, 灵动时空, 北京, 学历不限, 50, 成长型, 移动互联网 · 游戏
游戏场景, 7, 1, 设计, 视觉设计, 跳动游戏, 广州, 学历不限, 15, 成长型, 游戏
游戏场景, 6, 不, 设计, 视觉设计, 木偶游戏, 北京, 学历不限, 50, 成长型, 游戏
游戏场景, 7, 不, 设计, 视觉设计, 软星科技广州分部, 广州, 学历不限, 15, 初创型, 游戏
游戏场景, 7, 1, 设计, 视觉设计, 成都盛焱科技, 成都, 大专, 15, 初创型, 游戏
游戏场景, 10, 1, 设计, 视觉设计, 丝路集团, 深圳, 本科, 500, 成熟型, 文化娱乐
游戏场景, 1, 不, 设计, 视觉设计, 麦积文化, 上海, 学历不限, 15, 成熟型, 移动互联网
游戏场景, 9, 1, 设计, 视觉设计, 奇点星空, 北京, 大专, 15, 成长型, 游戏
游戏场景, 17, 1, 设计, 视觉设计, 北京飞流九天科技有限公司, 北京, 大专, 150, 成熟型, 移动互联网 · 游戏
游戏场景, 12, 1, 设计, 视觉设计, 上海石湖网络科技有限公司, 上海, 大专, 50, 初创型, 游戏
