职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
多媒体设计师, 10, 3, 设计, 视觉设计, 心铭舍, 深圳, 学历不限, 15, 初创型, 企业服务 · 广告营销
多媒体设计师, 4, 1, 设计, 视觉设计, 学府考研, 西安, 大专, 500, 初创型, 教育
多媒体设计师, 7, 3, 设计, 视觉设计, 720科技, 福州, 大专, 15, 初创型, 移动互联网 · 金融
多媒体设计师, 6, 1, 设计, 视觉设计, 思微, 深圳, 本科, 15, 成长型, 其他
多媒体设计师, 3, 不, 设计, 视觉设计, 通融财富, 东莞, 学历不限, 15, 初创型, 金融
多媒体设计师, 10, 1, 设计, 视觉设计, 多拍科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 社交网络
多媒体设计师, 7, 1, 设计, 视觉设计, 奥鹏教育, 北京, 大专, 500, 成熟型, 移动互联网 · 教育
多媒体设计师, 4, 1, 设计, 视觉设计, 清众教育, 北京, 本科, 15, 成长型, 移动互联网 · 教育
多媒体设计师, 7, 1, 设计, 视觉设计, 壹读, 北京, 学历不限, 50, 成长型, 文化娱乐
多媒体设计师, 5, 1, 设计, 视觉设计, 立志成为瑜伽行业最具影响力品牌, 北京, 本科, 15, 初创型, 移动互联网
多媒体设计师, 6, 1, 设计, 视觉设计, 灵通传媒, 苏州, 本科, 50, 初创型, 广告营销 · 文化娱乐
多媒体设计师, 10, 1, 设计, 视觉设计, 多拍科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 社交网络
多媒体设计师, 8, 1, 设计, 视觉设计, 金证股份, 深圳, 大专, 2000, 上市公, 金融
多媒体设计师, 6, 不, 设计, 视觉设计, 云农场, 北京, 本科, 500, 成长型, 电子商务
多媒体设计师, 5, 1, 设计, 视觉设计, 广州易纬, 广州, 大专, 50, 初创型, 其他 · 企业服务
多媒体设计师, 7, 1, 设计, 视觉设计, 和智传信, 北京, 本科, 50, 初创型, 移动互联网 · 广告营销
多媒体设计师, 6, 1, 设计, 视觉设计, 德邻, 宁波, 大专, 15, 初创型, 移动互联网 · 金融
多媒体设计师, 7, 不, 设计, 视觉设计, Change, 上海, 学历不限, 15, 初创型, 移动互联网
多媒体设计师, 4, 不, 设计, 视觉设计, 新媒体，创业服务，技术创新型, 无锡, 学历不限, 15, 初创型, 移动互联网 · 教育
多媒体设计师, 6, 1, 设计, 视觉设计, 和众世纪, 深圳, 大专, 50, 成长型, 电子商务 · O2O
多媒体设计师, 4, 不, 设计, 视觉设计, 新媒体，创业服务，技术创新型, 无锡, 学历不限, 15, 初创型, 移动互联网 · 教育
