职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
平面设计师, 7, 1, 设计, 视觉设计, 正邦创意, 上海, 大专, 500, 成熟型, 移动互联网 · 广告营销
平面设计师, 6, 1, 设计, 视觉设计, 爱上租, 杭州, 大专, 500, 初创型, 移动互联网 · O2O
平面设计师（出版印刷）, 12, 1, 设计, 视觉设计, 百词斩, 成都, 学历不限, 50, 成长型, 移动互联网 · 教育
平面设计师（新媒体）, 12, 1, 设计, 视觉设计, 百词斩, 成都, 本科, 50, 成长型, 移动互联网 · 教育
平面设计师, 6, 1, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
平面设计师, 8, 3, 设计, 视觉设计, 曲奇单车, 厦门, 本科, 50, 初创型, 移动互联网 · 硬件
平面设计师, 12, 不, 设计, 视觉设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
平面设计师, 11, 3, 设计, 视觉设计, 汇通天下, 北京, 本科, 500, 成熟型, 移动互联网 · 数据服务
平面设计师, 10, 1, 设计, 视觉设计, Voyageone, 上海, 本科, 150, 成长型, 电子商务
平面设计师, 11, 1, 设计, 视觉设计, 七煌, 上海, 学历不限, 150, 成长型, 游戏 · 文化娱乐
平面设计师, 12, 1, 设计, 视觉设计, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
平面设计师, 11, 3, 设计, 视觉设计, 正邦创意, 上海, 大专, 500, 成熟型, 移动互联网 · 广告营销
平面设计师, 11, 3, 设计, 视觉设计, 哔哩哔哩, 上海, 大专, 150, 初创型, 移动互联网 · 文化娱乐
平面设计师, 10, 1, 设计, 视觉设计, ickey, 上海, 大专, 150, 成长型, 电子商务
平面设计师, 6, 1, 设计, 视觉设计, 十月妈咪, 上海, 本科, 500, 成长型, 电子商务
平面设计师, 8, 1, 设计, 视觉设计, 中科金石, 长沙, 本科, 15, 初创型, 移动互联网 · O2O
平面设计师, 11, 1, 设计, 视觉设计, 魅族, 珠海, 本科, 2000, 成长型, 移动互联网 · 硬件
平面设计师, 7, 1, 设计, 视觉设计, 齐家网, 上海, 大专, 2000, 成熟型, O2O  · 生活服务
平面设计师, 8, 1, 设计, 视觉设计, 清科集团, 北京, 本科, 500, 成熟型, 金融
平面设计师, 8, 不, 设计, 视觉设计, 美的集团总部流程IT, 深圳, 学历不限, 2000, 上市公, 硬件
平面设计师, 4, 不, 设计, 视觉设计, 要出发, 合肥, 本科, 500, 成熟型, 电子商务 · 生活服务
平面设计师, 20, 1, 设计, 视觉设计, 买好车, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
平面设计师, 7, 1, 设计, 视觉设计, 巨涟金融, 上海, 大专, 50, 成长型, 金融
平面设计师, 15, 1, 设计, 视觉设计, 一度用车, 北京, 本科, 50, 成长型, 移动互联网
平面设计师, 7, 1, 设计, 视觉设计, 嘴角, 上海, 大专, 15, 初创型, 移动互联网 · 生活服务
平面设计师, 4, 1, 设计, 视觉设计, 聚工厂, 杭州, 学历不限, 50, 初创型, 移动互联网
平面设计师, 11, 1, 设计, 视觉设计, 红演圈, 北京, 本科, 50, 成长型, 移动互联网
平面设计师, 7, 不, 设计, 视觉设计, 微笑科技, 北京, 本科, 15, 初创型, 移动互联网 · 游戏
平面设计师, 8, 1, 设计, 视觉设计, POP时尚网络机构, 上海, 大专, 500, 成长型, 移动互联网 · 电子商务
平面设计师, 5, 不, 设计, 视觉设计, 无锡新格尔软件有限公司, 上海, 学历不限, 50, 成长型, O2O
平面设计师, 7, 1, 设计, 视觉设计, 元气弹, 上海, 本科, 15, 成长型, 社交网络
