职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
原画师/动画师, 7, 不, 设计, 视觉设计, 小肚皮App, 北京, 学历不限, 15, 成长型, 移动互联网
原画师, 22, 5, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
原画师, 22, 5, 设计, 视觉设计, 火之炎网游, 上海, 学历不限, 50, 成长型, 移动互联网 · 游戏
原画师, 14, 3, 设计, 视觉设计, 洋葱数学, 北京, 学历不限, 50, 成长型, 移动互联网 · 教育
原画师, 8, 1, 设计, 视觉设计, 热岛科技, 重庆, 大专, 50, 成长型, 移动互联网 · 游戏
原画师, 15, 1, 设计, 视觉设计, 凡游funyou, 杭州, 本科, 15, 初创型, 游戏
原画师, 11, 1, 设计, 视觉设计, 领壹科技, 广州, 大专, 500, 成熟型, 移动互联网 · 金融
原画师, 9, 1, 设计, 视觉设计, 云声信息, 南京, 大专, 50, 初创型, 移动互联网 · 社交网络
原画师, 12, 5, 设计, 视觉设计, 爱智游, 成都, 本科, 15, 初创型, 教育 · 游戏
原画师, 12, 不, 设计, 视觉设计, 杭州当歌网络科技有限公司, 杭州, 大专, 15, 初创型, 游戏
原画师, 7, 3, 设计, 视觉设计, 奇葩互动, 武汉, 本科, 15, 初创型, 游戏 · 文化娱乐
原画师, 7, 1, 设计, 视觉设计, BHB, 重庆, 学历不限, 15, 初创型, 文化娱乐 · 游戏
原画师, 9, 1, 设计, 视觉设计, 韬图教育, 上海, 学历不限, 50, 成长型, 教育
原画师, 6, 应届毕业, 设计, 视觉设计, 句多网络, 上海, 学历不限, 15, 初创型, 游戏
原画师, 6, 1, 设计, 视觉设计, 两点十分文化, 武汉, 大专, 50, 成长型, 游戏 · 文化娱乐
原画师（主美）, 22, 不, 设计, 视觉设计, 火之炎网游, 上海, 学历不限, 50, 成长型, 移动互联网 · 游戏
原画师, 22, 5, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
原画师, 9, 1, 设计, 视觉设计, 蓝铅笔, 杭州, 大专, 50, 成长型, 教育
原画师, 12, 不, 设计, 视觉设计, Tap4Fun, 成都, 大专, 150, 初创型, 移动互联网 · 游戏
原画师, 3, 1, 设计, 视觉设计, 毛豆科技, 北京, 学历不限, 15, 成长型, 游戏 · 教育
原画师, 9, 3, 设计, 视觉设计, 吉比特, 厦门, 大专, 150, 成长型, 游戏
原画师, 6, 不, 设计, 视觉设计, C2fun, 苏州, 大专, 50, 成长型, 移动互联网 · 游戏
原画师, 15, 3, 设计, 视觉设计, 趣上科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 游戏
原画师, 6, 1, 设计, 视觉设计, 艾文凯迪, 中山, 大专, 50, 成长型, O2O · 数据服务
原画师（场景）, 12, 3, 设计, 视觉设计, 乐焰网络, 上海, 学历不限, 15, 初创型, 游戏
原画师, 7, 不, 设计, 视觉设计, 杭州至美, 杭州, 大专, 50, 初创型, 电子商务
原画师, 7, 3, 设计, 视觉设计, 深圳蜂与鸟, 深圳, 大专, 15, 初创型, 移动互联网 · 电子商务
原画师, 6, 1, 设计, 视觉设计, 漫谷, 重庆, 学历不限, 15, 初创型, 移动互联网 · 游戏
原画师, 6, 1, 设计, 视觉设计, icon, 广州, 学历不限, 15, 初创型, 移动互联网 · 游戏
原画师, 11, 3, 设计, 视觉设计, 唯你网, 厦门, 学历不限, 150, 成长型, 企业服务 · 移动互联网
原画师, 18, 3, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
原画师（角色原画 主美基本）, 22, 不, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
原画师, 6, 1, 设计, 视觉设计, icon, 广州, 大专, 15, 初创型, 移动互联网 · 游戏
原画师, 7, 1, 设计, 视觉设计, 卡米文化, 常州, 本科, 50, 成长型, 文化娱乐 · 游戏
原画师, 4, 不, 设计, 视觉设计, Rinzz Mobile Games, 长沙, 大专, 15, 初创型, 移动互联网 · 游戏
原画师, 7, 1, 设计, 视觉设计, 广州易幻, 广州, 大专, 500, 成熟型, 游戏
原画师, 6, 1, 设计, 视觉设计, 杭州思量信息技术有限公司, 杭州, 大专, 50, 成长型, 移动互联网 · 电子商务
原画师, 5, 1, 设计, 视觉设计, 漫乐科技有限公司, 成都, 学历不限, 15, 初创型, 游戏
原画师, 15, 3, 设计, 视觉设计, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
原画师, 5, 1, 设计, 视觉设计, 一路乐旅游, 武汉, 大专, 50, 成长型, 移动互联网 · 旅游
原画师, 4, 不, 设计, 视觉设计, 好未来（原学而思）, 天津, 大专, 2000, 上市公, 移动互联网 · 教育
原画师, 17, 3, 设计, 视觉设计, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
原画师, 6, 1, 设计, 视觉设计, 武汉大地兄弟科技有限公司, 武汉, 学历不限, 15, 初创型, 游戏 · 移动互联网
原画师, 17, 3, 设计, 视觉设计, 苏州曜石互动网络科技, 上海, 学历不限, 15, 成长型, 游戏
原画师, 12, 1, 设计, 视觉设计, 咪修游戏, 西安, 本科, 15, 初创型, 游戏
原画师, 7, 3, 设计, 视觉设计, Tap4Fun, 成都, 大专, 150, 初创型, 移动互联网 · 游戏
原画师（插画师）, 7, 不, 设计, 视觉设计, 女魔头, 北京, 学历不限, 15, 初创型, 电子商务 · O2O
原画师, 6, 1, 设计, 视觉设计, StarArt, 厦门, 大专, 150, 初创型, 移动互联网
原画师, 7, 1, 设计, 视觉设计, 灏翔, 广州, 大专, 50, 成长型, 游戏
原画师, 15, 3, 设计, 视觉设计, 剑心, 珠海, 学历不限, 150, 初创型, 移动互联网 · 游戏
原画师, 6, 不, 设计, 视觉设计, StarArt, 厦门, 学历不限, 150, 初创型, 移动互联网
原画师, 8, 1, 设计, 视觉设计, 龙沧文化, 上海, 学历不限, 50, 初创型, 文化娱乐
原画师, 7, 1, 设计, 视觉设计, 艾塔科技, 成都, 大专, 15, 初创型, 移动互联网
原画师, 19, 3, 设计, 视觉设计, 北京智能管家科技有限公司, 北京, 学历不限, 150, 成长型, 硬件
原画师, 7, 1, 设计, 视觉设计, 乐乎互动, 北京, 大专, 15, 初创型, 移动互联网
原画师, 4, 应届毕业, 设计, 视觉设计, 宣诚科技, 杭州, 大专, 15, 上市公, 游戏
高级原画师, 11, 3, 设计, 视觉设计, 博瑞游戏, 成都, 大专, 150, 上市公, 游戏
原画师, 6, 1, 设计, 视觉设计, 超线程科技, 重庆, 大专, 50, 成长型, 游戏
原画师, 11, 1, 设计, 视觉设计, 博游网络, 上海, 大专, 50, 成长型, 游戏
原画师, 11, 1, 设计, 视觉设计, 乐卓网络, 上海, 大专, 150, 上市公, 移动互联网 · 游戏
原画师, 7, 1, 设计, 视觉设计, 彼索, 成都, 学历不限, 50, 成长型, 游戏
原画师, 10, 不, 设计, 视觉设计, 新爵, 杭州, 大专, 15, 初创型, 移动互联网
原画师, 5, 1, 设计, 视觉设计, 深圳和聚, 深圳, 本科, 15, 初创型, 移动互联网
原画师, 6, 不, 设计, 视觉设计, 酷软软件, 成都, 本科, 15, 初创型, 移动互联网
原画师, 6, 1, 设计, 视觉设计, 昭泰文化, 西安, 大专, 50, 成长型, 电子商务 · 文化娱乐
原画师, 9, 1, 设计, 视觉设计, 思享科技, 成都, 学历不限, 50, 成长型, 游戏
原画师, 20, 1, 设计, 视觉设计, 酷橙游戏, 上海, 本科, 15, 成长型, 游戏
原画师, 4, 不, 设计, 视觉设计, 蓝血文化科技, 杭州, 大专, 15, 初创型, 电子商务
原画师, 3, 1, 设计, 视觉设计, 赤灵（blazors）, 上海, 大专, 15, 初创型, 游戏 · 文化娱乐
场景原画师, 7, 3, 设计, 视觉设计, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
原画师, 6, 1, 设计, 视觉设计, 酷骇科技, 广州, 大专, 15, 初创型, 移动互联网 · 游戏
原画师, 7, 1, 设计, 视觉设计, 闪翼游戏, 北京, 大专, 15, 初创型, 移动互联网 · 游戏
原画师, 7, 1, 设计, 视觉设计, 壹读, 北京, 学历不限, 50, 成长型, 文化娱乐
原画师, 9, 1, 设计, 视觉设计, 青岛超联网, 青岛, 本科, 500, 成熟型, 移动互联网 · 游戏
角色原画师, 10, 1, 设计, 视觉设计, 胡莱游戏, 厦门, 学历不限, 500, 初创型, 游戏
原画师, 9, 1, 设计, 视觉设计, 6637, 广州, 大专, 50, 初创型, 游戏
原画师, 4, 1, 设计, 视觉设计, 苏州随身玩, 苏州, 大专, 15, 成长型, 移动互联网 · 游戏
原画师, 18, 3, 设计, 视觉设计, 网易游戏, 广州, 大专, 2000, 上市公, 游戏
原画师, 6, 1, 设计, 视觉设计, 壹山藏整合营销, 常州, 大专, 50, 成长型, 广告营销 · 文化娱乐
原画师, 4, 不, 设计, 视觉设计, 精深联合, 厦门, 学历不限, 50, 成长型, 游戏
原画师, 7, 3, 设计, 视觉设计, 勤路软件（Luckyo）, 杭州, 本科, 50, 成长型, 游戏
原画师, 6, 1, 设计, 视觉设计, 光辉互动, 南京, 本科, 50, 上市公, 移动互联网 · 游戏
原画师, 9, 3, 设计, 视觉设计, 壕鑫互联, 北京, 本科, 50, 成长型, 移动互联网
原画师, 11, 1, 设计, 视觉设计, 江苏易乐, 镇江, 学历不限, 150, 上市公, 移动互联网 · 游戏
原画师, 6, 1, 设计, 视觉设计, 嬉戏族文化传播, 常州, 大专, 50, 成长型, 文化娱乐
