职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
UI设计师, 17, 3, 设计, 视觉设计, 大横琴科技, 珠海, 本科, 50, 成长型, 企业服务 · 数据服务
UI设计师, 9, 1, 设计, 视觉设计, 房星科技, 昆明, 本科, 50, 成长型, 移动互联网 · O2O
UI设计师, 15, 不, 设计, 视觉设计, 百词斩, 成都, 学历不限, 50, 成长型, 移动互联网 · 教育
UI设计师, 15, 3, 设计, 视觉设计, EZbuy, 上海, 本科, 150, 成长型, 电子商务 · 生活服务
UI设计师, 15, 3, 设计, 视觉设计, 美赛达, 深圳, 大专, 150, 成熟型, 移动互联网 · 数据服务
UI设计师, 15, 3, 产品, 产品设计师, 脸脸, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
UI设计师, 9, 1, 设计, 视觉设计, 普益投, 广州, 大专, 150, 成长型, 金融
UI设计师, 6, 1, 设计, 视觉设计, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
UI设计师, 6, 1, 设计, 视觉设计, 好唱, 重庆, 本科, 150, 成长型, 移动互联网
UI设计师, 10, 1, 设计, 视觉设计, 施强网络, 杭州, 大专, 2000, 成熟型, 移动互联网
UI设计师, 15, 3, 设计, 视觉设计, 信壹网络, 深圳, 本科, 50, 成熟型, 移动互联网
UI设计师, 15, 1, 设计, 视觉设计, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
UI设计师, 12, 1, 设计, 视觉设计, 南方报业, 广州, 本科, 2000, 成熟型, 其他
UI设计师, 12, 1, 设计, 视觉设计, 爱上租, 杭州, 大专, 500, 初创型, 移动互联网 · O2O
UI设计师, 12, 1, 设计, 视觉设计, 广金所, 深圳, 本科, 50, 成长型, 金融
UI设计师, 6, 3, 设计, 视觉设计, 便利客智能科技, 济南, 学历不限, 15, 初创型, 移动互联网 · 生活服务
UI设计师, 12, 1, 设计, 视觉设计, 新致软件, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
UI设计师, 15, 1, 设计, 高端设计职位, 达观科技, 上海, 本科, 15, 初创型, 移动互联网
UI设计师, 12, 1, 设计, 视觉设计, 新致软件, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
UI设计师, 6, 1, 设计, 视觉设计, 嬉戏谷科技, 常州, 学历不限, 500, 成长型, 移动互联网 · O2O
UI设计师, 6, 1, 设计, 视觉设计, 广州摩登百货, 广州, 本科, 500, 上市公, 其他
UI设计师, 12, 1, 设计, 视觉设计, 懂你教育, 深圳, 本科, 15, 初创型, 移动互联网 · 教育
UI设计师, 12, 3, 设计, 视觉设计, 南京点尚, 南京, 大专, 150, 成长型, 移动互联网 · 电子商务
UI设计师, 9, 3, 设计, 视觉设计, 乐心微动, 中山, 本科, 500, 成熟型, 移动互联网 · 硬件
UI设计师, 9, 1, 设计, 视觉设计, 联创集团信通科技, 南京, 本科, 150, 成长型, 移动互联网 · 教育
UI设计师, 7, 1, 设计, 视觉设计, 数赢云网络科技, 常州, 大专, 150, 成长型, 电子商务 · 广告营销
UI设计师, 20, 5, 设计, 视觉设计, 慈铭@慈记, 北京, 大专, 50, 初创型, 移动互联网 · 医疗健康
UI设计师, 9, 1, 设计, 视觉设计, 阔知网络, 杭州, 本科, 50, 初创型, 企业服务 · 教育
UI设计师, 10, 3, 设计, 视觉设计, 微盟, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
UI设计师, 6, 1, 设计, 视觉设计, 聚居网, 长沙, 大专, 15, 成长型, 移动互联网 · 硬件
UI设计师, 6, 1, 设计, 视觉设计, 一滑, 嘉兴, 大专, 15, 初创型, O2O
UI设计师, 14, 1, 设计, 视觉设计, 十月妈咪, 上海, 本科, 500, 成长型, 电子商务
UI设计师, 11, 3, 设计, 视觉设计, 千百浪信息科技, 东莞, 本科, 50, 初创型, 移动互联网 · 电子商务
UI设计师, 20, 1, 设计, 视觉设计, 永利宝, 上海, 大专, 150, 成长型, 金融
UI设计师, 14, 3, 设计, 视觉设计, 十月妈咪, 上海, 本科, 500, 成长型, 电子商务
