职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏制作人, 21, 3, 产品, 高端产品职位, 第七天堂, 深圳, 本科, 15, 成长型, 移动互联网 · 游戏
游戏制作人, 25, 5, 产品, 高端产品职位, 上海敬游软件, 上海, 大专, 50, 成长型, 游戏
游戏制作人, 12, 5, 产品, 高端产品职位, 奇葩互动, 武汉, 本科, 15, 初创型, 游戏 · 文化娱乐
游戏制作人, 15, 3, 产品, 高端产品职位, 阿优, 杭州, 学历不限, 50, 成长型, 电子商务 · 文化娱乐
游戏制作人, 27, 3, 产品, 高端产品职位, 莉莉丝游戏, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
游戏制作人, 30, 3, 产品, 高端产品职位, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
游戏制作人, 30, 5, 产品, 高端产品职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
游戏制作人, 12, 3, 产品, 高端产品职位, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏制作人, 15, 3, 产品, 高端产品职位, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏制作人/主策划, 15, 1, 产品, 高端产品职位, 壹晨仟阳, 杭州, 本科, 15, 初创型, 移动互联网
游戏制作人, 22, 5, 产品, 高端产品职位, 百纳信息, 武汉, 大专, 150, 成长型, 移动互联网
游戏制作人, 25, 5, 产品, 产品经理, 天拓游戏, 广州, 本科, 500, 上市公, 游戏
游戏制作人, 20, 3, 产品, 高端产品职位, 顽石乐创, 北京, 本科, 15, 成长型, 游戏
游戏制作人, 6, 不, 产品, 高端产品职位, Rinzz Mobile Games, 长沙, 大专, 15, 初创型, 移动互联网 · 游戏
游戏制作人/主策划, 10, 3, 产品, 高端产品职位, 极光网络, 上海, 学历不限, 50, 成长型, 游戏
游戏制作人, 15, 3, 产品, 高端产品职位, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏制作人, 32, 3, 产品, 高端产品职位, 乐卓网络, 上海, 大专, 150, 上市公, 移动互联网 · 游戏
游戏制作人, 25, 3, 产品, 高端产品职位, 卓讯互动, 武汉, 本科, 50, 成长型, 移动互联网 · 游戏
游戏制作人, 25, 5, 产品, 高端产品职位, 铁皮人科技, 成都, 本科, 50, 成长型, 移动互联网 · 文化娱乐
游戏制作人, 18, 5, 技术, 高端技术职位, 百纳信息, 武汉, 本科, 150, 成长型, 移动互联网
游戏制作人, 11, 5, 产品, 高端产品职位, Hello talents, 福州, 学历不限, 15, 初创型, 招聘
游戏制作人, 11, 3, 产品, 高端产品职位, 光辉互动, 南京, 本科, 50, 上市公, 移动互联网 · 游戏
游戏制作人, 6, 不, 产品, 高端产品职位, 国百公司, 合肥, 大专, 15, 初创型, 电子商务
游戏制作人, 16, 3, 产品, 高端产品职位, 银河数娱, 上海, 大专, 500, 成长型, 游戏
游戏制作人, 15, 3, 产品, 高端产品职位, 壕鑫互联, 北京, 本科, 50, 成长型, 移动互联网
