职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
产品部经理, 15, 3, 产品, 高端产品职位, 国邦, 东莞, 本科, 2000, 成熟型, 移动互联网 · O2O
产品部经理, 7, 1, 产品, 高端产品职位, 好买基金网（联想腾讯注资企业）, 上海, 本科, 500, 成熟型, 电子商务 · 金融
产品部经理, 15, 1, 产品, 高端产品职位, 凸凸汽车, 武汉, 本科, 15, 初创型, 移动互联网 · 电子商务
产品部经理, 15, 1, 产品, 高端产品职位, 合言信息, 杭州, 大专, 50, 初创型, 电子商务 · O2O
产品部经理, 21, 3, 产品, 高端产品职位, 兼职猫, 广州, 大专, 150, 成长型, 移动互联网  · O2O
产品部经理, 20, 1, 产品, 高端产品职位, 上海迪塔班克数据科技有限公司, 上海, 本科, 15, 初创型, 企业服务 · 移动互联网
产品部经理, 30, 5, 产品, 高端产品职位, 光汇石油, 深圳, 本科, 500, 上市公, 其他
产品部经理, 35, 5, 产品, 高端产品职位, 当堂信息, 杭州, 大专, 50, 初创型, 移动互联网 · 生活服务
产品部经理, 7, 1, 产品, 高端产品职位, 鼎师科技, 武汉, 大专, 50, 成熟型, 移动互联网 · 分类信息
产品部经理, 22, 5, 产品, 高端产品职位, PPmoney互联网金融平台, 广州, 本科, 150, 成长型, 金融
产品部经理, 6, 不, 产品, 高端产品职位, 北京麦田, 北京, 大专, 2000, 成熟型, 生活服务
产品部经理, 11, 3, 产品, 高端产品职位, 好车贷；长天资产, 合肥, 学历不限, 150, 成长型, 金融
产品部经理, 40, 3, 产品, 高端产品职位, 励海, 深圳, 大专, 50, 成长型, 移动互联网 · 电子商务
产品部经理, 7, 1, 产品, 产品经理, 鼎师科技, 武汉, 大专, 50, 成熟型, 移动互联网 · 分类信息
产品部经理, 6, 不, 产品, 产品经理, 褪墨, 杭州, 本科, 15, 初创型, 移动互联网 · 数据服务
（笔头网）产品部经理, 7, 1, 产品, 高端产品职位, 鼎师科技, 武汉, 大专, 50, 成熟型, 移动互联网 · 分类信息
产品部经理, 23, 3, 产品, 高端产品职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
产品部经理, 10, 3, 产品, 高端产品职位, 阿农巴巴, 杭州, 本科, 15, 初创型, 移动互联网 · O2O
产品部经理, 30, 5, 产品, 高端产品职位, 招商信诺人寿保险有限公司, 深圳, 本科, 2000, 成熟型, 金融
