职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
副总裁, 21, 5, 金融, 高端金融职位, 点点搜财, 杭州, 硕士, 50, 成长型, 金融
副总裁, 11, 3, 金融, 高端金融职位, 广多科技, 杭州, 大专, 15, 初创型, 移动互联网 · 其他
副总裁, 80, 5, 金融, 高端金融职位, 粤财汇, 广州, 硕士, 15, 初创型, 金融 · 移动互联网
副总裁, 2, 5, 金融, 高端金融职位, 国广东方网络（北京）有限公司, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
副总裁（互联网）, 80, 5, 金融, 高端金融职位, SEASTAR, 深圳, 本科, 150, 上市公, 移动互联网 · 电子商务
副总裁, 30, 5, 金融, 高端金融职位, 华金所, 北京, 本科, 2000, 初创型, 移动互联网 · 金融
副总裁, 12, 3, 金融, 高端金融职位, 中铭智, 深圳, 本科, 500, 初创型, 金融
副总裁, 17, 10年以, 金融, 高端金融职位, 广东无极限, 广州, 本科, 50, 初创型, 移动互联网
副总裁助理, 6, 不, 职能, 行政, CmsTop, 北京, 本科, 50, 初创型, 移动互联网
副总裁, 20, 3, 金融, 高端金融职位, 星河互联集团, 北京, 本科, 500, 成熟型, 移动互联网
技术VP, 30, 5, 技术, 高端技术职位, 洋葱数学, 北京, 本科, 50, 成长型, 移动互联网 · 教育
副总裁, 1, 1年以, 金融, 高端金融职位, 信和财富, 北京, 大专, 50, 上市公, 金融 · 其他
产品副总裁, 25, 3, 产品, 高端产品职位, 神州佳教, 北京, 本科, 50, 成长型, 移动互联网 · 教育
副总裁, 22, 5, 金融, 高端金融职位, 洪泰创新空间, 北京, 本科, 15, 初创型, 企业服务
VP助理, 6, 1, 职能, 行政, 国美在线, 北京, 本科, 2000, 上市公, 电子商务
副总裁, 30, 5, 金融, 高端金融职位, 永弘兆赢, 南京, 本科, 15, 初创型, 移动互联网 · 文化娱乐
投资副总裁（VP）, 50, 5, 金融, 高端金融职位, 光源资本, 上海, 本科, 15, 成长型, 企业服务 · 金融
副总裁助理（偏旅游业务方向）, 8, 1, 职能, 行政, 通联集团, 北京, 本科, 150, 成长型, 移动互联网 · O2O
副总裁助理, 8, 1, 职能, 行政, 世通宝, 北京, 本科, 50, 成长型, 移动互联网 · 数据服务
副总裁, 30, 5, 金融, 高端金融职位, 中融聚势, 深圳, 硕士, 500, 成熟型, 金融
投资副总裁（VP）, 50, 5, 金融, 高端金融职位, 光源资本, 北京, 本科, 15, 成长型, 企业服务 · 金融
副总裁, 17, 10年以, 金融, 高端金融职位, 龙亚金融, 上海, 本科, 15, 初创型, 移动互联网
副总裁, 75, 不, 运营, 高端运营职位, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
投资副总裁, 100, 5, 职能, 高端职能职位, 麦子金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
副总裁, 75, 不, 运营, 高端运营职位, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
营销副总裁, 22, 10年以, 市场与销售, 市场/营销, 元宝铺, 杭州, 本科, 150, 成长型, 金融
副总裁, 37, 5, 金融, 高端金融职位, 珑门资本, 北京, 大专, 15, 初创型, 金融
副总裁（运营、技术方向）, 39, 5, 技术, 高端技术职位, 人人投, 北京, 本科, 500, 成长型, 金融
副总裁, 15, 5, 金融, 高端金融职位, 贷金所, 深圳, 大专, 15, 初创型, 移动互联网 · 金融
副总裁（P2P业务）, 25, 5, 市场与销售, 高端市场职位, 中融投, 深圳, 大专, 50, 成长型, 金融
副总裁, 15, 5, 职能, 行政, 宸睿科技, 深圳, 本科, 15, 初创型, 电子商务 · 教育
副总裁助理/VP助理（有销售经验优先）, 6, 1, 市场与销售, 销售, 珍岛集团, 上海, 本科, 500, 成长型, 移动互联网 · 广告营销
营销副总裁, 30, 5, 市场与销售, 高端市场职位, 斧子科技, 北京, 本科, 50, 成长型, 移动互联网
业务副总裁, 15, 10年以, 职能, 高端职能职位, 产融贷, 深圳, 本科, 15, 成长型, 金融
VP助理, 12, 3, 职能, 行政, 校内外, 北京, 本科, 50, 成长型, 移动互联网 · 教育
副总裁助理, 9, 1, 职能, 行政, 中棋惟业, 北京, 本科, 50, 成长型, 移动互联网 · 教育
研究院VP, 40, 不, 运营, 高端运营职位, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
运营副总裁vp, 22, 3, 金融, 高端金融职位, OUTMAN淘汰郎, 北京, 学历不限, 50, 初创型, 移动互联网 · O2O
副总裁助理（业务部）, 7, 1, 市场与销售, 销售, 广州e贷, 广州, 本科, 150, 成长型, 金融
金融VP, 27, 5, 金融, 高端金融职位, 元宝铺, 杭州, 大专, 150, 成长型, 金融
副总裁（供应链金融）, 20, 5, 金融, 高端金融职位, 埃信贝金融, 北京, 本科, 15, 初创型, 移动互联网 · 金融
产品VP, 22, 5, 产品, 高端产品职位, 沈阳新维集团, 沈阳, 本科, 500, 上市公, 电子商务 · O2O
金融VP, 27, 5, 金融, 高端金融职位, 阿思拓, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
销售总监/副总裁, 15, 5, 市场与销售, 高端市场职位, 机智云, 广州, 本科, 150, 成长型, 移动互联网 · 硬件
副总裁, 60, 5, 金融, 高端金融职位, 乾道基金, 北京, 本科, 500, 成长型, 金融
副总裁, 75, 10年以, 金融, 高端金融职位, 牛气贷, 上海, 本科, 150, 成长型, O2O · 金融
市场营销副总裁, 24, 5, 市场与销售, 市场/营销, 马斯克公司, 北京, 学历不限, 15, 初创型, 移动互联网 · 硬件
销售VP, 40, 5, 市场与销售, 销售, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
副总裁（资金管理方向）, 35, 5, 金融, 高端金融职位, 宏运资本, 深圳, 本科, 2000, 初创型, 金融
副总裁助理, 7, 不, 职能, 行政, 晶晶亮, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
集团VP, 90, 5, 金融, 投融资, 星河互联集团, 北京, 本科, 500, 成熟型, 移动互联网
营销副总裁, 80, 5, 市场与销售, 高端市场职位, 唯你网, 厦门, 本科, 150, 成长型, 企业服务 · 移动互联网
供应链副总裁, 22, 5, 市场与销售, 供应链, 美家帮, 厦门, 本科, 50, 成长型, 移动互联网 · 电子商务
市场副总裁, 37, 5, 市场与销售, 高端市场职位, 中子星, 北京, 本科, 50, 成长型, 移动互联网 · 金融
非标资产副总裁, 100, 5, 金融, 高端金融职位, 麦子金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
全球VP, 80, 5, 职能, 高端职能职位, 联袂科技, 北京, 本科, 15, 成长型, 数据服务 · 广告营销
理财副总裁/财富副总裁, 15, 10年以, 职能, 高端职能职位, 产融贷, 深圳, 本科, 15, 成长型, 金融
运营副总裁, 22, 3, 运营, 高端运营职位, 神州佳教, 北京, 本科, 50, 成长型, 移动互联网 · 教育
财务副总裁, 75, 不, 金融, 高端金融职位, 嘉琪科技, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
产品战略副总裁, 12, 1, 产品, 高端产品职位, 志恒科技, 厦门, 本科, 15, 初创型, 移动互联网 · 企业服务
运营总监/VP, 42, 3, 运营, 高端运营职位, 北京新美互通科技有限公司, 北京, 本科, 150, 成长型, 移动互联网
产品副总裁, 22, 3, 产品, 产品经理, 董秘, 北京, 本科, 15, 初创型, 移动互联网 · 生活服务
产品运营VP, 40, 10年以, 运营, 运营, 上海眯客, 上海, 本科, 150, 成长型, 移动互联网 · O2O
销售副总裁, 85, 10年以, 技术, 高端技术职位, 中油瑞飞, 北京, 本科, 2000, 成熟型, 移动互联网 · 数据服务
投融资副总裁, 75, 5, 金融, 高端金融职位, 怡美假日, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
销售副总裁, 45, 5, 市场与销售, 销售, 万题库, 北京, 大专, 15, 成长型, 移动互联网 · 教育
运营副总裁, 40, 5, 运营, 运营, LEOMASTER, 深圳, 本科, 150, 成长型, 移动互联网
营销副总裁, 37, 5, 市场与销售, 高端市场职位, 宣爱智能, 北京, 硕士, 150, 上市公, 移动互联网 · 教育
市场副总裁, 25, 3, 市场与销售, 高端市场职位, 神州佳教, 北京, 本科, 50, 成长型, 移动互联网 · 教育
财务副总裁, 90, 10年以, 职能, 财务, 食乐淘, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
VP助理（业务方向）, 20, 3, 职能, 高端职能职位, 微信电影票, 北京, 本科, 500, 成熟型, 移动互联网 · 广告营销
运营总监/副总裁, 17, 5, 运营, 高端运营职位, YES！时尚社交购物应用, 北京, 大专, 50, 成长型, 电子商务
审计副总裁, 75, 不, 金融, 高端金融职位, 嘉琪科技, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
证券投资副总裁, 30, 10年以, 金融, 高端金融职位, 融捷集团, 广州, 本科, 2000, 上市公, 金融
地推VP, 30, 5, 市场与销售, 市场/营销, 普奥云信息, 北京, 本科, 15, 成长型, 数据服务
技术VP, 75, 10年以, 技术, 高端技术职位, 宝宝树, 北京, 硕士, 500, 成熟型, 社交网络
运营副总裁, 15, 5, 职能, 高端职能职位, 产融贷, 深圳, 本科, 15, 成长型, 金融
销售VP, 75, 5, 市场与销售, 销售, 汽车超人, 杭州, 大专, 500, 成熟型, 移动互联网 · O2O
销售VP, 22, 3, 市场与销售, 高端市场职位, 小美科技, 北京, 大专, 15, 成长型, 移动互联网
急聘副总裁助理/VP助理（有销售经验优先）, 7, 1, 市场与销售, 销售, 珍岛集团, 上海, 本科, 500, 成长型, 移动互联网 · 广告营销
并购投资副总裁, 30, 5, 金融, 高端金融职位, 融捷集团, 广州, 本科, 2000, 上市公, 金融
商务拓展副总裁, 25, 5, 市场与销售, 高端市场职位, 清科集团, 北京, 大专, 500, 成熟型, 金融
VP Assistant, 9, 不, 职能, 行政, 铂涛集团是中国酒店业最具创新影响力的集团之一, 广州, 本科, 2000, 成熟型, 移动互联网 · 金融
人力资源副总裁助理, 7, 1, 职能, 行政, 贝贝网, 杭州, 本科, 500, 成熟型, 电子商务
内容运营副总裁, 30, 5, 运营, 运营, 荔枝FM, 广州, 大专, 150, 成熟型, 移动互联网
销售副总裁, 25, 3, 市场与销售, 高端市场职位, 蜂巢天下, 北京, 本科, 500, 初创型, 移动互联网 · 电子商务
运营VP, 45, 10年以, 市场与销售, 高端市场职位, 返利网, 上海, 本科, 500, 成熟型, 电子商务
行政中心副总裁, 95, 10年以, 职能, 高端职能职位, 银信网银, 深圳, 本科, 150, 成熟型, 金融
产品VP, 40, 5, 产品, 高端产品职位, 新氧整形, 北京, 本科, 50, 成长型, 移动互联网 · O2O
部门助理/副总裁助理, 6, 不, 职能, 行政, YY Inc, 广州, 本科, 2000, 上市公, 移动互联网
运营中心副总裁, 95, 10年以, 运营, 高端运营职位, 银信网银, 深圳, 本科, 150, 成熟型, 金融
运营vp/运营主管, 12, 5, 运营, 高端运营职位, 华英在线, 郑州, 本科, 500, 上市公, 移动互联网 · 电子商务
产品中心副总裁, 25, 3, 产品, 产品经理, 养爱车, 北京, 本科, 50, 成长型, O2O
销售副总裁助理, 9, 3, 职能, 行政, 中云智慧, 北京, 本科, 50, 成长型, O2O
数据VP, 62, 10年以, 技术, 高端技术职位, 车置宝, 南京, 大专, 500, 成熟型, 移动互联网 · 电子商务
运营VP, 25, 3, 运营, 高端运营职位, 天平派, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
数字营销事业部副总裁, 30, 5, 市场与销售, 高端市场职位, 中互联, 北京, 大专, 50, 成长型, 移动互联网 · O2O
产品运营VP/总监, 22, 3, 运营, 运营, 拓实医疗, 北京, 本科, 50, 成长型, 电子商务 · 医疗健康
投融资副总裁, 80, 10年以, 金融, 高端金融职位, 怡美假日, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
营销副总裁助理, 7, 1, 市场与销售, 市场/营销, 海欢网, 上海, 本科, 50, 成长型, 移动互联网 · 电子商务
销售副总（VP）, 27, 5, 市场与销售, 高端市场职位, e飞蚁, 北京, 本科, 150, 初创型, 电子商务 · O2O
集团副总裁助理, 8, 5, 职能, 行政, 好实再（深圳）商贸有限公司, 深圳, 本科, 500, 成长型, 电子商务 · O2O
副总裁 副总经理, 15, 5, 职能, 高端职能职位, 贷金所, 深圳, 大专, 15, 初创型, 移动互联网 · 金融
市场营销VP, 22, 10年以, 市场与销售, 市场/营销, 比巴, 深圳, 学历不限, 15, 初创型, 硬件
创业服务培训副总裁, 22, 5, 金融, 高端金融职位, 洪泰AA加速器, 北京, 本科, 15, 初创型, 企业服务 · 金融
金融副总裁, 40, 5, 金融, 高端金融职位, 无忧我房, 北京, 本科, 50, 成长型, 金融
运营副总裁, 22, 5, 运营, 高端运营职位, 洪泰创新空间, 北京, 本科, 15, 初创型, 企业服务
投行部副总裁, 30, 不, 市场与销售, 高端市场职位, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
投资VP, 17, 5, 金融, 高端金融职位, 上海复腾, 上海, 硕士, 50, 初创型, 金融
产品VP/产品总监, 75, 10年以, 产品, 产品经理, 学科网, 北京, 本科, 500, 成长型, 移动互联网
运营副总裁, 75, 5, 运营, 高端运营职位, 迷鹿家汇, 上海, 大专, 50, 成长型, 移动互联网 · 电子商务
空间运营副总裁, 22, 5, 运营, 高端运营职位, 洪泰AA加速器, 北京, 本科, 15, 初创型, 企业服务 · 金融
商务副总裁, 22, 5, 市场与销售, 市场/营销, 码上配, 上海, 本科, 15, 初创型, 移动互联网 · 企业服务
市场副总裁, 40, 5, 市场与销售, 市场/营销, SKG, 广州, 本科, 150, 成长型, 电子商务 · O2O
商务副总裁／总监, 32, 5, 市场与销售, 高端市场职位, 动动, 北京, 本科, 15, 成长型, 移动互联网 · 医疗健康
PR总监 VP, 65, 5, 市场与销售, 公关, 风奇科技, 北京, 本科, 15, 初创型, 移动互联网
销售副总（VP）, 27, 5, 市场与销售, 高端市场职位, e飞蚁, 北京, 本科, 150, 初创型, 电子商务 · O2O
VP（B2B）-天联, 90, 10年以, 运营, 高端运营职位, 天联华建, 北京, 本科, 150, 成长型, 电子商务
运营副总裁vp, 30, 5, 职能, 高端职能职位, 晶晶亮, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
高级副总裁助理-支付营销部, 9, 5, 职能, 行政, 京东金融, 北京, 本科, 2000, 上市公, 金融
销售VP, 35, 5, 职能, 高端职能职位, 住哲, 北京, 本科, 50, 成长型, O2O · 旅游
商务副总裁（工作地点：广州、北京）, 25, 3, 市场与销售, 高端市场职位, 云游飞天, 北京, 学历不限, 50, 初创型, 游戏
产品VP助理, 7, 1, 产品, 产品经理, AcFun, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
首席产品官/副总裁/合伙人, 18, 不, 产品, 高端产品职位, 伊视可眼镜, 上海, 学历不限, 50, 初创型, O2O · 生活服务
高级商务总监/商务副总裁, 65, 5, 市场与销售, 高端市场职位, 地平线机器人, 北京, 本科, 15, 初创型, 移动互联网 · 硬件
COO/副总裁, 40, 5, 运营, 高端运营职位, Kiwi, 深圳, 本科, 150, 成长型, 移动互联网 · O2O
首席产品官/副总裁/合伙人, 40, 不, 产品, 高端产品职位, 伊视可眼镜, 上海, 学历不限, 50, 初创型, O2O · 生活服务
融资部vp, 40, 5, 金融, 投融资, 食乐淘, 北京, 硕士, 2000, 成熟型, 电子商务 · O2O
VP（O2O）-天联, 90, 10年以, 运营, 高端运营职位, 天联华建, 北京, 本科, 150, 成长型, 电子商务
资管部副总裁, 75, 5, 金融, 高端金融职位, 合金所, 上海, 本科, 15, 初创型, 金融
投行副总裁, 15, 1, 金融, 高端金融职位, Linkstartup, 上海, 学历不限, 15, 初创型, 金融
销售副总裁, 27, 3, 市场与销售, 销售, 同心医联, 北京, 大专, 50, 成长型, 移动互联网 · 医疗健康
私募股权投资部（PE）副总裁, 75, 5, 金融, 高端金融职位, 合金所, 上海, 本科, 15, 初创型, 金融
销售副总裁CMO, 65, 10年以, 市场与销售, 高端市场职位, 嘉琪, 北京, 本科, 50, 成长型, 移动互联网 · 其他
运营副总裁 / 运营VP, 80, 10年以, 运营, 高端运营职位, 思源科技, 北京, 大专, 500, 初创型, 移动互联网 · O2O
人力资源副总裁助理/HRVP助理, 5, 1, 职能, 人力资源, 51Talk无忧英语, 北京, 本科, 500, 成熟型, 移动互联网 · 教育
