职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
风控, 7, 1, 金融, 风控, 诚信贷, 北京, 学历不限, 15, 初创型, 移动互联网 · 金融
风控, 7, 1, 金融, 风控, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
风控, 15, 1, 金融, 风控, 我来贷WeLab, 深圳, 本科, 150, 成长型, 金融
风控, 9, 1, 金融, 风控, 小牛计划, 北京, 大专, 15, 初创型, 移动互联网 · 金融
风控, 17, 5, 金融, 风控, 行想科技, 上海, 本科, 15, 初创型, 社交网络 · O2O
风控, 17, 5, 金融, 风控, 诺亚易捷, 上海, 本科, 150, 成长型, 移动互联网 · 金融
风控, 7, 1, 金融, 风控, 钱升钱, 上海, 大专, 150, 成长型, 金融
风控, 11, 3, 金融, 风控, 优呗, 杭州, 本科, 15, 初创型, 移动互联网
风控, 7, 3, 金融, 风控, 上海米刷, 上海, 本科, 50, 初创型, 移动互联网 · 金融
风控, 15, 3, 金融, 风控, 蓝金灵, 北京, 本科, 15, 初创型, 金融 · 移动互联网
风控, 12, 3, 金融, 风控, 金谷资管, 北京, 本科, 15, 初创型, 移动互联网 · 金融
风控专员（上海）, 6, 1, 金融, 风控, 友金所, 上海, 大专, 50, 成长型, 金融
风控, 6, 1, 金融, 风控, 元宝铺, 杭州, 大专, 150, 成长型, 金融
风控, 22, 3, 金融, 风控, 领投鸟理财, 上海, 本科, 150, 成长型, 移动互联网 · 金融
风控专员, 16, 1, 金融, 风控, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
风控, 9, 1, 金融, 风控, 阿思拓, 杭州, 大专, 150, 成长型, 移动互联网 · 电子商务
风控（股权投资）, 6, 1, 金融, 风控, 凯信控股, 武汉, 本科, 50, 成长型, 移动互联网 · 金融
风控/财务, 7, 1, 金融, 风控, 众筹客, 北京, 本科, 50, 初创型, O2O · 金融
风控, 6, 1, 金融, 风控, 立马贷, 重庆, 本科, 15, 初创型, 移动互联网 · 金融
风控, 11, 1, 金融, 风控, 一路财富, 北京, 大专, 50, 成长型, 金融 · 招聘
风控（股权投资方向）, 9, 1, 金融, 风控, 凯信控股, 武汉, 本科, 50, 成长型, 移动互联网 · 金融
风控, 4, 1, 金融, 风控, 中物华商, 合肥, 本科, 150, 上市公, 移动互联网 · O2O
风控 专员, 5, 1, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控专员, 4, 应届毕业, 金融, 风控, 永利宝, 上海, 大专, 150, 成长型, 金融
风控, 6, 1, 金融, 风控, 宜信普惠, 潍坊, 本科, 15, 初创型, 金融
风控专员, 3, 不, 金融, 风控, 一起好, 武汉, 大专, 500, 初创型, 企业服务 · 金融
风控, 5, 1年以, 金融, 风控, 米么金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
风控, 11, 3, 金融, 风控, 华强集团旗下深电中心, 深圳, 本科, 50, 成长型, 移动互联网 · O2O
风控, 11, 1, 金融, 风控, 泰金所, 上海, 本科, 50, 成长型, 移动互联网 · 金融
风控, 6, 3, 金融, 风控, 光谷科技金融网, 武汉, 本科, 50, 成长型, 文化娱乐
风控专员, 5, 1, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控专员, 4, 1年以, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控, 10, 5, 金融, 风控, 数联文化, 青岛, 本科, 50, 初创型, 移动互联网
风控专员, 15, 1, 金融, 风控, 银豆网, 北京, 本科, 50, 成长型, 金融
风控专员, 8, 1, 金融, 风控, 银客网, 北京, 本科, 150, 成长型, 移动互联网 · 金融
风控专员, 4, 不, 金融, 风控, 浙江小融网络科技股份有限公司, 杭州, 大专, 50, 初创型, 金融
风控专员, 6, 不, 金融, 风控, 轻松筹, 北京, 本科, 50, 成长型, 移动互联网 · 金融
风控, 4, 1, 金融, 风控, 十方投资, 珠海, 大专, 50, 成长型, 金融
风控专员, 5, 1, 金融, 风控, 星火钱包, 长沙, 学历不限, 50, 初创型, 移动互联网 · 金融
风控, 12, 1, 金融, 风控, 北京紫马财行投资管理有限公司, 北京, 本科, 150, 成长型, 金融
风控, 12, 1, 金融, 风控, 红缘, 北京, 本科, 15, 初创型, 移动互联网
风控, 15, 1, 金融, 风控, citylife, 佛山, 本科, 150, 初创型, 电子商务
风控, 6, 1, 金融, 风控, 广东天玺010综合类会员, 广州, 本科, 50, 成长型, 金融
风控, 6, 1, 金融, 风控, 同方联合, 杭州, 本科, 500, 成熟型, 其他
风控, 12, 3, 金融, 风控, 钱景财富, 北京, 本科, 150, 成长型, 金融 · 数据服务
风控专员, 4, 应届毕业, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控专员, 4, 应届毕业, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控, 18, 3, 金融, 风控, 多肉理财, 上海, 本科, 15, 初创型, 移动互联网 · 金融
风控, 5, 1年以, 金融, 风控, 磐和资本, 北京, 大专, 50, 成长型, 金融
风控, 8, 1, 金融, 风控, 北京搜房科技发展有限公司, 北京, 本科, 2000, 上市公, 移动互联网 · 金融
风控, 12, 1, 金融, 风控, 新付, 上海, 本科, 500, 初创型, 移动互联网 · 金融
风控, 7, 1, 金融, 风控, 菜牛在线, 宁波, 大专, 50, 初创型, 电子商务 · 金融
风控专员（信息安全方向）, 15, 3, 金融, 风控, 方付通, 上海, 本科, 500, 成熟型, 移动互联网 · 金融
风控专员（融后管理）, 6, 1, 金融, 风控, 轻松筹, 北京, 大专, 50, 成长型, 移动互联网 · 金融
风控, 11, 3, 金融, 风控, 富士康科技集团深圳总部, 深圳, 大专, 2000, 上市公, 电子商务  · 数据服务
风控, 5, 不, 金融, 风控, 宜信, 沈阳, 大专, 2000, 成熟型, 移动互联网 · 金融
风控专员, 8, 1, 金融, 风控, 小牛在线, 深圳, 本科, 2000, 成长型, 金融
风控（操盘手）, 30, 1, 金融, 风控, 储道, 上海, 大专, 50, 初创型, 金融
风控（培训）, 9, 3, 金融, 风控, 盈盈理财, 杭州, 本科, 500, 成长型, 移动互联网
风控, 11, 5, 金融, 风控, 中廉, 杭州, 大专, 15, 初创型, 移动互联网 · 金融
风控专员, 5, 1年以, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控专员, 4, 应届毕业, 金融, 风控, 永利宝, 上海, 本科, 150, 成长型, 金融
风控专员, 5, 不, 金融, 风控, 北京捷越联合, 上海, 大专, 2000, 成熟型, 金融
风控, 7, 1, 金融, 风控, B12, 杭州, 本科, 15, 成长型, 移动互联网 · 社交网络
风控, 15, 不, 金融, 风控, 胜诉360, 北京, 本科, 15, 初创型, 企业服务
风控, 6, 不, 金融, 风控, 信分宝, 北京, 大专, 50, 成长型, 移动互联网 · 电子商务
风控, 12, 1年以, 金融, 风控, 富尔国际, 北京, 大专, 500, 成熟型, 教育 · 金融
风控助理（实习生）, 2, 应届毕业, 金融, 风控, 钱升钱, 上海, 大专, 150, 成长型, 金融
风控, 22, 1, 金融, 风控, 储道, 上海, 大专, 50, 初创型, 金融
风控, 11, 3, 金融, 风控, 远尚互联网金融服务, 深圳, 本科, 50, 成长型, 移动互联网 · 金融
风控, 5, 1, 金融, 风控, 亦攸金融, 上海, 大专, 50, 上市公, 移动互联网 · 金融
风控, 15, 1, 金融, 风控, 钱景财富, 北京, 本科, 150, 成长型, 金融 · 数据服务
风控, 17, 3, 金融, 风控, 永达融资墓葬林, 上海, 本科, 50, 上市公, 金融
风控, 7, 1, 金融, 风控, 浩森时贷, 深圳, 本科, 150, 初创型, 金融
风控, 12, 3, 金融, 风控, 易如付, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
风控专员, 5, 1, 金融, 风控, 永利宝, 北京, 本科, 150, 成长型, 金融
风控专员, 5, 应届毕业, 金融, 风控, 永利宝, 北京, 大专, 150, 成长型, 金融
风控, 20, 5, 金融, 风控, 刚泰集团, 上海, 本科, 500, 上市公, 其他
风控专员, 4, 不, 金融, 风控, 杉奇电商, 上海, 大专, 15, 初创型, 金融
风控专员, 5, 1, 金融, 风控, 通付宝, 广州, 大专, 50, 初创型, 金融
风控, 12, 不, 金融, 风控, 佰润明辉, 北京, 大专, 150, 成长型, 金融
风控, 22, 1, 金融, 风控, 储道, 上海, 大专, 50, 初创型, 金融
风控, 15, 5, 金融, 风控, 天下财富（天涯社区子公司）, 深圳, 大专, 500, 上市公, 移动互联网 · 金融
风控专员, 6, 1, 金融, 风控, 宜信, 哈尔滨, 大专, 2000, 成熟型, 金融
风控专员, 5, 1, 金融, 风控, 钱浩集团, 上海, 大专, 15, 初创型, 旅游 · 金融
风控, 12, 1, 金融, 风控, 世纪佳缘, 北京, 大专, 500, 上市公, 移动互联网
风控, 5, 不, 金融, 风控, 证大财富, 上海, 大专, 2000, 成熟型, 金融
