职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
合规稽查, 7, 1, 金融, 风控, 乾途金融, 北京, 大专, 50, 成长型, 金融
合规稽查, 10, 3, 金融, 风控, 中关村领创金融, 北京, 硕士, 50, 成长型, 金融
合规稽查, 20, 3, 金融, 风控, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
合规稽查, 7, 不, 金融, 风控, 雍和金融, 北京, 大专, 50, 成长型, 金融
合规稽查, 4, 1年以, 金融, 风控, 蜀来宝, 成都, 大专, 15, 初创型, O2O · 金融
合规稽查, 25, 3, 金融, 风控, 百度, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
合规稽查, 9, 1, 金融, 风控, 惠人贷, 北京, 本科, 50, 成长型, 金融
合规稽查, 4, 3, 金融, 风控, 冠群驰骋, 武汉, 大专, 2000, 初创型, 企业服务
合规稽查, 10, 不, 金融, 风控, 宝象金融集团, 上海, 本科, 150, 初创型, 移动互联网 · 金融
合规稽查, 5, 1, 金融, 风控, 证大财富, 上海, 本科, 2000, 成熟型, 金融
合规稽查, 7, 1, 金融, 风控, 亿晟集团, 北京, 本科, 500, 初创型, 金融
合规专员, 7, 1, 金融, 审计税务, 甜菜金融, 北京, 本科, 50, 成长型, 金融
合规, 10, 1, 金融, 风控, 中微信用, 北京, 本科, 150, 成长型, 移动互联网 · 金融
合规专员（渠道中心）, 5, 1, 金融, 风控, 微盟, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
合规专员, 7, 1, 金融, 风控, 易如付, 北京, 本科, 50, 成长型, 移动互联网 · 金融
合规专员, 5, 不, 金融, 风控, 北京捷越联合, 上海, 大专, 2000, 成熟型, 金融
合规专员, 8, 3, 金融, 风控, 迈特克科技, 北京, 本科, 15, 初创型, 金融
合规专员, 7, 3, 金融, 风控, 银豆网, 北京, 大专, 50, 成长型, 金融
合规管理, 10, 3, 金融, 风控, 一路财富, 北京, 本科, 50, 成长型, 金融 · 招聘
合规助理, 6, 不, 职能, 法务, 北京搜房科技发展有限公司, 北京, 本科, 2000, 上市公, 移动互联网 · 金融
合规管理岗, 11, 1, 金融, 风控, 友金所, 深圳, 本科, 50, 成长型, 金融
