职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
审计, 5, 3, 职能, 财务, 成都杰尼威尼电子商务有限公司, 成都, 大专, 500, 成长型, 电子商务
审计, 30, 5, 职能, 财务, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
审计, 4, 不, 金融, 审计税务, 辉瑞制药, 承德, 大专, 2000, 上市公, 医疗健康 · 其他
审计, 6, 3, 职能, 财务, 东方中原, 北京, 大专, 500, 初创型, 电子商务 · 硬件
审计, 5, 不, 金融, 审计税务, 众信旅游, 北京, 大专, 2000, 上市公, 其他
审计, 35, 5, 职能, 财务, 今日头条, 北京, 本科, 500, 成熟型, 移动互联网 · 数据服务
审核, 6, 1, 金融, 风控, 闪银奇异, 北京, 本科, 150, 成长型, 移动互联网 · 金融
审核, 6, 1, 金融, 风控, 闪银奇异, 北京, 本科, 150, 成长型, 移动互联网 · 金融
审计, 11, 5, 职能, 财务, 滴滴打车, 武汉, 本科, 500, 成熟型, 移动互联网
审计, 7, 1, 职能, 财务, 酒仙网, 北京, 大专, 2000, 上市公, 电子商务
审计, 11, 5, 职能, 财务, 滴滴打车, 广州, 本科, 500, 成熟型, 移动互联网
审计, 5, 不, 金融, 审计税务, 叮当钱包, 北京, 本科, 2000, 成长型, 移动互联网 · 金融
审计, 17, 3, 职能, 财务, 乐逗游戏, 深圳, 本科, 500, 上市公, 移动互联网
审计, 13, 不, 金融, 审计税务, 坤虎科技, 杭州, 学历不限, 15, 初创型, 医疗健康
审计专员, 9, 3, 职能, 财务, 国邦, 东莞, 大专, 2000, 成熟型, 移动互联网 · O2O
审核, 6, 应届毕业, 金融, 风控, 闪银奇异, 北京, 本科, 150, 成长型, 移动互联网 · 金融
审核, 6, 应届毕业, 金融, 风控, 闪银奇异, 北京, 大专, 150, 成长型, 移动互联网 · 金融
审计, 6, 5, 职能, 财务, 远城科技, 武汉, 大专, 500, 初创型, 其他
审计, 4, 3, 职能, 财务, 武汉远成赛创科技有限公司, 武汉, 大专, 500, 初创型, 电子商务
审核, 6, 1, 金融, 风控, 贷小秘, 北京, 本科, 15, 成长型, 金融
审计, 9, 1, 职能, 财务, 国洲金融, 上海, 大专, 50, 初创型, 金融
审计, 1, 1年以, 技术, 移动开发, 环宇国际, 北京, 学历不限, 15, 初创型, 旅游
