职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
并购, 12, 不, 金融, 投融资, 弈业国际, 北京, 学历不限, 50, 成长型, 金融
互联网投资并购, 95, 10年以, 金融, 投融资, 三胞集团, 南京, 本科, 2000, 成熟型, O2O · 招聘
并购总监, 30, 5, 金融, 高端金融职位, 国广东方网络（北京）有限公司, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
全球并购负责人, 50, 5, 金融, 投融资, 星河互联集团, 北京, 本科, 500, 成熟型, 移动互联网
并购总监, 40, 5, 金融, 高端金融职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
并购总监, 11, 3, 金融, 高端金融职位, UFO, 郑州, 本科, 50, 成长型, 移动互联网 · 企业服务
投资并购, 75, 3, 市场与销售, 投资, 汇购网, 北京, 本科, 50, 成长型, 电子商务
战略并购总监, 80, 5, 金融, 高端金融职位, SEASTAR, 深圳, 本科, 150, 上市公, 移动互联网 · 电子商务
并购投资副总裁, 30, 5, 金融, 高端金融职位, 融捷集团, 广州, 本科, 2000, 上市公, 金融
投资并购合伙人, 75, 10年以, 金融, 投融资, 星河互联集团, 北京, 硕士, 500, 成熟型, 移动互联网
并购部投资经理, 9, 1, 金融, 投融资, 天星资本, 北京, 本科, 150, 成长型, 移动互联网 · 金融
并购总监, 1, 10年以, 金融, 高端金融职位, 四吉移动, 北京, 博士, 500, 成熟型, 移动互联网
投资并购法律顾问（法务中心）, 22, 不, 职能, 法务, YY Inc, 上海, 本科, 2000, 上市公, 移动互联网
投资并购运营经理, 7, 不, 运营, 运营, 深耕资本, 上海, 本科, 50, 成长型, 金融
投资并购总监, 40, 不, 金融, 投融资, YY Inc, 广州, 学历不限, 2000, 上市公, 移动互联网
投资并购CEO, 75, 5, 金融, 高端金融职位, 星河互联集团, 北京, 本科, 500, 成熟型, 移动互联网
投资并购CEO, 40, 不, 运营, 高端运营职位, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
并购项目经理, 11, 3, 金融, 投融资, 元立方, 上海, 本科, 50, 成长型, 金融
并购总监, 40, 3, 金融, 高端金融职位, 食乐淘, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
投融资并购方向法律顾问, 27, 3, 职能, 法务, 北京都仕林科技有限公司, 上海, 本科, 50, 成熟型, 移动互联网 · 医疗健康
投资并购经理, 25, 5, 金融, 投融资, 中国先锋金融集团, 北京, 本科, 500, 成长型, 金融
投后及并购业务岗, 9, 1, 金融, 投融资, 天星资本, 北京, 硕士, 150, 成长型, 移动互联网 · 金融
并购总监, 30, 5, 金融, 高端金融职位, 元立方, 上海, 本科, 50, 成长型, 金融
法务专员（并购部）1162, 10, 1, 职能, 法务, 网易, 杭州, 本科, 2000, 上市公, 移动互联网 · 游戏
并购初中高级交易员, 9, 不, 金融, 投融资, 佰润明辉有限公司, 北京, 大专, 50, 成长型, 移动互联网 · 金融
并购业务总监-上海, 25, 5, 金融, 高端金融职位, 方创资本, 上海, 本科, 50, 成长型, 企业服务 · 金融
投资并购部经理/总监, 10, 3, 金融, 投融资, 万合天宜, 上海, 本科, 150, 初创型, 文化娱乐
法务（投资并购方向）, 11, 3, 职能, 法务, 微店, 北京, 本科, 500, 成熟型, 移动互联网 · 电子商务
投资并购部经理, 20, 3, 金融, 投融资, 精益资本, 上海, 本科, 15, 初创型, 金融 · 数据服务
投行并购副总监, 45, 5, 金融, 投融资, 金葵花网络, 北京, 硕士, 50, 成长型, 金融
海外并购CEO, 75, 5, 金融, 投融资, 星河互联集团, 北京, 本科, 500, 成熟型, 移动互联网
易界网并购及投资业务合伙人, 40, 3, 市场与销售, 投资, 易界网, 上海, 硕士, 15, 成长型, 金融 · 数据服务
法务主管/经理 （并购）, 15, 3, 职能, 法务, 联络互动, 北京, 本科, 2000, 上市公, 移动互联网 · 游戏
地产并购基金产品总监（不良地产）, 30, 5, 产品, 高端产品职位, 元立方, 上海, 本科, 50, 成长型, 金融
法务经理（投融资及并购重组方向）, 20, 5, 职能, 法务, 网易, 北京, 本科, 2000, 上市公, 数据服务 · 文化娱乐
