职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
行业研究, 30, 5, 金融, 投融资, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
行业研究, 30, 5, 金融, 投融资, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
行业研究, 8, 5, 金融, 投融资, 武汉光谷信息, 武汉, 本科, 500, 上市公, 企业服务
行业研究, 40, 5, 金融, 投融资, e袋洗, 北京, 硕士, 500, 成长型, O2O
行业研究, 1, 不, 金融, 投融资, 学投网, 深圳, 本科, 15, 初创型, 企业服务 · 金融
行业研究, 11, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
行业研究, 15, 不, 金融, 投融资, 龙胜计算机, 深圳, 硕士, 15, 初创型, 金融
行业研究（证券）, 15, 3, 金融, 投融资, 云财经, 深圳, 大专, 15, 成长型, 移动互联网 · 金融
行业研究, 7, 不, 金融, 投融资, 网创科技, 杭州, 学历不限, 50, 初创型, 移动互联网 · 社交网络
行业研究, 8, 1, 金融, 投融资, 同花顺, 杭州, 硕士, 2000, 上市公, 金融
行业研究, 12, 1, 市场与销售, 投资, 德赛智能穿戴事业部, 惠州, 硕士, 15, 上市公, 移动互联网
行业研究, 6, 不, 金融, 投融资, 互联网金融, 厦门, 本科, 15, 初创型, 移动互联网 · 金融
行业研究, 6, 3, 金融, 投融资, 素丰资产, 上海, 硕士, 15, 初创型, 金融
行业研究, 22, 不, 金融, 投融资, 静遥网络科技, 上海, 学历不限, 150, 成长型, 移动互联网 · 电子商务
行业研究, 13, 3, 金融, 投融资, 互联众筹, 北京, 本科, 15, 初创型, 移动互联网 · 金融
行业研究, 30, 5, 金融, 投融资, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
行业研究, 9, 1, 金融, 投融资, 动脉网, 北京, 本科, 15, 初创型, 移动互联网 · 医疗健康
行业研究, 12, 1, 金融, 投融资, 钱景财富, 北京, 本科, 150, 成长型, 金融 · 数据服务
