职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
投资助理, 2, 不, 金融, 投融资, 聚板网络, 上海, 本科, 15, 初创型, 金融
投资助理, 4, 不, 金融, 投融资, 天涯若比邻, 杭州, 大专, 50, 初创型, 电子商务 · 金融
投资专员, 6, 1, 金融, 投融资, 博彦科技, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
投资助理, 7, 不, 金融, 投融资, 数码视讯, 北京, 本科, 2000, 上市公, 硬件 · 文化娱乐
投资助理, 6, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
投资助理, 4, 不, 金融, 投融资, 积木时代无锡分公司, 无锡, 大专, 150, 上市公, 金融
投资助理, 8, 1, 金融, 投融资, 桑德环境, 南京, 大专, 500, 上市公, 医疗健康 · 生活服务
投资助理, 3, 应届毕业, 金融, 投融资, 道微投资, 重庆, 本科, 15, 初创型, 金融
投资助理, 7, 应届毕业, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
投资助理, 7, 1, 金融, 投融资, 乐筹网, 广州, 大专, 50, 成长型, 其他
投资助理, 9, 不, 金融, 投融资, 康宏中国, 深圳, 本科, 500, 上市公, 金融
投资专员, 5, 1, 金融, 投融资, 博彦科技, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
投资专员, 6, 3, 金融, 投融资, 湖北励盛金融服务有限公司, 武汉, 大专, 15, 初创型, 金融
投资助理, 6, 不, 金融, 投融资, 北京麦田, 北京, 大专, 2000, 成熟型, 生活服务
投资助理, 4, 1年以, 金融, 投融资, 积木时代无锡分公司, 无锡, 大专, 150, 上市公, 金融
投资助理, 6, 3, 金融, 投融资, 安正路, 天津, 本科, 15, 初创型, 企业服务 · 金融
投资助理, 1, 不, 金融, 投融资, 优品, 杭州, 学历不限, 150, 初创型, 移动互联网 · 电子商务
投资助理, 7, 不, 金融, 投融资, 香港康宏金融集团, 深圳, 大专, 500, 上市公, 金融
投资专员, 7, 1, 金融, 投融资, 网融宝, 深圳, 本科, 15, 初创型, 金融
投资助理, 5, 应届毕业, 金融, 投融资, 大诚若谷, 北京, 硕士, 50, 初创型, 移动互联网 · 电子商务
投资助理（主管级）, 8, 1, 金融, 投融资, LEOMASTER, 深圳, 本科, 150, 成长型, 移动互联网
投资助理, 6, 不, 金融, 投融资, 德通汇富, 北京, 学历不限, 150, 成长型, 金融
投资助理, 4, 不, 金融, 投融资, 香港康宏, 深圳, 大专, 2000, 上市公, 金融
投资助理, 3, 1, 金融, 投融资, 多享科技, 成都, 大专, 50, 初创型, 电子商务 · 企业服务
投资助理, 6, 不, 金融, 投融资, 德通汇富, 北京, 大专, 150, 成长型, 金融
投资助理, 9, 1, 金融, 投融资, 北京天使汇, 北京, 本科, 50, 成长型, 金融
投资助理, 9, 1, 金融, 投融资, 信和财富, 北京, 大专, 2000, 成长型, 金融
投资助理, 5, 不, 金融, 投融资, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
投资助理, 8, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 金融
投资专员, 6, 1, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资助理, 6, 1, 市场与销售, 投资, 京北金融, 北京, 本科, 50, 成长型, 金融
投资助理, 7, 不, 金融, 投融资, 富尔国际, 北京, 学历不限, 500, 成熟型, 教育 · 金融
投资助理, 6, 不, 金融, 投融资, 飞鱼科技, 厦门, 本科, 150, 上市公, 游戏
投资助理, 6, 不, 金融, 投融资, 乐平基金会, 北京, 本科, 15, 初创型, 教育 · 金融
投资助理, 2, 不, 金融, 投融资, ShiningMidas朝旭投资, 广州, 学历不限, 15, 初创型, 金融 · 数据服务
投资助理, 7, 1, 金融, 投融资, 金葵花网络, 北京, 本科, 50, 成长型, 金融
投资助理, 6, 应届毕业, 金融, 投融资, 微游汇孵化器, 深圳, 硕士, 15, 上市公, 移动互联网
投资助理, 5, 不, 金融, 投融资, 融义财富, 上海, 大专, 50, 成长型, 金融
投资助理, 7, 1, 金融, 投融资, 君子兰, 苏州, 本科, 15, 初创型, 金融
投资助理, 5, 不, 金融, 投融资, 好想淘, 北京, 大专, 15, 初创型, 电子商务
投资助理, 4, 应届毕业, 金融, 投融资, 品今控股集团, 北京, 学历不限, 2000, 上市公, 金融 · 其他
投资助理, 5, 不, 金融, 投融资, 富尔天华, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
投资助理, 8, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 金融
投资助理, 5, 不, 金融, 投融资, 富尔天华, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
投资助理, 11, 不, 金融, 投融资, 乐邦, 杭州, 本科, 150, 上市公, 移动互联网 · 电子商务
投资助理, 5, 不, 金融, 投融资, 富尔天华, 北京, 学历不限, 2000, 成熟型, 移动互联网 · 金融
投资助理, 6, 不, 金融, 投融资, 富尔天华, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
投资助理, 9, 1, 金融, 投融资, 亚租所, 深圳, 大专, 50, 上市公, 移动互联网 · 金融
投资专员, 6, 1, 市场与销售, 投资, 博彦科技, 北京, 本科, 2000, 上市公, 移动互联网
投资专员助理, 8, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 移动互联网 · 金融
投资助理, 6, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 移动互联网 · 金融
投资助理, 7, 不, 金融, 投融资, 柏睿资产, 深圳, 本科, 15, 初创型, 金融 · 其他
投资助理, 9, 不, 金融, 投融资, 星河互联集团, 北京, 学历不限, 500, 成熟型, 移动互联网
投资助理, 6, 1, 金融, 投融资, 网贷天眼, 北京, 大专, 50, 成长型, 移动互联网 · 金融
投资助理, 12, 不, 金融, 投融资, 弈业国际, 北京, 学历不限, 50, 成长型, 金融
投资助理, 7, 1, 金融, 投融资, 投友圈, 北京, 大专, 50, 成长型, 金融 · 数据服务
投资助理, 6, 不, 金融, 投融资, 富聚投资, 上海, 学历不限, 50, 成长型, 金融
投资助理, 12, 1, 金融, 投融资, 大唐电信移动互联网事业本部, 北京, 大专, 150, 上市公, 移动互联网 · 教育
投资助理, 8, 不, 金融, 投融资, 万盛行, 北京, 学历不限, 150, 初创型, 移动互联网 · 金融
投资助理, 6, 1, 金融, 投融资, 梅牡众筹, 北京, 本科, 15, 初创型, 移动互联网 · 金融
投资助理, 5, 不, 金融, 投融资, 富尔天华, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
投资助理, 6, 不, 金融, 投融资, 富尔天华, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
投资助理, 9, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 金融
投资助理, 5, 1, 市场与销售, 投资, 时代强鹰, 杭州, 本科, 15, 初创型, 其他
投资助理, 6, 1, 金融, 投融资, 迅游科技, 上海, 大专, 150, 成长型, 移动互联网 · 游戏
投资助理, 7, 不, 金融, 投融资, 来投吧, 上海, 本科, 15, 初创型, 企业服务 · 金融
投资助理, 4, 不, 金融, 投融资, 原质资本, 杭州, 本科, 15, 初创型, 金融
投资助理, 10, 不, 金融, 投融资, 和信财富, 上海, 大专, 150, 成长型, 金融
投资助理, 6, 不, 金融, 投融资, 微财富, 上海, 本科, 150, 成长型, 金融
投资助理, 9, 不, 金融, 投融资, 麟玺创投, 北京, 硕士, 15, 初创型, 移动互联网
投资助理, 7, 不, 金融, 投融资, 乐邦, 杭州, 大专, 150, 上市公, 移动互联网 · 电子商务
投资助理, 6, 1年以, 金融, 投融资, 洪泰智造基金, 北京, 本科, 15, 初创型, 企业服务 · 硬件
投资助理, 6, 1, 金融, 投融资, 沃客加, 成都, 本科, 50, 初创型, 移动互联网 · 企业服务
