职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
投资经理, 15, 1, 金融, 投融资, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
投资经理, 10, 1, 金融, 投融资, 普益投, 广州, 本科, 150, 成长型, 金融
投资经理, 5, 1, 市场与销售, 投资, 搜云科技, 长沙, 大专, 50, 初创型, 移动互联网 · 电子商务
投资经理, 17, 3, 金融, 高端金融职位, 紫博蓝, 北京, 本科, 150, 成长型, 移动互联网 · 广告营销
投资经理, 12, 1, 金融, 投融资, 聚板网络, 上海, 本科, 15, 初创型, 金融
投资经理, 4, 不, 金融, 投融资, 积木时代无锡分公司, 无锡, 大专, 150, 上市公, 金融
投资经理（众筹方向）, 25, 1, 金融, 高端金融职位, 创意板, 广州, 本科, 15, 成长型, 移动互联网 · 金融
投资经理, 9, 1, 金融, 投融资, 轻松筹, 北京, 本科, 50, 成长型, 移动互联网 · 金融
投资经理, 22, 1, 市场与销售, 投资, 以太资本, 北京, 本科, 150, 成长型, 金融
高级投资经理, 12, 3, 金融, 投融资, 吉屋金融, 深圳, 本科, 15, 成长型, 移动互联网 · 金融
投资经理, 18, 1, 市场与销售, 投资, 云创谷VentureShares, 深圳, 本科, 15, 成长型, 金融
投资经理, 26, 3, 金融, 投融资, 真融宝, 北京, 本科, 50, 成长型, 金融
投资经理, 6, 1, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理, 9, 不, 金融, 投融资, 康宏中国, 深圳, 本科, 500, 上市公, 金融
投资总监/高级经理, 25, 3, 金融, 高端金融职位, 创意板, 广州, 本科, 15, 成长型, 移动互联网 · 金融
投资经理, 12, 1, 金融, 投融资, 创意板, 广州, 学历不限, 15, 成长型, 移动互联网 · 金融
投资经理, 12, 1, 金融, 投融资, 开宜投资, 长沙, 硕士, 50, 成长型, 移动互联网 · 电子商务
投资经理, 4, 1, 金融, 投融资, 汇凌金融, 汕头, 大专, 50, 初创型, 金融
投资经理, 9, 3, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理, 9, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 9, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资总监, 17, 5, 金融, 高端金融职位, 云筹, 深圳, 本科, 15, 成长型, 企业服务 · 金融
投资经理, 20, 3, 市场与销售, 投资, 活琪王, 北京, 本科, 15, 初创型, 移动互联网 · 金融
投资经理, 15, 1, 金融, 投融资, 魔映传媒, 宁波, 硕士, 50, 成长型, 移动互联网 · 游戏
投资经理, 10, 1, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理, 12, 3, 金融, 投融资, 义乌贷, 杭州, 本科, 150, 成长型, 移动互联网 · 金融
投资经理, 7, 1, 金融, 投融资, 凯信控股, 武汉, 本科, 50, 成长型, 移动互联网 · 金融
投资经理, 12, 5, 金融, 投融资, 银基集团, 深圳, 本科, 150, 上市公, 其他
投资总监, 7, 不, 金融, 高端金融职位, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
投资经理, 5, 1, 市场与销售, 投资, 乐投财富, 武汉, 学历不限, 2000, 初创型, 金融
投资经理, 6, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 9, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 6, 1, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理, 7, 不, 金融, 投融资, 青岛誉芬达网络科技公司, 青岛, 大专, 150, 初创型, 移动互联网 · 金融
投资经理（众筹方向）, 11, 3, 金融, 投融资, 海汇众筹, 广州, 本科, 15, 初创型, 移动互联网 · 金融
投资经理（中/高级）, 20, 1, 金融, 投融资, 新创板, 广州, 本科, 50, 成长型, 移动互联网 · 金融
投资总监, 30, 3, 金融, 高端金融职位, 迅雷, 深圳, 本科, 500, 上市公, 移动互联网
投资经理, 7, 3, 金融, 投融资, 佰富盈, 天津, 学历不限, 50, 成长型, 金融
投资经理, 16, 3, 金融, 投融资, 深圳市惠卡世纪有限公司, 深圳, 大专, 500, 上市公, 移动互联网 · 电子商务
投资经理, 15, 1, 市场与销售, 投资, 36氪, 北京, 本科, 150, 成熟型, 移动互联网 · 电子商务
投资经理, 14, 3, 金融, 投融资, 清科集团, 北京, 硕士, 500, 成熟型, 金融
投资经理, 7, 1, 金融, 投融资, 凯信控股, 武汉, 本科, 50, 成长型, 移动互联网 · 金融
投资经理, 9, 3, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理, 7, 1, 金融, 投融资, 温金中心, 杭州, 本科, 50, 成长型, 金融
投资经理, 18, 3, 金融, 投融资, 香江金融集团, 深圳, 本科, 50, 成长型, 移动互联网 · 金融
投资经理, 6, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 6, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 22, 1, 市场与销售, 投资, 以太资本, 上海, 本科, 150, 成长型, 金融
投资经理, 15, 1, 金融, 投融资, 曲速资本, 重庆, 本科, 15, 初创型, 金融
投资经理, 11, 1, 金融, 投融资, 云筹, 深圳, 本科, 15, 成长型, 企业服务 · 金融
投资经理/项目经理, 12, 3, 市场与销售, 投资, 前海智媒, 深圳, 本科, 15, 初创型, 移动互联网 · 金融
投资经理, 22, 3, 金融, 投融资, 阅文集团, 上海, 硕士, 500, 成熟型, 移动互联网
投资经理, 6, 1, 金融, 投融资, 秦沪投资, 上海, 大专, 150, 成长型, 金融
投资经理, 11, 3, 金融, 投融资, 钦联财富, 上海, 本科, 500, 成熟型, 金融 · 生活服务
投资经理, 20, 3, 金融, 投融资, 光源资本, 北京, 本科, 15, 成长型, 企业服务 · 金融
投资经理, 12, 5, 金融, 投融资, 安正路, 天津, 本科, 15, 初创型, 企业服务 · 金融
投资经理, 8, 不, 金融, 投融资, 香港康宏, 深圳, 本科, 2000, 上市公, 金融
投资经理, 12, 5, 金融, 投融资, 国智科技, 温州, 本科, 50, 初创型, 文化娱乐
投资经理, 12, 1, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理, 6, 1, 金融, 投融资, 鸿海集团, 深圳, 本科, 150, 初创型, 移动互联网 · 金融
投资经理, 6, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 9, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 9, 3, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资经理（中/高级）, 15, 1, 市场与销售, 投资, 新创板, 广州, 本科, 50, 成长型, 移动互联网 · 金融
投资经理, 12, 1, 金融, 投融资, 天星资本, 北京, 硕士, 150, 成长型, 移动互联网 · 金融
投资总监, 30, 3, 金融, 高端金融职位, 中云智科, 宁波, 学历不限, 15, 初创型, 移动互联网 · 数据服务
投资经理, 12, 3, 市场与销售, 投资, 最美符号, 郑州, 本科, 15, 初创型, 移动互联网 · 文化娱乐
投资经理, 7, 3, 金融, 投融资, 中维世纪科技有限公司, 济南, 本科, 2000, 成熟型, 移动互联网 · 文化娱乐
投资经理, 11, 3, 金融, 投融资, 点点搜财, 杭州, 大专, 50, 成长型, 金融
投资经理, 7, 应届毕业, 金融, 投融资, 智宸财富, 深圳, 本科, 500, 上市公, 金融 · 招聘
投资经理, 11, 1, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 金融
投资经理, 9, 1, 金融, 投融资, 杭州帮实投资管理有限公司, 杭州, 本科, 15, 成长型, 金融
投资经理（众筹）, 15, 1, 金融, 投融资, 乐筹网, 广州, 本科, 50, 成长型, 其他
投资经理, 15, 5, 金融, 投融资, 阿拉软件, 杭州, 本科, 500, 上市公, 移动互联网 · 电子商务
投资经理（股权方向，固薪+提成）, 15, 5, 金融, 投融资, 海汇众筹, 广州, 本科, 15, 初创型, 移动互联网 · 金融
投资经理, 9, 不, 金融, 投融资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 6, 不, 市场与销售, 投资, 良诺科贸, 北京, 学历不限, 150, 初创型, 金融
投资经理, 11, 1, 金融, 投融资, 进化资本, 北京, 本科, 15, 初创型, 金融
投资经理, 15, 3, 金融, 投融资, 蜀来宝, 成都, 本科, 15, 初创型, O2O · 金融
投资经理, 16, 3, 金融, 投融资, 深圳中科乐创, 深圳, 硕士, 15, 初创型, 移动互联网 · 企业服务
投资经理, 8, 1, 市场与销售, 投资, 嘉丰瑞德, 上海, 大专, 50, 成长型, 金融
投资经理, 12, 1, 金融, 投融资, 三驾马车, 厦门, 硕士, 15, 初创型, 分类信息 · 其他
投资经理, 22, 5, 金融, 投融资, 广电运通, 广州, 硕士, 2000, 上市公, 移动互联网 · 金融
投资经理, 10, 不, 金融, 投融资, 天天投, 北京, 本科, 15, 成长型, 移动互联网 · 金融
投资经理, 11, 1, 金融, 投融资, 动脉互联, 济南, 本科, 15, 初创型, 移动互联网 · 文化娱乐
投资经理, 25, 5, 金融, 投融资, 荷马网, 杭州, 大专, 15, 初创型, 金融
投资经理, 22, 5, 金融, 投融资, 汇银集团, 上海, 硕士, 500, 成熟型, 金融 · 其他
投资经理, 15, 5, 市场与销售, 投资, 广州创大(Inno Hub), 广州, 本科, 50, 成长型, 移动互联网 · 企业服务
