职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
投资者关系, 20, 1, 金融, 投融资, 清科集团, 北京, 本科, 500, 成熟型, 金融
投资者关系, 9, 1, 市场与销售, 公关, 上市邦, 北京, 本科, 15, 成长型, 移动互联网 · 金融
投资者关系, 15, 1, 金融, 投融资, 红缘, 北京, 本科, 15, 初创型, 移动互联网
投资者关系（总经理助理）, 12, 1, 金融, 投融资, 车来了, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
投资者关系, 7, 不, 金融, 投融资, 来投吧, 上海, 本科, 15, 初创型, 企业服务 · 金融
投资者关系助理, 3, 不, 金融, 投融资, 北京天使汇, 北京, 本科, 50, 成长型, 金融
投资者关系, 7, 1, 金融, 投融资, 一塔湖图众筹, 北京, 本科, 15, 初创型, 移动互联网 · 金融
投资者关系, 8, 1, 金融, 投融资, 36氪, 北京, 本科, 150, 成熟型, 移动互联网 · 电子商务
投资者关系, 15, 1, 金融, 投融资, 洪泰智造基金, 北京, 本科, 15, 初创型, 企业服务 · 硬件
投资者关系, 11, 1, 金融, 投融资, 科翔资本, 上海, 本科, 15, 初创型, 金融
投资者关系, 9, 不, 金融, 投融资, 上海复腾, 上海, 本科, 50, 初创型, 金融
投资者关系, 15, 1年以, 金融, 投融资, 趣分期, 北京, 本科, 2000, 成熟型, 金融
投资者关系, 11, 1, 金融, 投融资, 瑞德医疗, 北京, 本科, 150, 成熟型, 医疗健康
投资者关系, 4, 1, 金融, 投融资, JC, 深圳, 本科, 15, 初创型, 企业服务
投资者关系, 6, 不, 金融, 投融资, 天羽资本, 杭州, 本科, 15, 初创型, 金融
投资者关系, 12, 不, 金融, 投融资, 弈业国际, 北京, 学历不限, 50, 成长型, 金融
投资者关系助理, 7, 3, 金融, 投融资, 云赢网络科技有限公司, 北京, 本科, 2000, 成熟型, 电子商务
投资者关系, 9, 1, 金融, 投融资, 众创世纪, 深圳, 硕士, 50, 初创型, 电子商务 · 教育
投资者关系经理, 17, 3, 金融, 投融资, 康泽药业, 广州, 硕士, 500, 上市公, 电子商务 · 其他
投资者关系专员, 15, 1, 金融, 投融资, 锤子科技, 北京, 学历不限, 500, 成长型, 移动互联网 · 硬件
投资者关系经理, 17, 3, 金融, 投融资, SEASTAR, 深圳, 本科, 150, 上市公, 移动互联网 · 电子商务
投资者关系 商务总监, 20, 3, 金融, 投融资, 浩方集团, 北京, 本科, 500, 成长型, 电子商务
投资者关系经理, 20, 3, 金融, 投融资, 艾亿新融, 北京, 本科, 50, 成长型, 金融
投资者关系经理, 13, 1, 市场与销售, 投资, 蝌蚪众筹, 北京, 本科, 15, 初创型, 金融
投资者关系经理, 9, 1, 金融, 投融资, 一塔湖图众筹, 北京, 本科, 15, 初创型, 移动互联网 · 金融
投资者关系主管/经理/高级经理, 20, 5, 金融, 投融资, 星河互联集团, 北京, 大专, 500, 成熟型, 移动互联网
投资者关系项目经理, 11, 3, 金融, 投融资, 云赢网络科技有限公司, 北京, 本科, 2000, 成熟型, 电子商务
投资者关系经理, 9, 1, 金融, 投融资, 智又盈, 深圳, 本科, 50, 成熟型, 数据服务 · 其他
投资者关系经理, 9, 1, 金融, 投融资, 微财富, 上海, 本科, 150, 成长型, 金融
投资者关系经理/总监, 25, 3, 金融, 投融资, 合金所, 上海, 本科, 15, 初创型, 金融
投资助理, 2, 不, 金融, 投融资, 聚板网络, 上海, 本科, 15, 初创型, 金融
投资专员, 6, 1, 金融, 投融资, 博彦科技, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
投资者关系BD, 22, 1, 金融, 投融资, 浩方集团, 北京, 本科, 500, 成长型, 电子商务
投资助理, 4, 不, 金融, 投融资, 天涯若比邻, 杭州, 大专, 50, 初创型, 电子商务 · 金融
投资顾问, 7, 1, 金融, 投融资, 普益投, 北京, 本科, 150, 成长型, 金融
投资助理, 7, 不, 金融, 投融资, 数码视讯, 北京, 本科, 2000, 上市公, 硬件 · 文化娱乐
投资助理, 6, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
投资助理, 4, 不, 金融, 投融资, 积木时代无锡分公司, 无锡, 大专, 150, 上市公, 金融
投资策略分析师, 15, 3, 金融, 投融资, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
投资人关系, 7, 不, 市场与销售, 市场/营销, 聚份子, 杭州, 本科, 15, 初创型, 电子商务 · 数据服务
投资助理, 8, 1, 金融, 投融资, 桑德环境, 南京, 大专, 500, 上市公, 医疗健康 · 生活服务
投资关系经理（募资方向）, 12, 3, 金融, 投融资, 盛景网联集团, 广州, 本科, 500, 成熟型, 企业服务
投资助理, 3, 应届毕业, 金融, 投融资, 道微投资, 重庆, 本科, 15, 初创型, 金融
投资助理, 7, 应届毕业, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
投资专员, 5, 1, 金融, 投融资, 博彦科技, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
投资经理, 15, 1, 金融, 投融资, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
投资助理, 7, 1, 金融, 投融资, 乐筹网, 广州, 大专, 50, 成长型, 其他
投资专员, 6, 3, 金融, 投融资, 湖北励盛金融服务有限公司, 武汉, 大专, 15, 初创型, 金融
投资助理, 9, 不, 金融, 投融资, 康宏中国, 深圳, 本科, 500, 上市公, 金融
投资顾问, 7, 1, 金融, 投融资, 钦联财富, 上海, 大专, 500, 成熟型, 金融 · 生活服务
投资顾问, 7, 1, 金融, 投融资, 天使客, 深圳, 本科, 15, 成长型, 金融
