职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
MongoDB, 22, 3, 技术, dba, 纷享销客, 北京, 本科, 500, 成熟型, 移动互联网
MongoDB, 22, 3, 技术, dba, 网脑科技, 北京, 本科, 150, 成长型, 企业服务
MongoDB, 20, 1, 技术, dba, 轻易贷, 北京, 本科, 2000, 上市公, 金融
MongoDB, 15, 1, 技术, dba, 启信宝（贝尔塔）, 苏州, 本科, 15, 成长型, 移动互联网 · 数据服务
MongoDB, 19, 5, 技术, dba, 立信诺网络, 深圳, 本科, 150, 成长型, 移动互联网
MongoDB, 23, 3, 技术, dba, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
MongoDB, 25, 不, 技术, dba, LeanCloud, 北京, 学历不限, 15, 成长型, 移动互联网 · 企业服务
MongoDB, 22, 5, 技术, dba, 雨人, 上海, 本科, 150, 成长型, 移动互联网
MongoDB, 15, 1, 技术, dba, 网易, 广州, 本科, 2000, 上市公, 移动互联网 · 游戏
MongoDB, 14, 3, 技术, dba, 汇保, 上海, 本科, 15, 成长型, 移动互联网 · 金融
MongoDB, 37, 3, 技术, dba, 微指科技, 北京, 本科, 150, 成长型, 电子商务 · O2O
Mysql&amp;MongoDB, 7, 1, 技术, 后端开发, 社区580, 广州, 大专, 15, 成长型, 移动互联网 · 医疗健康
MongoDB DBA, 22, 3, 技术, dba, 闪银奇异, 北京, 本科, 150, 成长型, 移动互联网 · 金融
MongoDB DBA, 18, 5, 技术, dba, 七牛云存储, 上海, 大专, 50, 成熟型, 移动互联网 · 数据服务
MongoDB运维工程师, 12, 1, 技术, 运维, 美特斯邦威, 上海, 本科, 2000, 上市公, 电子商务 · O2O
资深DBA ( MongoDB ), 18, 3, 技术, dba, 小美快购, 杭州, 本科, 150, 成长型, 移动互联网 · O2O
mongodb DBA, 22, 3, 技术, dba, 美的集团总部流程IT, 深圳, 本科, 2000, 上市公, 硬件
非关系型数据库软件工程师（MongoDB）, 11, 不, 技术, dba, 金证股份, 上海, 本科, 2000, 上市公, 金融
Sr. Database Engineer/MongoDB, 50, 5, 技术, dba, Glu Mobile, 北京, 本科, 50, 上市公, 游戏
数据库工程师/管理员（MongoDB）, 11, 1, 技术, dba, 上海葵典云软件有限公司, 上海, 大专, 500, 初创型, 移动互联网 · 电子商务
MongoDB DBA, 13, 1, 技术, 运维, 网易, 广州, 本科, 2000, 上市公, 移动互联网 · 游戏
DBA(MySQL/MongoDB), 11, 1, 技术, dba, 一号外卖, 广州, 学历不限, 150, 成长型, 移动互联网 · O2O
后端 Nodejs / Mongodb, 10, 1, 技术, 后端开发, Chat Neighbors, 深圳, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
Java开发工程师（MongoDB方向), 9, 1, 技术, 后端开发, 木瓜移动, 深圳, 大专, 15, 成长型, 移动互联网 · 广告营销
资深软件工程师（Spring、Hibernate、Web Server、MongoDB）, 12, 3, 技术, 后端开发, 东软集团, 沈阳, 本科, 2000, 上市公, 金融
DBA（移动社交，MySQL, Redis, MongoDB）, 15, 3, 技术, dba, 朋友印象, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
中高级DBA（MySql MongoDB方向-非外包）, 20, 3, 技术, dba, 软通聚力, 北京, 本科, 2000, 成熟型, 电子商务 · 企业服务
