职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
MySQL, 20, 3, 技术, dba, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
MySQL, 30, 3, 技术, dba, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
MySQL, 15, 1, 技术, dba, 聚贸, 杭州, 大专, 150, 成长型, 金融 · 电子商务
MySQL, 15, 不, 技术, dba, SmartData, 上海, 学历不限, 50, 初创型, 移动互联网 · 数据服务
MySQL, 15, 3, 技术, dba, 拉勾网, 北京, 本科, 150, 成长型, 企业服务 · 招聘
MySQL, 11, 3, 技术, dba, 红海科技, 广州, 大专, 50, 初创型, 移动互联网
MySQL, 15, 3, 技术, dba, 兔博士, 上海, 学历不限, 15, 成长型, 移动互联网 · 生活服务
MySQL, 20, 3, 技术, dba, 小花金服, 深圳, 本科, 50, 成长型, 移动互联网 · 金融
MySQL, 8, 1, 技术, dba, 蓝月亮, 广州, 本科, 2000, 成熟型, 生活服务
MySQL, 16, 3, 技术, dba, 广州移动, 广州, 本科, 2000, 上市公, 移动互联网
MySQL, 12, 不, 技术, dba, 新炬网络, 杭州, 大专, 500, 成熟型, 移动互联网 · 数据服务
MySQL, 19, 3, 技术, dba, e享天开, 上海, 本科, 50, 成长型, 移动互联网 · 生活服务
MySQL, 12, 1, 技术, dba, 开新汽车, 上海, 本科, 500, 成长型, 移动互联网
MySQL, 12, 3, 技术, dba, 宁波森浦信息技术有限公司, 上海, 本科, 150, 成长型, 金融
MySQL, 9, 1, 技术, dba, 2345.com, 上海, 大专, 500, 上市公, 数据服务 · 移动互联网
MySQL, 16, 3, 技术, dba, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
MySQL, 16, 3, 技术, dba, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
MySQL, 13, 3, 技术, dba, 票付通, 福州, 大专, 50, 成长型, 电子商务 · 生活服务
MySQL, 8, 1, 技术, dba, 南京图牛商城有限公司, 南京, 本科, 50, 初创型, 电子商务 · O2O
MySQL, 22, 1, 技术, dba, 运满满, 上海, 大专, 500, 成熟型, 移动互联网 · O2O
MySQL, 11, 3, 技术, dba, 聚特惠, 南京, 本科, 150, 成长型, 电子商务 · O2O
MySQL 数据库, 7, 1, 技术, dba, 南宁一站网, 南宁, 大专, 150, 初创型, 电子商务
MySQL, 8, 1, 技术, dba, 百利网, 西安, 大专, 50, 成长型, 电子商务
