职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Oracle, 7, 1年以, 技术, dba, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
Oracle, 9, 不, 技术, dba, 新炬网络, 杭州, 大专, 500, 成熟型, 移动互联网 · 数据服务
Oracle, 7, 1, 技术, dba, 佰钧成技术, 武汉, 大专, 2000, 成熟型, 企业服务 · 金融
Oracle, 6, 3, 技术, dba, 西安习悦信息技术有限公司, 西安, 本科, 150, 上市公, 移动互联网 · 教育
Oracle, 19, 3, 技术, dba, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
Oracle, 20, 3, 技术, dba, 好买基金网（联想腾讯注资企业）, 上海, 大专, 500, 成熟型, 电子商务 · 金融
Oracle, 4, 1, 技术, dba, 深圳国泰安合肥分公司, 合肥, 本科, 500, 成熟型, 移动互联网 · 数据服务
Oracle, 14, 3, 技术, dba, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
Oracle, 19, 3, 技术, dba, e享天开, 上海, 本科, 50, 成长型, 移动互联网 · 生活服务
Oracle, 6, 1, 技术, dba, 畅途网, 南京, 大专, 150, 成熟型, 电子商务
Oracle, 5, 1, 技术, dba, 晞菲利电子商务, 深圳, 大专, 50, 成长型, 电子商务 · 其他
Oracle, 12, 3, 技术, dba, Pactera, 上海, 大专, 2000, 上市公, 数据服务 · 其他
Oracle, 22, 5, 技术, dba, 亿达信息, 深圳, 大专, 2000, 上市公, 移动互联网 · 招聘
Oracle, 17, 3, 技术, dba, 思埠网络, 广州, 本科, 150, 成长型, 移动互联网
Oracle, 11, 3, 技术, dba, 美迪, 成都, 本科, 50, 初创型, 移动互联网 · 医疗健康
Oracle, 5, 不, 技术, dba, 合肥拓普网络有限责任公司, 合肥, 大专, 50, 上市公, 移动互联网 · 信息安全
Oracle, 12, 3, 技术, dba, 我家菜单工作室是联迪的互联网产品的前沿；是餐饮企业软件引领者。, 南京, 本科, 500, 成熟型, 移动互联网 · O2O
Oracle, 7, 1, 技术, dba, 中城科技, 无锡, 大专, 150, 初创型, 移动互联网 · 电子商务
Oracle, 6, 3, 技术, dba, 友云, 呼和浩特, 大专, 50, 初创型, 移动互联网 · 企业服务
Oracle, 15, 3, 技术, dba, YOHO!有货, 北京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
Oracle, 11, 1, 技术, dba, 华卓科技, 杭州, 大专, 50, 成长型, 企业服务 · 数据服务
Oracle, 5, 3, 技术, dba, 东软集团西南大区, 昆明, 本科, 2000, 上市公, 移动互联网
Oracle, 6, 1, 技术, dba, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 天津, 大专, 2000, 上市公, 企业服务
Oracle, 6, 1, 技术, dba, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 乌鲁木齐, 本科, 2000, 上市公, 企业服务
Oracle, 6, 不, 技术, dba, 武汉佰钧成技术有限公司, 长沙, 学历不限, 2000, 成长型, 移动互联网 · 分类信息
Oracle, 6, 1, 技术, dba, 新炬网络, 广州, 本科, 500, 成熟型, 移动互联网 · 数据服务
Oracle, 17, 3, 技术, dba, 佰钧成技术, 深圳, 学历不限, 2000, 成熟型, 移动互联网
Oracle, 8, 1, 技术, dba, 上海音达科技, 杭州, 本科, 500, 初创型, 移动互联网
Oracle, 5, 1, 技术, dba, 广盛易付, 深圳, 大专, 15, 初创型, 移动互联网 · 数据服务
Oracle, 14, 3, 技术, dba, 文思海辉, 上海, 大专, 2000, 上市公, 移动互联网
Oracle, 5, 3, 技术, dba, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 乌鲁木齐, 大专, 2000, 上市公, 企业服务
Oracle, 7, 3, 技术, dba, NCS, 成都, 大专, 500, 初创型, 企业服务
Oracle, 6, 1, 技术, dba, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 天津, 本科, 2000, 上市公, 企业服务
Oracle, 5, 不, 技术, dba, 武汉佰钧成技术有限公司, 郑州, 本科, 2000, 成长型, 移动互联网 · 分类信息
Oracle, 6, 1, 技术, dba, 纪念日, 合肥, 大专, 2000, 成熟型, 生活服务
Oracle, 13, 不, 技术, dba, 文思海辉, 上海, 大专, 2000, 上市公, 电子商务 · 金融
Oracle, 9, 3, 技术, dba, 宇信易诚, 上海, 大专, 2000, 成熟型, 金融
Oracle, 10, 3, 技术, dba, 亚信, 南京, 本科, 2000, 上市公, 移动互联网 · 数据服务
Oracle, 14, 3, 技术, dba, Pactera, 上海, 本科, 2000, 上市公, 数据服务 · 其他
Oracle/MSSQL, 15, 5, 技术, dba, 印孚瑟斯, 上海, 本科, 2000, 上市公, 移动互联网
Oracle, 11, 1, 技术, dba, ZTO-express, 上海, 大专, 2000, 成长型, 电子商务
Oracle, 19, 3, 技术, dba, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
Oracle, 12, 1, 技术, dba, 深易软, 南京, 本科, 2000, 上市公, 移动互联网 · 电子商务
Oracle, 7, 1, 技术, dba, 珠海天威, 珠海, 大专, 2000, 成熟型, 企业服务
Oracle, 22, 3, 技术, dba, 新炬网络, 上海, 本科, 500, 成熟型, 移动互联网 · 数据服务
Oracle, 4, 1, 技术, dba, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 石家庄, 大专, 2000, 上市公, 企业服务
Oracle, 21, 5, 技术, dba, 雨人, 上海, 本科, 150, 成长型, 移动互联网
Oracle, 7, 1, 技术, dba, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 上海, 本科, 2000, 上市公, 企业服务
Oracle, 15, 3, 技术, dba, 宜信公司, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
Oracle, 7, 1, 技术, dba, 佰钧成技术, 深圳, 大专, 2000, 成熟型, 企业服务 · 金融
Oracle, 10, 1, 技术, dba, 文思海辉, 上海, 学历不限, 2000, 上市公, 移动互联网 · 电子商务
Oracle, 15, 3, 技术, dba, 诚智天扬, 杭州, 本科, 50, 初创型, 移动互联网
Oracle, 11, 3, 技术, dba, 武汉佰钧成技术有限公司, 深圳, 大专, 2000, 成长型, 移动互联网 · 分类信息
Oracle, 12, 1, 技术, dba, 互融宝, 南京, 本科, 50, 初创型, 移动互联网 · 金融
Oracle, 15, 3, 技术, dba, 京东金融, 北京, 本科, 2000, 上市公, 金融
Oracle, 7, 3, 技术, dba, 同方鼎欣, 青岛, 大专, 500, 上市公, 移动互联网
Oracle, 9, 3, 技术, dba, 文思海辉, 上海, 大专, 2000, 上市公, 移动互联网
Oracle, 14, 3, 技术, dba, 文思海辉, 上海, 大专, 2000, 上市公, 电子商务 · 金融
Oracle, 13, 1, 技术, dba, 东软, 上海, 本科, 2000, 上市公, 医疗健康 · 数据服务
Oracle（开发兼管理）, 19, 5, 技术, dba, 雨人, 上海, 本科, 150, 成长型, 移动互联网
Oracle, 2, 应届毕业, 技术, dba, 奔步, 广州, 本科, 150, 成熟型, 移动互联网 · 电子商务
Oracle/数据仓库, 17, 3, 技术, dba, 浙江网仓科技有限公司, 杭州, 大专, 50, 初创型, 电子商务
Oracle, 12, 3, 技术, dba, 文思海辉, 上海, 大专, 2000, 上市公, 电子商务 · 金融
Oracle, 13, 3, 技术, dba, 中彩在线, 北京, 本科, 150, 成长型, 电子商务 · 金融
Oracle, 9, 1, 技术, dba, 新炬网络, 广州, 本科, 500, 成熟型, 移动互联网 · 数据服务
Oracle（数据库开发工程师）, 6, 不, 技术, dba, 新炬网络, 广州, 本科, 500, 成熟型, 移动互联网 · 数据服务
Oracle, 13, 3, 技术, dba, 文思海辉, 上海, 大专, 2000, 上市公, 电子商务 · 金融
Oracle, 8, 不, 技术, dba, 纬创软件, 武汉, 大专, 150, 上市公, 移动互联网
Oracle（PLM工程师）, 17, 3, 技术, dba, 迈得医疗工业设备, 台州, 本科, 150, 成长型, 分类信息 · 其他
Oracle, 10, 1, 技术, dba, 海底捞集团蜀海公司, 北京, 大专, 2000, 成熟型, 电子商务 · O2O
高级 oracle/J2EE, 11, 3, 技术, 后端开发, 兴融联, 深圳, 学历不限, 150, 成熟型, 移动互联网 · 企业服务
