职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
嵌入式开发, 9, 1, 技术, 硬件开发, 个推, 深圳, 本科, 150, 成熟型, 移动互联网
ARM开发, 9, 3, 技术, 硬件开发, 唯创知音, 深圳, 大专, 50, 初创型, 移动互联网 · 其他
ARM开发, 15, 3, 技术, 硬件开发, 无限时空, 北京, 本科, 50, 成熟型, 游戏
嵌入式开发, 9, 1, 技术, 移动开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网 · 企业服务
嵌入式开发, 5, 1年以, 技术, 硬件开发, 宏润恒博科技有限公司, 武汉, 大专, 15, 初创型, 硬件
ARM开发, 27, 3, 技术, 硬件开发, 华为技术有限公司, 深圳, 本科, 2000, 成熟型, 移动互联网 · 企业服务
嵌入式开发, 15, 不, 技术, 后端开发, 一维弦, 北京, 本科, 15, 初创型, 移动互联网
嵌入式, 10, 3, 技术, 硬件开发, 鱼影科技, 上海, 大专, 15, 初创型, 移动互联网 · 硬件
嵌入式开发, 4, 不, 技术, 硬件开发, 智涵科技, 武汉, 大专, 150, 初创型, 移动互联网 · 电子商务
嵌入式开发, 5, 1年以, 技术, 硬件开发, 智涵科技, 武汉, 大专, 150, 初创型, 移动互联网 · 电子商务
嵌入式, 22, 3, 技术, 硬件开发, 零零无限, 北京, 本科, 15, 成长型, 移动互联网 · 硬件
ARM开发, 12, 1, 技术, 硬件开发, 芝麻开门, 北京, 大专, 50, 成长型, 移动互联网 · 硬件
嵌入式, 7, 3, 技术, 硬件开发, 湖南拓视觉信息技术有限公司, 长沙, 本科, 15, 初创型, 移动互联网 · 硬件
嵌入式, 5, 1, 技术, 硬件开发, 华腾物联网, 西安, 大专, 150, 成长型, 硬件 · 其他
嵌入式开发, 13, 3, 技术, 后端开发, 软通动力, 苏州, 本科, 2000, 上市公, 企业服务 · 其他
嵌入式开发, 12, 3, 技术, 硬件开发, 茂申和进出口贸易有限公司, 深圳, 本科, 50, 初创型, 电子商务
嵌入式, 15, 1, 技术, 硬件开发, 棒米科技, 杭州, 本科, 15, 成长型, 移动互联网 · 硬件
ARM开发, 10, 3, 技术, 硬件开发, 永视科技, 深圳, 本科, 50, 成长型, 移动互联网 · 硬件
嵌入式, 7, 不, 技术, 硬件开发, 罗姆特, 合肥, 大专, 15, 初创型, 移动互联网 · 硬件
嵌入式开发, 15, 1, 技术, 硬件开发, 芝麻开门, 北京, 大专, 50, 成长型, 移动互联网 · 硬件
嵌入式开发, 15, 1, 技术, 硬件开发, 芝麻开门, 北京, 大专, 50, 成长型, 移动互联网 · 硬件
嵌入式, 15, 1, 技术, 硬件开发, 个推, 深圳, 本科, 150, 成熟型, 移动互联网
嵌入式工程师, 22, 3, 技术, 企业软件, 北京戎超科技有限公司, 北京, 本科, 15, 初创型, 移动互联网 · 硬件
嵌入式, 12, 3, 技术, 硬件开发, 个推, 深圳, 本科, 150, 成熟型, 移动互联网
嵌入式（暂缓）, 9, 1, 技术, 硬件开发, 福建升腾资讯有限公司, 福州, 本科, 500, 上市公, 移动互联网 · 电子商务
嵌入式, 5, 1, 技术, 硬件开发, 天网商数科技, 东莞, 大专, 500, 成熟型, 移动互联网 · 电子商务
高级嵌入式, 13, 5, 技术, 硬件开发, 曲奇单车, 厦门, 本科, 50, 初创型, 移动互联网 · 硬件
嵌入式, 9, 1, 技术, 硬件开发, 易瘦跑步, 珠海, 学历不限, 15, 初创型, 移动互联网 · 硬件
嵌入式, 9, 1, 技术, 硬件开发, 智云网络, 宁波, 大专, 15, 初创型, O2O
嵌入式研发负责人, 14, 5, 技术, 硬件开发, 佰吉特, 北京, 大专, 15, 初创型, 硬件 · 信息安全
嵌入式开发程序猿, 4, 不, 技术, 硬件开发, 启明软件, 上海, 本科, 500, 成熟型, 移动互联网 · 企业服务
嵌入式研发, 9, 不, 技术, 硬件开发, 果心科技, 北京, 本科, 15, 初创型, 硬件
嵌入式, 17, 5, 技术, 硬件开发, 广东橙鲜智能科技有限公司, 广州, 本科, 50, 成长型, 生活服务
嵌入式, 17, 5, 技术, 硬件开发, Astek China, 苏州, 学历不限, 50, 成长型, 电子商务 · 招聘
嵌入式, 4, 不, 技术, 硬件开发, 天一众合, 中山, 大专, 150, 成长型, 企业服务 · 数据服务
嵌入式, 9, 1, 技术, 硬件开发, 科蓝德, 南京, 本科, 150, 成长型, 移动互联网
嵌入式, 8, 5, 技术, 硬件开发, 经纬科技, 宁波, 本科, 150, 成长型, 企业服务 · 硬件
嵌入式, 11, 3, 技术, 硬件开发, 尚飞科技, 长沙, 本科, 15, 初创型, 移动互联网 · 硬件
嵌入式, 20, 3, 技术, 硬件开发, 福建河婆科技有限公司, 福州, 大专, 50, 初创型, 移动互联网 · 硬件
高级软件工程师-嵌入式开发, 15, 1, 技术, 后端开发, 新岸线, 北京, 本科, 150, 初创型, 硬件
嵌入式, 6, 1, 技术, 硬件开发, 亿赛德, 宁波, 学历不限, 15, 初创型, 移动互联网 · 其他
