职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
FPGA开发, 15, 3, 技术, 硬件开发, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
FPGA开发, 15, 应届毕业, 技术, 硬件开发, 进化动力, 深圳, 本科, 15, 初创型, 移动互联网
FPGA开发, 12, 3, 技术, 硬件开发, 暖芯迦, 杭州, 本科, 15, 初创型, 移动互联网 · 硬件
FPGA开发, 12, 1, 技术, 硬件开发, 索那声美, 杭州, 本科, 15, 成长型, 移动互联网 · 硬件
FPGA开发, 9, 1, 技术, 硬件开发, 广州寰讯信息科技, 广州, 本科, 15, 初创型, 移动互联网 · 教育
FPGA开发, 8, 1, 技术, 硬件开发, 成都旋极, 成都, 本科, 50, 上市公, 移动互联网 · 硬件
FPGA开发, 8, 1, 技术, 硬件开发, 捷控电子, 广州, 本科, 150, 成长型, 硬件
FPGA开发, 8, 1, 技术, 硬件开发, 中科飞鸿, 北京, 本科, 150, 初创型, 硬件
FPGA开发, 11, 1, 技术, 硬件开发, 云合, 成都, 本科, 15, 初创型, 医疗健康 · 数据服务
FPGA开发, 15, 不, 技术, 硬件开发, 北极光, 深圳, 硕士, 50, 成长型, 金融
FPGA开发, 12, 1, 技术, 硬件开发, 固胜科技, 武汉, 本科, 15, 初创型, 移动互联网 · 硬件
FPGA开发, 11, 1, 技术, 硬件开发, 天冠电子, 长沙, 大专, 15, 初创型, 移动互联网 · 硬件
FPGA开发, 15, 不, 技术, 硬件开发, 高速数据采集, 北京, 本科, 15, 初创型, 移动互联网 · 电子商务
FPGA开发, 8, 1, 技术, 硬件开发, 朗威视讯, 北京, 本科, 50, 上市公, 文化娱乐 · 其他
FPGA开发, 15, 3, 技术, 硬件开发, 韵动科技, 北京, 本科, 15, 初创型, 游戏 · 硬件
FPGA开发, 3, 不, 技术, 硬件开发, 北京贵合祥云, 北京, 本科, 15, 初创型, 硬件 · 企业服务
FPGA开发, 11, 1, 技术, 硬件开发, 速腾聚创, 深圳, 本科, 15, 成长型, 移动互联网 · 硬件
FPGA开发, 5, 1, 技术, 硬件开发, 优诺科技, 西安, 本科, 15, 初创型, 其他
FPGA开发, 10, 3, 技术, 硬件开发, 高德红外, 武汉, 硕士, 500, 上市公, 电子商务 · 硬件
FPGA开发（联想项目平台）, 17, 3, 技术, 硬件开发, 联想利泰, 北京, 本科, 500, 初创型, 移动互联网 · 招聘
FPGA开发 攻城狮, 10, 3, 技术, 硬件开发, 客所思, 深圳, 本科, 500, 成熟型, 硬件 · 文化娱乐
FPGA开发工程师, 15, 3, 技术, 硬件开发, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
FPGA开发工程师, 16, 5, 技术, 后端开发, 释码大华, 北京, 本科, 50, 成熟型, 移动互联网
FPGA开发工程师, 37, 不, 技术, 硬件开发, 地平线机器人, 北京, 硕士, 15, 初创型, 移动互联网 · 硬件
FPGA开发工程师, 7, 1, 技术, 硬件开发, 洪森科技, 广州, 大专, 50, 成长型, 移动互联网 · 信息安全
FPGA开发工程师, 15, 1, 技术, 硬件开发, 飞创北京, 北京, 本科, 150, 成长型, 金融
FPGA开发工程师, 15, 3, 技术, 硬件开发, 中科院通用芯片基础软件研究中心, 上海, 本科, 150, 成长型, 企业服务 · 数据服务
高级FPGA开发工程师, 20, 5, 技术, 硬件开发, 中海达, 广州, 本科, 500, 上市公, 硬件
FPGA开发工程师-校园招聘, 10, 应届毕业, 技术, 硬件开发, 飞创北京, 北京, 本科, 150, 成长型, 金融
FPGA开发工程师, 15, 1, 技术, 硬件开发, 飞天联合, 北京, 大专, 50, 成长型, 移动互联网
