职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
电路设计, 15, 1, 技术, 硬件开发, 迈多多科技, 北京, 本科, 15, 初创型, 移动互联网 · 游戏
电路设计, 16, 1, 技术, 硬件开发, 智充, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
电路设计, 6, 1, 技术, 硬件开发, 携能, 郑州, 本科, 15, 初创型, 生活服务 · 硬件
电路设计, 15, 3, 技术, 硬件开发, 无限时空, 北京, 本科, 50, 成熟型, 游戏
电路设计, 22, 3, 技术, 硬件开发, 北醒, 北京, 学历不限, 15, 成长型, 其他
电路设计, 10, 不, 技术, 硬件开发, 回车科技, 杭州, 本科, 15, 初创型, 移动互联网 · 硬件
电路设计, 6, 3, 技术, 硬件开发, MTC, 北京, 本科, 15, 初创型, 其他
电路设计, 6, 1, 技术, 硬件开发, MTC, 北京, 本科, 15, 初创型, 其他
电路设计, 15, 1, 技术, 硬件开发, 韵动科技, 北京, 本科, 15, 初创型, 游戏 · 硬件
电路设计, 10, 不, 技术, 硬件开发, 八度阳光, 北京, 本科, 15, 初创型, 硬件 · 其他
电路设计, 9, 3, 技术, 硬件开发, 威果智能, 郑州, 本科, 50, 上市公, 移动互联网 · 硬件
电路设计, 24, 3, 技术, 硬件开发, 华旭科技, 深圳, 本科, 150, 成长型, 企业服务
电路设计, 12, 1, 技术, 硬件开发, 美亚柏科, 厦门, 本科, 500, 上市公, 信息安全 · 数据服务
电路设计, 4, 1, 技术, 硬件开发, 宏伟建设, 深圳, 大专, 50, 成长型, 其他
电路设计, 6, 1, 技术, 硬件开发, 也能, 深圳, 学历不限, 150, 成长型, 社交网络 · O2O
电路设计, 4, 不, 技术, 硬件开发, 安徽动力源, 石家庄, 大专, 500, 初创型, 电子商务 · 硬件
电路设计, 11, 3, 技术, 硬件开发, 随身教, 杭州, 本科, 15, 初创型, 移动互联网 · 教育
电路设计, 12, 3, 技术, 硬件开发, 绿恩福地, 北京, 本科, 15, 初创型, 硬件 · 信息安全
电路设计, 4, 不, 技术, 硬件开发, 易科塞德, 深圳, 学历不限, 15, 初创型, 硬件
电路设计, 9, 1, 技术, 硬件开发, 浙江万克自动化工程有限公司, 杭州, 本科, 15, 初创型, 其他
电路设计, 30, 5, 技术, 硬件开发, 磁宇, 上海, 硕士, 15, 成长型, 移动互联网 · 硬件
模拟电路设计工程师, 15, 1, 技术, 硬件开发, 新岸线, 北京, 本科, 150, 初创型, 硬件
电路设计工程师, 10, 3, 技术, 硬件开发, 中国国际技术智力合作公司, 成都, 本科, 150, 成长型, 企业服务
电路设计工程师, 5, 1, 技术, 硬件开发, 宁波小智无人机有限公司, 哈尔滨, 学历不限, 15, 初创型, 硬件
电路设计工程师, 16, 3, 技术, 硬件开发, 网安信泰, 杭州, 本科, 15, 成长型, 数据服务 · 硬件
电路设计工程师, 7, 1年以, 技术, 测试, 乐居乐家, 苏州, 大专, 15, 初创型, 移动互联网 · 医疗健康
电路设计工程师, 5, 1, 技术, 硬件开发, 宁波小智无人机有限公司, 哈尔滨, 学历不限, 15, 初创型, 硬件
高速数字电路设计工程师, 19, 3, 技术, 硬件开发, SenseTime, 深圳, 本科, 50, 成长型, 移动互联网
高速数字电路设计工程师, 22, 3, 技术, 硬件开发, SenseTime, 深圳, 硕士, 150, 成长型, 移动互联网
开关电源电路设计, 9, 不, 技术, 硬件开发, 昊瑞昌, 北京, 学历不限, 15, 初创型, 分类信息 · 其他
电子工程师、电路设计、layout工程师, 12, 1, 技术, 硬件开发, STARY电动滑板公司, 上海, 大专, 15, 初创型, 硬件
资深电子工程师、电路设计、高级电子工程师, 15, 3, 技术, 硬件开发, STARY电动滑板公司, 上海, 本科, 15, 初创型, 硬件
射频集成电路设计工程师, 12, 应届毕业, 技术, 硬件开发, 南京美辰微电子, 南京, 硕士, 50, 初创型, 其他
射频电路设计工程师, 8, 1, 技术, 硬件开发, 芯旺, 上海, 本科, 50, 成长型, 移动互联网 · 硬件
硬件电路设计工程师, 15, 1, 技术, 硬件开发, 轻客智能科技, 北京, 本科, 15, 初创型, 数据服务 · 硬件
射频集成电路设计工程师, 12, 应届毕业, 设计, 高端设计职位, 南京美辰微电子, 南京, 硕士, 50, 初创型, 其他
电子工程研发高级经理 (嵌入式系统,声学,电声,音响,电路设计), 20, 5, 技术, 硬件开发, 奥卓, 深圳, 本科, 15, 成长型, 移动互联网 · 硬件
模拟集成电路设计工程师, 7, 1, 技术, 硬件开发, 芯旺, 上海, 硕士, 50, 成长型, 移动互联网 · 硬件
模拟集成电路设计工程师, 12, 应届毕业, 设计, 高端设计职位, 南京美辰微电子, 南京, 硕士, 50, 初创型, 其他
