职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
驱动开发, 8, 3, 技术, 硬件开发, 曲奇单车, 厦门, 本科, 50, 初创型, 移动互联网 · 硬件
驱动开发, 11, 1, 技术, 前端开发, 创维研发总部, 广州, 本科, 2000, 上市公, 硬件
驱动开发, 11, 不, 技术, 后端开发, 玲珑, 郑州, 学历不限, 50, 初创型, 电子商务 · 招聘
驱动开发, 11, 1, 技术, 硬件开发, 润和软件, 南京, 本科, 2000, 上市公, 移动互联网
驱动开发, 12, 1, 技术, 硬件开发, 天融信, 北京, 本科, 500, 成熟型, 信息安全
驱动开发, 20, 3, 技术, 硬件开发, 中太数据, 深圳, 本科, 150, 成长型, 硬件 · 移动互联网
驱动开发, 15, 3, 技术, 硬件开发, 埃微, 深圳, 大专, 50, 初创型, 移动互联网 · 医疗健康
驱动开发, 9, 3, 技术, 硬件开发, 际上导航, 武汉, 大专, 50, 成长型, 其他
驱动开发, 22, 1, 技术, 硬件开发, 深圳嘟嘟智能科技有限公司, 深圳, 大专, 15, 初创型, 移动互联网
驱动开发, 22, 3, 技术, 硬件开发, 传音控股, 深圳, 本科, 2000, 成长型, 移动互联网
驱动开发, 15, 1, 技术, 硬件开发, PICA8, 北京, 硕士, 50, 成长型, 移动互联网 · 数据服务
驱动开发, 12, 1, 技术, 硬件开发, 率众, 上海, 大专, 15, 成长型, 移动互联网 · 其他
驱动开发, 15, 3, 技术, 硬件开发, 立信诺网络, 深圳, 本科, 150, 成长型, 移动互联网
驱动开发, 12, 1, 技术, 硬件开发, 天语手机, 北京, 本科, 2000, 上市公, 移动互联网
驱动开发（机顶盒）, 12, 3, 技术, 硬件开发, 创维数字, 深圳, 本科, 2000, 上市公, 硬件 · 其他
驱动开发, 15, 1, 技术, 硬件开发, 上海兰宝, 上海, 本科, 150, 初创型, 移动互联网
驱动开发, 7, 3, 技术, 硬件开发, 昊辉普天, 北京, 学历不限, 50, 初创型, 移动互联网 · 企业服务
驱动开发, 27, 3, 技术, 硬件开发, 华为技术有限公司, 深圳, 本科, 2000, 成熟型, 移动互联网 · 企业服务
驱动开发, 12, 1, 技术, 硬件开发, 云诺维, 深圳, 学历不限, 15, 初创型, 移动互联网 · 硬件
驱动开发, 20, 1, 技术, 硬件开发, 360, 北京, 本科, 2000, 上市公, 移动互联网 · 游戏
驱动开发工程师, 6, 不, 技术, 硬件开发, 智慧生活公司, 烟台, 本科, 50, 初创型, 数据服务 · 硬件
驱动开发工程师, 10, 1, 技术, 硬件开发, 广东天波, 佛山, 本科, 150, 成长型, 移动互联网 · 其他
驱动开发工程师, 30, 3, 技术, 硬件开发, Ruff, 上海, 学历不限, 15, 成长型, 数据服务 · 硬件
驱动开发, 20, 3, 技术, 硬件开发, 安龙基因, 北京, 本科, 15, 成长型, 医疗健康
驱动开发工程师, 9, 不, 技术, 硬件开发, 沃邦, 深圳, 本科, 50, 成长型, 医疗健康 · 硬件
驱动开发工程师, 15, 1, 技术, 硬件开发, 智充, 北京, 本科, 15, 初创型, 移动互联网 · O2O
内核驱动开发工程师, 25, 5, 技术, 高端技术职位, 2345.com, 上海, 大专, 500, 上市公, 数据服务 · 移动互联网
驱动开发工程师, 10, 不, 技术, 高端技术职位, 玲珑, 郑州, 学历不限, 50, 初创型, 电子商务 · 招聘
驱动开发工程师, 15, 3, 技术, 后端开发, 蜜友, 北京, 本科, 15, 初创型, 移动互联网 · 医疗健康
驱动开发工程师（急聘）, 17, 3, 技术, 移动开发, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
驱动开发工程师, 12, 3, 技术, 硬件开发, 泰捷软件, 深圳, 本科, 50, 成长型, 文化娱乐 · 硬件
驱动开发工程师, 10, 1, 技术, 硬件开发, 成都西可, 成都, 大专, 150, 成长型, 硬件
驱动开发工程师, 17, 3, 技术, 后端开发, 中科院上海高研院, 上海, 本科, 500, 成熟型, 电子商务 · 数据服务
windows驱动开发, 15, 3, 技术, 硬件开发, 无限时空, 北京, 硕士, 50, 成熟型, 游戏
windows驱动开发, 22, 3, 技术, 后端开发, 怡美假日, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
Android底层驱动开发, 6, 1, 技术, 移动开发, 武汉佰钧成技术有限公司, 武汉, 本科, 2000, 成长型, 移动互联网 · 分类信息
Android底层驱动开发, 10, 1, 技术, 移动开发, 佰钧成技术, 武汉, 本科, 2000, 成熟型, 企业服务 · 金融
usb驱动开发, 10, 1, 技术, 硬件开发, 萨宝科技, 杭州, 本科, 15, 成长型, 移动互联网 · 数据服务
驱动开发工程师, 8, 1, 技术, 硬件开发, DOCOM, 深圳, 大专, 50, 初创型, 硬件
驱动开发高级工程师, 13, 3, 技术, 后端开发, 成都西可, 成都, 大专, 150, 成长型, 硬件
windows驱动开发工程师, 22, 3, 技术, 后端开发, 噢易云计算, 武汉, 学历不限, 150, 初创型, 数据服务
驱动开发工程师, 12, 3, 技术, 移动开发, 传音控股, 上海, 本科, 500, 成熟型, 移动互联网 · 硬件
Liunx驱动开发工程师, 8, 3, 技术, 硬件开发, 友迪资讯, 广州, 本科, 150, 成长型, 移动互联网
Linux--驱动开发, 10, 1, 技术, 硬件开发, 成都万创, 成都, 大专, 50, 上市公, 移动互联网 · 硬件
驱动开发工程师, 14, 3, 技术, 后端开发, 北京金立, 北京, 本科, 2000, 成熟型, 移动互联网 · 其他
底层驱动开发工程师, 16, 3, 技术, 硬件开发, 优酷土豆, 北京, 学历不限, 2000, 上市公, 数据服务 · 文化娱乐
windows驱动开发工程师, 22, 不, 技术, 后端开发, 比领网络, 上海, 学历不限, 50, 初创型, 移动互联网 · 信息安全
linux驱动开发工程师, 20, 1, 技术, 硬件开发, 索那声美, 杭州, 本科, 15, 成长型, 移动互联网 · 硬件
Linux驱动开发工程师, 12, 3, 技术, 硬件开发, 潮流网络, 杭州, 本科, 150, 成长型, 其他
linux驱动开发/驱动移植, 15, 3, 技术, 后端开发, 雄迈, 杭州, 本科, 500, 成熟型, 硬件 · 文化娱乐
windows驱动开发, 15, 3, 技术, 后端开发, 方物, 北京, 本科, 150, 初创型, 数据服务
windows驱动开发工程师, 30, 3, 技术, 后端开发, 劲马奥通, 北京, 大专, 15, 成长型, 移动互联网 · 电子商务
windows驱动开发软件工程师, 30, 3, 技术, 后端开发, 云丛科技, 北京, 大专, 15, 成长型, 移动互联网
windows驱动开发软件工程师, 30, 1, 技术, 后端开发, 云丛科技, 北京, 大专, 15, 成长型, 移动互联网
windows驱动开发软件工程师, 30, 3, 技术, 后端开发, 摩柚生活技术有限公司, 北京, 学历不限, 50, 成长型, 移动互联网 · 电子商务
