职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
嵌入式, 10, 3, 技术, 硬件开发, 鱼影科技, 上海, 大专, 15, 初创型, 移动互联网 · 硬件
嵌入式硬件, 9, 1, 技术, 硬件开发, 黑格科技, 广州, 本科, 15, 成长型, 移动互联网 · 硬件
嵌入式, 22, 3, 技术, 硬件开发, 零零无限, 北京, 本科, 15, 成长型, 移动互联网 · 硬件
嵌入式, 7, 3, 技术, 硬件开发, 湖南拓视觉信息技术有限公司, 长沙, 本科, 15, 初创型, 移动互联网 · 硬件
嵌入式, 5, 1, 技术, 硬件开发, 华腾物联网, 西安, 大专, 150, 成长型, 硬件 · 其他
嵌入式, 15, 1, 技术, 硬件开发, 棒米科技, 杭州, 本科, 15, 成长型, 移动互联网 · 硬件
嵌入式, 7, 不, 技术, 硬件开发, 罗姆特, 合肥, 大专, 15, 初创型, 移动互联网 · 硬件
硬件, 8, 1, 技术, 硬件开发, 无境, 珠海, 本科, 15, 初创型, 移动互联网 · 硬件
硬件, 11, 1, 技术, 硬件开发, 盘丝洞网络, 杭州, 大专, 15, 成长型, 移动互联网 · 电子商务
嵌入式, 15, 1, 技术, 硬件开发, 个推, 深圳, 本科, 150, 成熟型, 移动互联网
硬件, 4, 1, 技术, 硬件开发, 萝卜WiFi, 重庆, 本科, 15, 初创型, 移动互联网 · O2O
硬件, 9, 3, 技术, 硬件开发, 斑竹智能, 西安, 大专, 15, 初创型, 移动互联网 · 硬件
嵌入式, 12, 3, 技术, 硬件开发, 个推, 深圳, 本科, 150, 成熟型, 移动互联网
硬件, 19, 3, 技术, 硬件开发, 普奥云信息, 北京, 本科, 15, 成长型, 数据服务
硬件, 11, 1, 技术, 硬件开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网 · 企业服务
嵌入式, 5, 1, 技术, 硬件开发, 天网商数科技, 东莞, 大专, 500, 成熟型, 移动互联网 · 电子商务
硬件, 6, 1, 技术, 硬件开发, 亿赛德, 宁波, 学历不限, 15, 初创型, 移动互联网 · 其他
硬件, 5, 1, 技术, 硬件开发, 南工科技, 重庆, 大专, 15, 初创型, 移动互联网
嵌入式（暂缓）, 9, 1, 技术, 硬件开发, 福建升腾资讯有限公司, 福州, 本科, 500, 上市公, 移动互联网 · 电子商务
嵌入式, 9, 1, 技术, 硬件开发, 易瘦跑步, 珠海, 学历不限, 15, 初创型, 移动互联网 · 硬件
嵌入式, 9, 1, 技术, 硬件开发, 智云网络, 宁波, 大专, 15, 初创型, O2O
嵌入式, 17, 5, 技术, 硬件开发, 广东橙鲜智能科技有限公司, 广州, 本科, 50, 成长型, 生活服务
嵌入式, 17, 5, 技术, 硬件开发, Astek China, 苏州, 学历不限, 50, 成长型, 电子商务 · 招聘
嵌入式, 4, 不, 技术, 硬件开发, 天一众合, 中山, 大专, 150, 成长型, 企业服务 · 数据服务
嵌入式, 9, 1, 技术, 硬件开发, 科蓝德, 南京, 本科, 150, 成长型, 移动互联网
嵌入式, 8, 5, 技术, 硬件开发, 经纬科技, 宁波, 本科, 150, 成长型, 企业服务 · 硬件
嵌入式, 11, 3, 技术, 硬件开发, 尚飞科技, 长沙, 本科, 15, 初创型, 移动互联网 · 硬件
嵌入式, 20, 3, 技术, 硬件开发, 福建河婆科技有限公司, 福州, 大专, 50, 初创型, 移动互联网 · 硬件
硬件, 4, 1, 技术, 硬件开发, 怡宇文化, 西安, 本科, 15, 初创型, 移动互联网 · 企业服务
硬件工程师, 16, 3, 技术, 硬件开发, 美赛达, 深圳, 本科, 150, 成熟型, 移动互联网 · 数据服务
嵌入式, 6, 1, 技术, 硬件开发, 亿赛德, 宁波, 学历不限, 15, 初创型, 移动互联网 · 其他
硬件, 12, 1, 技术, 硬件开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网 · 企业服务
硬件, 7, 不, 技术, 硬件开发, 亿家科技, 重庆, 大专, 15, 初创型, 移动互联网 · 医疗健康
嵌入式, 9, 3, 技术, 硬件开发, 斑竹智能, 西安, 大专, 15, 初创型, 移动互联网 · 硬件
嵌入式, 16, 1, 技术, 硬件开发, 杭州互动天下上海研发部, 上海, 学历不限, 15, 初创型, 移动互联网 · O2O
