职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
项目总监, 8, 3, 技术, 高端技术职位, 微传奇, 石家庄, 本科, 15, 初创型, 移动互联网 · 电子商务
项目 总监, 21, 3, 技术, 项目管理, ideabinder, 北京, 本科, 50, 初创型, 移动互联网 · 企业服务
项目总监, 22, 5, 技术, 项目管理, 思特奇浙江, 杭州, 本科, 2000, 成熟型, 移动互联网 · 企业服务
项目总监, 11, 1, 技术, 高端技术职位, 狼王网络, 南京, 本科, 15, 初创型, 移动互联网 · O2O
项目 经理（加急）, 15, 1, 技术, 项目管理, 饿了么, 上海, 大专, 2000, 成熟型, 移动互联网 · 招聘
项目总监, 15, 5, 技术, 项目管理, 上海佩才, 上海, 大专, 150, 成长型, 金融
项目总监, 22, 5, 技术, 高端技术职位, 道鑫网络, 上海, 本科, 50, 初创型, 移动互联网 · 电子商务
项目总监, 15, 5, 技术, 项目管理, 思特奇, 广州, 本科, 2000, 成熟型, 数据服务
项目总监, 12, 5, 技术, 高端技术职位, 九极, 广州, 大专, 50, 成长型, 电子商务 · 医疗健康
项目总监, 12, 3, 技术, 高端技术职位, 麦田儿, 温州, 学历不限, 15, 初创型, 移动互联网 · O2O
项目总监, 13, 10年以, 技术, 高端技术职位, 北方银证软件, 石家庄, 本科, 50, 成长型, 其他
项目总监, 21, 3, 技术, 项目管理, ideabinder, 北京, 本科, 50, 初创型, 移动互联网 · 企业服务
项目总监（银行项目）, 20, 5, 技术, 高端技术职位, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
项目总监, 18, 3, 金融, 投融资, 清科集团, 北京, 本科, 500, 成熟型, 金融
项目主管, 15, 1, 技术, 后端开发, 拓谷科技, 杭州, 大专, 15, 初创型, 移动互联网
项目主管, 9, 3, 技术, 项目管理, 广多科技, 杭州, 大专, 15, 初创型, 移动互联网 · 其他
项目总监, 25, 3, 技术, 高端技术职位, 杭州唛客网络科技有限公司, 上海, 本科, 150, 上市公, 移动互联网 · 电子商务
项目总监, 20, 5, 产品, 高端产品职位, 清科集团, 北京, 本科, 500, 成熟型, 金融
项目主管, 8, 3, 运营, 客服, Gridsum 国双, 北京, 本科, 500, 成熟型, 数据服务
项目总监, 15, 3, 技术, 项目管理, 思特奇Si-tech, 广州, 本科, 2000, 成熟型, 数据服务
项目总监, 15, 5, 技术, 项目管理, 中信网科, 北京, 大专, 500, 成熟型, 金融
项目总监, 15, 5, 技术, 高端技术职位, 思特奇Si-tech, 广州, 本科, 2000, 成熟型, 数据服务
项目总监, 7, 1, 技术, 高端技术职位, 中科宇杰, 上海, 本科, 150, 上市公, 其他
项目主管, 12, 3, 技术, 项目管理, 上海林果科技, 上海, 本科, 150, 成熟型, 移动互联网
项目总监, 12, 5, 市场与销售, 市场/营销, 通路快建, 上海, 大专, 500, 成熟型, 移动互联网  · O2O
项目总监, 15, 3, 技术, 项目管理, 北京一帮互联网科技有限公司, 厦门, 学历不限, 15, 初创型, 移动互联网
项目总监（房地产金融）, 15, 5, 金融, 投融资, 吉屋金融, 上海, 本科, 15, 成长型, 移动互联网 · 金融
项目总监, 7, 1, 技术, 高端技术职位, 韩游网, 青岛, 学历不限, 50, 初创型, 移动互联网 · 旅游
项目总监, 7, 1, 技术, 高端技术职位, 云策创意, 杭州, 学历不限, 15, 初创型, 移动互联网 · 电子商务
项目主管/项目经理, 20, 3, 技术, 项目管理, 维信理财, 上海, 本科, 2000, 成熟型, 金融
项目总监, 11, 1, 技术, 高端技术职位, 青岛易联天下, 青岛, 本科, 150, 初创型, 移动互联网 · 电子商务
项目主管, 7, 1, 运营, 运营, 远景医疗, 深圳, 大专, 150, 成长型, 医疗健康
项目总监/产品经理, 22, 3, 技术, 高端技术职位, 宁圣金控, 上海, 本科, 500, 成熟型, 移动互联网 · 金融
项目主管, 12, 3, 运营, 运营, 盛康互动传媒, 上海, 本科, 500, 成熟型, 移动互联网  · 电子商务
项目总监, 22, 5, 技术, 高端技术职位, 金蝶重庆, 重庆, 本科, 2000, 上市公, 移动互联网 · 数据服务
呼叫中心主管/经理, 9, 1, 运营, 客服, 人人行, 石家庄, 学历不限, 500, 成熟型, 移动互联网 · 金融
项目开发主管, 9, 3, 技术, 项目管理, 华标, 珠海, 学历不限, 50, 初创型, 移动互联网 · 电子商务
项目总监, 15, 5, 技术, 项目管理, 思特奇Si-tech, 广州, 本科, 2000, 成熟型, 数据服务
项目总监, 10, 3, 技术, 高端技术职位, 中呼集团, 潍坊, 本科, 500, 成熟型, 移动互联网 · 其他
项目总监, 18, 不, 产品, 高端产品职位, 华永无线, 天津, 学历不限, 150, 成长型, 移动互联网
IT项目总监, 12, 3, 技术, 高端技术职位, 易煤网, 郑州, 本科, 150, 上市公, 电子商务
项目总监, 17, 5, 技术, 项目管理, 橙红科技, 南京, 大专, 150, 初创型, 移动互联网 · 金融
项目主管, 8, 1, 市场与销售, 供应链, 云鸟科技, 北京, 大专, 150, 成长型, 移动互联网 · O2O
项目总监, 30, 10年以, 技术, 高端技术职位, 中体彩科技发展有限公司, 北京, 本科, 500, 成熟型, 移动互联网 · 电子商务
项目总监, 12, 3, 技术, 项目管理, 微盐, 深圳, 大专, 50, 初创型, 移动互联网 · 广告营销
项目总监, 20, 5, 技术, 项目管理, 云海大业, 北京, 大专, 150, 初创型, 硬件 · 分类信息
项目总监, 7, 1, 技术, 高端技术职位, 天趣, 南京, 本科, 15, 初创型, 移动互联网
项目总监, 45, 5, 技术, 高端技术职位, 上海创和股份, 上海, 本科, 50, 上市公, 电子商务
项目总监, 10, 1, 运营, 运营, 你来互动, 深圳, 学历不限, 15, 初创型, 移动互联网 · 广告营销
项目主管（乌鲁木齐）, 7, 1, 技术, 项目管理, 思特奇, 乌鲁木齐, 本科, 2000, 成熟型, 移动互联网 · 数据服务
项目主管, 7, 1, 技术, 项目管理, 联胜科技, 上海, 大专, 15, 初创型, 移动互联网
医疗项目总监, 9, 不, 产品, 高端产品职位, 科大讯飞广州子公司, 广州, 本科, 50, 上市公, 移动互联网
项目主管, 9, 不, 技术, 高端技术职位, MDC, 苏州, 本科, 150, 成长型, 移动互联网
产品项目 经理, 13, 3, 产品, 产品经理, 易遨中国, 天津, 本科, 150, 成长型, 移动互联网 · 电子商务
项目主管/经理（佛山）, 19, 3, 技术, 项目管理, 美联英语, 佛山, 本科, 2000, 初创型, 教育
项目主管, 4, 不, 技术, 硬件开发, 易网信息科技, 珠海, 大专, 15, 成熟型, 电子商务
项目总监, 25, 5, 技术, 项目管理, 海云数据, 北京, 学历不限, 50, 成长型, 数据服务 · 企业服务
项目总监, 30, 10年以, 技术, 高端技术职位, 金恪集团, 上海, 本科, 500, 成熟型, 金融
项目主管, 11, 1, 运营, 运营, 心宝一百, 北京, 本科, 50, 成长型, 电子商务
用户研究经理/主管, 12, 1, 设计, 高端设计职位, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
项目-研发总监, 27, 3, 技术, 项目管理, 一起火, 杭州, 学历不限, 50, 成长型, 移动互联网 · 电子商务
项目总监, 19, 5, 技术, 高端技术职位, 小能科技, 北京, 本科, 150, 成长型, 移动互联网
主管, 7, 不, 职能, 人力资源, 盈嘉互联, 北京, 学历不限, 50, 成长型, 移动互联网 · 企业服务
项目总监, 9, 3, 技术, 高端技术职位, 马里马里, 青岛, 大专, 50, 成熟型, 电子商务 · 移动互联网
项目总监, 11, 3, 技术, 高端技术职位, 诚邦软件, 成都, 学历不限, 15, 初创型, 医疗健康
项目总监, 9, 3, 市场与销售, 市场/营销, 环球时报市场部, 北京, 本科, 15, 初创型, 企业服务 · 广告营销
项目总监(财经/儿童方向), 11, 1, 运营, 运营, 蜻蜓FM, 上海, 本科, 150, 成熟型, 移动互联网
项目执行总监, 11, 5, 市场与销售, 市场/营销, 云智信息, 南京, 大专, 50, 成长型, 移动互联网 · O2O
项目主管, 9, 1, 运营, 运营, 58到家, 北京, 学历不限, 500, 成长型, 移动互联网 · O2O
数据中心项目主管, 12, 3, 技术, 项目管理, 相宜本草, 上海, 大专, 2000, 成熟型, 电子商务
项目总监, 22, 3, 技术, 高端技术职位, 三好网, 北京, 本科, 50, 初创型, 移动互联网 · 教育
开发总监, 40, 5, 技术, 后端开发, 超客网络, 北京, 本科, 500, 成熟型, 社交网络
项目 经理, 15, 1, 技术, 项目管理, 钢钢网, 上海, 大专, 150, 成长型, 电子商务
项目总监, 22, 3, 技术, 高端技术职位, 红舞联盟, 北京, 本科, 50, 初创型, 移动互联网
客户总监, 30, 5, 产品, 高端产品职位, 麦子金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
呼叫中心主管/经理, 11, 3, 运营, 客服, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
项目总监, 16, 5, 市场与销售, 市场/营销, 财汛通, 广州, 本科, 50, 成长型, 数据服务 · 广告营销
项目主管, 10, 3, 技术, 项目管理, 北京中科恒业, 北京, 大专, 50, 初创型, 医疗健康
政府项目主管, 8, 1, 职能, 人力资源, 安沃传媒, 北京, 本科, 150, 成熟型, 移动互联网 · 广告营销
项目总监, 15, 3, 技术, 高端技术职位, 淘酒汇, 沈阳, 学历不限, 15, 初创型, 移动互联网 · 电子商务
项目总监（信托业及非标资产业务部）, 25, 3, 金融, 高端金融职位, 证大向上, 北京, 本科, 150, 成长型, 移动互联网 · 金融
总监助理, 3, 1, 职能, 行政, 普马克, 南京, 大专, 150, 初创型, 移动互联网 · 电子商务
项目执行经理, 11, 5, 市场与销售, 市场/营销, 云智信息, 南京, 大专, 50, 成长型, 移动互联网 · O2O
业务总监, 22, 3, 金融, 高端金融职位, 国信泰九, 深圳, 本科, 500, 初创型, 金融
产品总监, 30, 3, 产品, 高端产品职位, 脸脸, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
项目主管, 5, 1, 技术, 项目管理, 洁元保洁是一家专业保洁外包公司, 上海, 大专, 500, 初创型, 企业服务 · 生活服务
淘宝客服主管, 6, 1, 运营, 运营, 百词斩, 成都, 本科, 50, 成长型, 移动互联网 · 教育
项目总监, 10, 1, 市场与销售, 市场/营销, 荔枝FM, 长沙, 大专, 150, 成熟型, 移动互联网
技术（项目）经理, 17, 5, 技术, 高端技术职位, 狮桥资本, 北京, 本科, 500, 成长型, 金融
项目高级经理, 9, 3, 技术, 项目管理, 如果艺术, 北京, 本科, 50, 成长型, 文化娱乐
项目总监, 30, 3, 技术, 高端技术职位, 享趣网, 上海, 本科, 50, 初创型, O2O · 旅游
项目主管, 6, 1, 技术, 项目管理, 北京建飞无限, 成都, 本科, 50, 成长型, 移动互联网 · 金融
项目/技术经理, 21, 3, 技术, 高端技术职位, 智拿科技, 上海, 本科, 15, 初创型, 移动互联网
用户研究经理/主管, 11, 1, 设计, 高端设计职位, ickey, 上海, 本科, 150, 成长型, 电子商务
项目主管/项目经理, 10, 3, 技术, 项目管理, 英普特, 苏州, 本科, 15, 初创型, 移动互联网 · 企业服务
项目主管（乌鲁木齐）, 7, 1, 技术, 项目管理, 思特奇, 乌鲁木齐, 本科, 2000, 成熟型, 移动互联网 · 数据服务
供应链经理/总监, 11, 5, 市场与销售, 供应链, 3W Coffee, 深圳, 大专, 15, 成长型, 移动互联网 · 招聘
项目主管, 6, 1, 技术, 项目管理, 卡保科技, 北京, 大专, 150, 成长型, 移动互联网 · O2O
公益项目主管, 7, 3, 技术, 项目管理, 小石头公益, 上海, 本科, 15, 初创型, 其他 · 教育
总监助理, 4, 不, 职能, 行政, 掌维科技, 杭州, 大专, 15, 初创型, 移动互联网 · 文化娱乐
项目总监, 15, 3, 技术, 高端技术职位, 淘酒汇, 沈阳, 学历不限, 15, 初创型, 移动互联网 · 电子商务
产品总监, 30, 5, 产品, 高端产品职位, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
产品总监, 32, 5, 产品, 高端产品职位, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
项目主管, 5, 3, 技术, 项目管理, 携恩科技, 成都, 本科, 15, 初创型, 信息安全 · 硬件
项目研发经理, 15, 5, 技术, 项目管理, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
项目招商总监, 25, 5, 市场与销售, 采购, 吉利招聘, 杭州, 本科, 2000, 上市公, 电子商务 · O2O
产品总监, 40, 5, 产品, 高端产品职位, 千里马招标网, 北京, 学历不限, 150, 成长型, 电子商务 · 企业服务
