职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
安全专家, 22, 3, 技术, 高端技术职位, 上海沪方, 上海, 本科, 150, 成长型, 移动互联网
安全专家, 22, 3, 技术, 高端技术职位, 优分期, 北京, 大专, 500, 成长型, 电子商务 · 金融
安全 专家, 22, 3, 技术, 高端技术职位, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
安全专家, 11, 3, 技术, 高端技术职位, 上上签, 杭州, 本科, 50, 成长型, 移动互联网 · 企业服务
安全专家, 12, 3, 技术, 高端技术职位, 乾冠信息, 杭州, 本科, 50, 初创型, 移动互联网
安全专家, 8, 1, 技术, 高端技术职位, TLScontact, 北京, 本科, 500, 成熟型, 企业服务
安全专家, 40, 5, 技术, 高端技术职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
安全专家, 18, 3, 技术, 高端技术职位, 中云网安, 北京, 本科, 15, 初创型, 数据服务
安全专家, 22, 3, 技术, 高端技术职位, 猎豹移动, 北京, 本科, 500, 上市公, 移动互联网 · 信息安全
安全专家(漏洞挖掘方向), 35, 5, 技术, 高端技术职位, 阿里巴巴, 杭州, 本科, 2000, 上市公, 移动互联网
安全专家, 19, 3, 技术, 高端技术职位, CSC, 上海, 本科, 500, 上市公, 电子商务
安全专家, 26, 5, 技术, 高端技术职位, 小米, 北京, 学历不限, 2000, 成熟型, 移动互联网
安全专家, 20, 3, 技术, 高端技术职位, 北京天宇正清科技有限公司, 北京, 大专, 50, 成熟型, 移动互联网 · 电子商务
安全专家, 26, 不, 技术, 高端技术职位, 乐视, 北京, 大专, 2000, 上市公, 移动互联网 · 文化娱乐
安全专家, 4, 1, 技术, 高端技术职位, 黑光公司, 潍坊, 本科, 50, 初创型, 移动互联网 · 招聘
安全专家, 22, 1, 技术, 高端技术职位, 优分期, 北京, 大专, 500, 成长型, 电子商务 · 金融
安全 专家, 22, 3, 技术, 高端技术职位, 优分期, 北京, 大专, 500, 成长型, 电子商务 · 金融
安全专家（移动端）, 22, 不, 技术, 测试, 民金所, 北京, 本科, 2000, 上市公, 金融
安全专家, 25, 5, 技术, 高端技术职位, 苏宁云商, 南京, 学历不限, 2000, 上市公, O2O
安全专家（WEB方向）, 22, 3, 技术, 运维, 民金所, 北京, 本科, 2000, 上市公, 金融
安全专家, 22, 1, 技术, 高端技术职位, 天湃网络, 杭州, 学历不限, 150, 成长型, 移动互联网
安全专家, 37, 5, 技术, 高端技术职位, 蘑菇街, 杭州, 本科, 500, 成熟型, 电子商务
安全专家, 9, 1, 技术, 高端技术职位, 新媒传信, 北京, 大专, 2000, 上市公, 移动互联网 · 数据服务
安全专家, 22, 3, 技术, 高端技术职位, 千寻位置, 上海, 本科, 150, 初创型, 移动互联网
安全专家, 12, 3, 技术, 高端技术职位, 上海狼宝, 北京, 本科, 50, 初创型, 电子商务
安全架构专家, 37, 5, 技术, 高端技术职位, 百联全渠道电商, 上海, 本科, 500, 成熟型, 电子商务 · O2O
安全专家, 22, 3, 技术, 高端技术职位, 58同城, 北京, 本科, 2000, 上市公, 生活服务 · 分类信息
安全专家, 22, 1, 技术, 高端技术职位, 唯品会, 北京, 本科, 2000, 上市公, 电子商务
安全专家, 15, 不, 技术, 高端技术职位, 山海诚信, 北京, 学历不限, 15, 初创型, 移动互联网 · 信息安全
安全专家, 11, 不, 技术, 高端技术职位, 智度, 北京, 本科, 150, 成长型, 移动互联网 · 广告营销
【安全专家】, 22, 3, 技术, 高端技术职位, 优分期, 北京, 大专, 500, 成长型, 电子商务 · 金融
安全专家, 30, 3, 技术, 高端技术职位, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
安全专家, 22, 3, 技术, 高端技术职位, 老虎致远, 北京, 大专, 50, 初创型, 移动互联网
安全专家, 30, 5, 技术, 高端技术职位, 英富森, 北京, 本科, 2000, 初创型, 移动互联网 · 电子商务
安全专家, 22, 5, 技术, 高端技术职位, 安邦保险集团, 北京, 硕士, 2000, 成熟型, 移动互联网 · 金融
安全专家（网络电话）, 25, 3, 技术, 高端技术职位, 同花顺, 杭州, 本科, 2000, 上市公, 金融
安全技术专家, 22, 不, 技术, 后端开发, 微店杭州研发中心, 杭州, 学历不限, 150, 成熟型, 移动互联网 · 电子商务
安全专家, 7, 1, 技术, 高端技术职位, 好耶科技, 成都, 大专, 50, 初创型, 移动互联网 · 游戏
安全专家, 6, 1, 技术, 高端技术职位, 好耶科技, 成都, 大专, 50, 初创型, 移动互联网 · 游戏
安全技术 专家, 27, 3, 技术, 后端开发, 蘑菇街, 杭州, 本科, 500, 成熟型, 电子商务
安全专家, 75, 10年以, 技术, 高端技术职位, 华为技术有限公司, 深圳, 本科, 2000, 成熟型, 移动互联网 · 企业服务
高级安全专家, 27, 3, 技术, 高端技术职位, 艺龙, 北京, 本科, 2000, 成熟型, 移动互联网 · 旅游
高级安全专家, 45, 5, 技术, 高端技术职位, 阿里巴巴, 杭州, 学历不限, 2000, 上市公, 移动互联网
安全专家（大数据安全分析、入侵检测）, 27, 3, 技术, 高端技术职位, 启明星辰, 北京, 本科, 2000, 上市公, 移动互联网
服务器安全专家, 32, 1, 技术, 运维, 飞常U惠, 深圳, 学历不限, 150, 初创型, 移动互联网 · 生活服务
安全-专家, 22, 3, 技术, 高端技术职位, 优分期, 北京, 大专, 500, 成长型, 电子商务 · 金融
安全【专家】, 22, 3, 技术, 高端技术职位, 优分期, 北京, 大专, 500, 成长型, 电子商务 · 金融
运维工程师（安全专家）, 11, 3, 技术, 高端技术职位, 艾媒数聚, 广州, 本科, 150, 成长型, 移动互联网
传感器专家, 31, 3, 技术, 硬件开发, 美的智慧家居研究院, 深圳, 本科, 50, 成长型, 硬件
金融安全 专家, 40, 5, 技术, 高端技术职位, 蘑菇街, 杭州, 学历不限, 500, 成熟型, 电子商务
服务器安全专家, 32, 1, 技术, 运维, 飞常U惠, 深圳, 学历不限, 150, 初创型, 移动互联网 · 生活服务
安全测试专家/工程师, 22, 3, 技术, 测试, 微店杭州研发中心, 杭州, 大专, 150, 成熟型, 移动互联网 · 电子商务
技术专家/架构师, 32, 5, 技术, 后端开发, e代驾, 上海, 本科, 500, 成熟型, 移动互联网 · O2O
大数据专家, 42, 5, 技术, 高端技术职位, 真融宝, 北京, 硕士, 50, 成长型, 金融
电声专家, 30, 10年以, 技术, 硬件开发, 一加手机, 深圳, 本科, 500, 初创型, 电子商务
app设计专家, 19, 3, 设计, 视觉设计, 威阔（Trustlook）, 杭州, 本科, 15, 初创型, 移动互联网
解决方案专家, 15, 3, 技术, 企业软件, 云积分, 深圳, 本科, 50, 初创型, 企业服务 · 移动互联网
产品专家（经理/总监）, 45, 5, 产品, 产品经理, 杭州铭师堂教育科技, 杭州, 本科, 150, 成长型, 移动互联网
业务专家（FICO方向）, 30, 5, 技术, 企业软件, 中体彩科技发展有限公司, 北京, 本科, 500, 成熟型, 移动互联网 · 电子商务
商家运营专家, 9, 3, 运营, 运营, 大搜车, 杭州, 大专, 500, 成熟型, 移动互联网 · O2O
安全专家, 22, 3, 技术, 高端技术职位, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
