职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
项目专员, 6, 1年以, 技术, 项目管理, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
项目助理, 7, 1, 技术, 项目管理, 路路由, 上海, 大专, 150, 成长型, 移动互联网 · O2O
项目助理, 3, 不, 技术, 项目管理, 上海圆昶金融信息服务有限公司, 上海, 本科, 50, 成长型, 金融
项目助理, 4, 不, 技术, 项目管理, 普林科技, 上海, 本科, 50, 成长型, 数据服务
项目助理, 4, 1, 技术, 项目管理, 聚工厂, 杭州, 学历不限, 50, 初创型, 移动互联网
项目助理, 5, 不, 技术, 项目管理, 时光流影, 合肥, 本科, 500, 上市公, 社交网络
项目助理, 6, 1, 技术, 项目管理, 蘑菇租房, 上海, 大专, 150, 成长型, 移动互联网 · 电子商务
项目助理, 7, 1, 技术, 项目管理, 汇通天下, 上海, 本科, 500, 成熟型, 移动互联网 · 数据服务
项目助理, 5, 不, 职能, 行政, 杭州文思海辉, 杭州, 大专, 2000, 上市公, 移动互联网 · 企业服务
项目助理, 2, 1年以, 技术, 项目管理, 720科技, 福州, 大专, 15, 初创型, 移动互联网 · 金融
项目助理, 2, 不, 技术, 项目管理, 星程动力, 北京, 大专, 15, 初创型, 企业服务 · 广告营销
项目助理, 8, 1, 技术, 项目管理, 艾玛, 青岛, 大专, 150, 成长型, 移动互联网 · 电子商务
项目助理, 7, 不, 技术, 项目管理, 句多网络, 上海, 学历不限, 15, 初创型, 游戏
项目助理, 9, 不, 技术, 项目管理, 句多网络, 上海, 学历不限, 15, 初创型, 游戏
项目助理/产品文员, 6, 1, 技术, 项目管理, 鹏海运, 深圳, 本科, 150, 成长型, 企业服务 · 数据服务
项目助理, 4, 1, 技术, 项目管理, 文思海辉, 无锡, 本科, 2000, 成熟型, 移动互联网 · 企业服务
项目助理, 7, 应届毕业, 技术, 项目管理, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
项目助理, 6, 1, 技术, 项目管理, 贵仁科技, 杭州, 本科, 150, 初创型, 其他
项目助理, 4, 1, 技术, 项目管理, 文思海辉, 杭州, 本科, 2000, 上市公, 数据服务
项目助理, 8, 3, 技术, 项目管理, 凯美瑞德, 苏州, 本科, 150, 成长型, 金融
项目助理, 4, 1, 产品, 产品经理, 赋天fullteem, 广州, 大专, 15, 初创型, 移动互联网
项目助理, 6, 1, 技术, 项目管理, 新智, 北京, 本科, 500, 上市公, 移动互联网
项目助理, 7, 应届毕业, 技术, 项目管理, 帆软软件, 南京, 本科, 50, 成长型, 数据服务
项目 助理（急）, 7, 应届毕业, 技术, 项目管理, 饿了么, 上海, 本科, 2000, 成熟型, 移动互联网 · 招聘
项目助理（应届生）, 5, 应届毕业, 技术, 项目管理, 北大医信, 北京, 本科, 500, 成熟型, 医疗健康
项目助理, 8, 1, 产品, 产品经理, 精灵网, 上海, 大专, 50, 成长型, 移动互联网 · 电子商务
项目助理, 7, 不, 技术, 项目管理, 北京麦田, 北京, 大专, 2000, 成熟型, 生活服务
项目专员, 7, 不, 技术, 项目管理, 北京捷越联合, 上海, 本科, 2000, 成熟型, 金融
项目助理, 4, 1, 技术, 项目管理, camelot, 苏州, 学历不限, 2000, 上市公, 企业服务 · 其他
项目助理, 3, 1, 技术, 项目管理, 七加二, 天津, 大专, 50, 成长型, 电子商务 · 企业服务
项目专员, 7, 1年以, 运营, 运营, Mobvista, 广州, 本科, 150, 成长型, 移动互联网 · 游戏
项目助理, 7, 1, 技术, 项目管理, 今日头条, 北京, 本科, 500, 成熟型, 移动互联网 · 数据服务
项目助理, 4, 不, 技术, 项目管理, 普林科技, 北京, 本科, 50, 成长型, 数据服务
项目助理, 4, 1, 运营, 运营, 每日瑜伽, 西安, 本科, 15, 初创型, 移动互联网 · 文化娱乐
项目助理, 9, 1, 技术, 项目管理, 四达时代集团, 北京, 本科, 2000, 成熟型, 文化娱乐 · 硬件
项目助理, 4, 不, 技术, 项目管理, 辉瑞制药, 赤峰, 大专, 2000, 上市公, 医疗健康 · 其他
项目助理, 6, 1, 技术, 项目管理, 欧电云, 上海, 大专, 50, 初创型, 电子商务 · 企业服务
项目助理, 4, 不, 市场与销售, 公关, 北京顶智传扬公关顾问有限公司, 北京, 本科, 50, 初创型, 广告营销
项目专员/风控专员, 7, 1, 金融, 风控, 福华中金, 上海, 本科, 50, 成长型, 移动互联网 · 金融
项目助理, 3, 1, 技术, 项目管理, 航天泰坦, 昆明, 本科, 150, 成长型, 企业服务
项目助理, 4, 1, 技术, 项目管理, 首一, 南京, 大专, 15, 初创型, 电子商务 · 金融
项目助理, 3, 1年以, 技术, 项目管理, 成都康赛, 成都, 本科, 150, 初创型, 教育 · 数据服务
