职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
项目经理, 11, 3, 技术, 项目管理, 湖南中清龙图, 长沙, 大专, 500, 成长型, 移动互联网 · 游戏
项目经理, 20, 3, 技术, 项目管理, 云信, 广州, 本科, 50, 成长型, 金融
项目经理, 20, 3, 技术, 项目管理, 云信, 苏州, 本科, 50, 成长型, 金融
项目经理, 15, 5, 技术, 项目管理, 中大凯旋, 广州, 本科, 50, 成长型, 电子商务
项目经理, 22, 5, 技术, 高端技术职位, 平安科技, 深圳, 本科, 2000, 成熟型, 金融
项目经理, 20, 1, 技术, 项目管理, 贝米钱包, 上海, 本科, 15, 成长型, 金融
项目经理, 15, 3, 技术, 项目管理, 阔知网络, 杭州, 本科, 50, 初创型, 企业服务 · 教育
项目经理, 22, 5, 技术, 项目管理, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
项目经理, 15, 1, 技术, 项目管理, 电话邦, 北京, 大专, 150, 成长型, 移动互联网 · 数据服务
项目经理, 15, 不, 技术, 项目管理, 思必驰科技, 深圳, 本科, 150, 成长型, 企业服务
项目经理, 20, 3, 技术, 项目管理, 考拉先生, 广州, 本科, 150, 成长型, 移动互联网
项目经理, 22, 3, 产品, 产品经理, EZbuy, 上海, 本科, 150, 成长型, 电子商务 · 生活服务
项目经理, 14, 3, 技术, 项目管理, 掌上药店, 上海, 本科, 15, 成长型, 移动互联网
项目经理, 15, 5, 技术, 项目管理, 联创集团信通科技, 昆明, 本科, 150, 成长型, 移动互联网 · 教育
项目经理, 8, 5, 技术, 项目管理, 恩普特, 郑州, 本科, 50, 成长型, 移动互联网 · 硬件
项目经理, 22, 3, 技术, 项目管理, 店达信息, 上海, 本科, 150, 成长型, 电子商务 · O2O
项目经理, 17, 3, 技术, 项目管理, 凯美瑞德, 佛山, 本科, 150, 成长型, 金融
项目经理, 6, 不, 运营, 运营, 微通, 东莞, 学历不限, 15, 初创型, 移动互联网 · 电子商务
项目经理, 5, 3, 技术, 项目管理, 时光流影, 合肥, 本科, 500, 上市公, 社交网络
项目经理, 15, 3, 技术, 项目管理, 国邦, 东莞, 本科, 2000, 成熟型, 移动互联网 · O2O
项目经理, 22, 5, 技术, 项目管理, 上海天正, 徐州, 大专, 150, 成长型, 数据服务
项目经理, 15, 3, 技术, 项目管理, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
项目经理, 15, 5, 技术, 后端开发, 百航信息, 杭州, 本科, 50, 成长型, 移动互联网 · 金融
项目经理, 11, 3, 技术, 项目管理, 海大物联, 宁波, 本科, 50, 成长型, 移动互联网 · 企业服务
项目经理, 7, 不, 技术, 项目管理, 万贸科技, 天津, 学历不限, 50, 成长型, 企业服务 · 文化娱乐
项目经理, 15, 3, 技术, 项目管理, 心游科技, 珠海, 本科, 150, 初创型, 移动互联网 · 游戏
项目经理, 10, 1, 技术, 项目管理, 师徒部落, 广州, 学历不限, 50, 初创型, 移动互联网 · 社交网络
项目经理, 6, 1, 技术, 项目管理, 聚工厂, 杭州, 大专, 50, 初创型, 移动互联网
项目经理, 7, 不, 技术, 项目管理, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
项目经理, 8, 3, 技术, 项目管理, 新云联, 杭州, 本科, 50, 初创型, 电子商务 · O2O
项目经理, 10, 3, 技术, 项目管理, 星核软件, 哈尔滨, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
项目经理, 12, 3, 技术, 项目管理, 云创, 武汉, 本科, 15, 成长型, 移动互联网
