职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
测试开发（H5 QA）, 16, 1, 技术, 测试, 人人行, 北京, 大专, 500, 成熟型, 移动互联网 · 金融
测试开发, 17, 3, 技术, 测试, 乐住科技/眯客, 北京, 本科, 150, 成长型, O2O
测试开发, 11, 1, 技术, 测试, 神工, 北京, 大专, 150, 成长型, 移动互联网 · 电子商务
测试开发（Server QA）, 22, 1, 技术, 测试, 人人行, 北京, 大专, 500, 成熟型, 移动互联网 · 金融
测试开发, 24, 3, 技术, 测试, 阿里巴巴移动事业群, 北京, 本科, 2000, 上市公, 移动互联网
测试开发, 17, 3, 技术, 测试, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
测试开发, 20, 3, 技术, 测试, 容易网, 上海, 本科, 150, 成长型, 电子商务 · O2O
测试开发, 20, 1, 技术, 测试, 蘑菇租房, 上海, 大专, 150, 成长型, 移动互联网 · 电子商务
测试开发, 6, 1, 技术, 测试, 保管家, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
测试开发, 15, 1, 技术, 测试, 汽车超人, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
测试开发, 20, 不, 技术, 测试, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
测试开发, 5, 不, 技术, 测试, 文思海辉, 无锡, 大专, 2000, 成熟型, 移动互联网 · 企业服务
测试开发, 3, 应届毕业, 技术, 测试, 搜办, 杭州, 大专, 150, 初创型, O2O · 企业服务
测试开发, 15, 1, 技术, 测试, 云之讯, 深圳, 本科, 150, 成长型, 移动互联网
测试开发, 19, 1, 技术, 测试, 好买基金网（联想腾讯注资企业）, 上海, 本科, 500, 成熟型, 电子商务 · 金融
测试开发（数据平台测试）, 15, 3, 技术, 测试, 汽车之家, 北京, 大专, 2000, 上市公, 移动互联网 · 文化娱乐
测试开发（iOS/Android/Web QA）, 16, 1, 技术, 测试, 人人行, 北京, 大专, 500, 成熟型, 移动互联网 · 金融
测试开发, 12, 3, 技术, 测试, 恒天软件, 上海, 大专, 500, 成熟型, 移动互联网
测试开发, 11, 1, 技术, 测试, 吃货, 上海, 本科, 15, 成长型, O2O · 移动互联网
测试开发, 22, 3, 技术, 测试, 阿里巴巴, 杭州, 学历不限, 2000, 上市公, 移动互联网
测试开发, 9, 3, 技术, 测试, 客如云, 成都, 本科, 500, 成长型, 移动互联网 · O2O
测试开发（金融中心）, 15, 1, 技术, 测试, 51信用卡管家, 杭州, 本科, 150, 成长型, 金融 · 数据服务
测试开发, 32, 5, 技术, 测试, FreeWheel, 北京, 本科, 150, 上市公, 企业服务 · 数据服务
测试开发, 6, 不, 技术, 测试, 文思海辉, 无锡, 大专, 2000, 上市公, 数据服务
测试开发, 6, 1, 技术, 测试, 文思海辉, 无锡, 大专, 2000, 上市公, 数据服务
测试开发, 21, 3, 技术, 测试, 中油瑞飞, 北京, 本科, 2000, 成熟型, 移动互联网 · 数据服务
测试开发, 15, 1, 技术, 测试, 北京智能管家科技有限公司, 北京, 学历不限, 150, 成长型, 硬件
测试开发, 11, 1, 技术, 测试, 南江机器人, 杭州, 本科, 50, 成长型, 硬件
测试开发, 11, 1, 技术, 测试, 神州专车, 北京, 本科, 2000, 上市公, 移动互联网 · 电子商务
测试开发, 15, 3, 技术, 测试, 中信银行信用卡中心, 深圳, 本科, 2000, 上市公, 移动互联网 · 金融
测试开发（针对16届毕业生，毕业后择优录取）, 4, 不, 技术, 测试, 悦享趋势, 北京, 本科, 15, 初创型, 医疗健康 · 硬件
测试开发, 20, 3, 技术, 测试, 京东金融, 杭州, 本科, 2000, 上市公, 金融
测试开发, 14, 1, 技术, 测试, 嘉银金融上海你我贷金融信息服务有限公司, 上海, 本科, 2000, 初创型, 金融
测试开发, 8, 1, 技术, 测试, 网龙网络有限公司, 福州, 大专, 2000, 上市公, 移动互联网 · 教育
测试开发, 15, 1, 技术, 测试, Micron 美光半导体, 上海, 本科, 150, 上市公, 硬件
测试开发, 4, 1年以, 技术, 测试, 十六铺金融, 杭州, 本科, 50, 成长型, 金融
