职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
测试经理, 17, 5, 技术, 测试, 用友深圳创新中心, 深圳, 学历不限, 2000, 上市公, 移动互联网 · 企业服务
测试经理, 20, 5, 技术, 测试, 美赛达, 深圳, 本科, 150, 成熟型, 移动互联网 · 数据服务
测试经理, 11, 5, 技术, 测试, 中大凯旋, 广州, 本科, 50, 成长型, 电子商务
测试经理, 15, 3, 技术, 测试, 永洪科技, 北京, 本科, 150, 成长型, 移动互联网
测试经理, 11, 5, 技术, 测试, 广州好易电子, 广州, 大专, 150, 成长型, 移动互联网 · 生活服务
测试经理, 15, 3, 技术, 测试, 初页, 北京, 本科, 15, 成长型, 移动互联网
测试经理, 12, 3, 技术, 测试, 聚贸, 杭州, 大专, 150, 成长型, 金融 · 电子商务
测试经理, 11, 5, 技术, 测试, 恒信汽车电商, 武汉, 本科, 2000, 成熟型, 电子商务
测试经理, 20, 5, 技术, 测试, 北京捷越联合, 北京, 本科, 2000, 成熟型, 金融
测试经理, 15, 3, 技术, 测试, 嘉合盛汇, 北京, 本科, 150, 成长型, 金融
测试经理, 15, 5, 技术, 测试, 仙境乐网, 北京, 本科, 50, 成长型, 移动互联网 · 游戏
测试经理, 17, 5, 技术, 测试, 博雅互动, 深圳, 本科, 500, 上市公, 移动互联网 · 游戏
测试经理, 17, 5, 技术, 测试, 温尔, 上海, 本科, 50, 成长型, 移动互联网
测试经理, 12, 3, 技术, 测试, 拉丁互联网, 广州, 学历不限, 50, 成长型, 移动互联网 · 电子商务
测试经理, 25, 3, 技术, 测试, 美柚, 杭州, 本科, 150, 成熟型, 移动互联网
测试经理, 12, 5, 技术, 测试, 泰一奇点, 北京, 本科, 15, 成长型, 移动互联网
测试经理, 14, 3, 技术, 测试, 铂涛会, 广州, 本科, 500, 初创型, 移动互联网 · 旅游
测试经理, 15, 5, 技术, 测试, 招商银行—出行易, 上海, 本科, 150, 初创型, 电子商务
测试经理, 10, 3, 技术, 测试, 句多网络, 上海, 本科, 15, 初创型, 游戏
测试经理, 12, 1, 技术, 测试, 合言信息, 杭州, 大专, 50, 初创型, 电子商务 · O2O
测试经理, 15, 3, 技术, 测试, 讯飞启明, 广州, 本科, 150, 上市公, 教育
测试经理, 25, 5, 技术, 测试, 51信用卡管家, 杭州, 本科, 150, 成长型, 金融 · 数据服务
测试经理, 21, 5, 技术, 测试, 北风网, 上海, 本科, 50, 成长型, 教育 · 数据服务
测试经理, 10, 3, 技术, 测试, 合众融, 深圳, 大专, 15, 成长型, O2O · 金融
测试经理, 10, 3, 技术, 测试, 成都康赛, 成都, 本科, 150, 初创型, 教育 · 数据服务
测试经理, 22, 3, 技术, 测试, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
测试经理, 15, 3, 技术, 测试, 胶囊科技, 北京, 大专, 50, 成长型, 移动互联网
测试经理, 29, 1, 技术, 测试, 厦门市云客网络科技有限公司, 杭州, 大专, 50, 初创型, 移动互联网 · 电子商务
测试经理, 10, 3, 技术, 测试, 晶赞科技Zamplus, 上海, 本科, 150, 成熟型, 数据服务 · 文化娱乐
测试经理, 22, 5, 技术, 测试, 好买基金网（联想腾讯注资企业）, 上海, 本科, 500, 成熟型, 电子商务 · 金融
测试经理（急）, 20, 3, 技术, 测试, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
测试经理, 11, 3, 技术, 测试, 名医传世, 广州, 本科, 150, 成长型, 移动互联网
测试经理, 6, 不, 技术, 测试, 阿甘云, 南京, 学历不限, 15, 初创型, 移动互联网 · 电子商务
测试经理, 8, 1, 技术, 测试, 数文科技, 武汉, 本科, 50, 初创型, 移动互联网
