职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
功能测试, 8, 1, 技术, 测试, 西瓜理财, 上海, 学历不限, 15, 初创型, 移动互联网 · 金融
功能测试, 7, 1, 技术, 测试, 云信, 上海, 本科, 50, 成长型, 金融
功能测试, 10, 1, 技术, 测试, 新致软件, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
功能测试, 11, 1, 技术, 测试, 新致软件, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
功能测试, 14, 5, 技术, 测试, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
功能测试, 10, 1, 技术, 测试, 泛微, 上海, 本科, 500, 成熟型, 移动互联网 · 企业服务
功能测试, 6, 不, 技术, 测试, 云信, 北京, 本科, 50, 成长型, 金融
功能测试, 10, 1, 技术, 测试, 爱屋吉屋, 上海, 大专, 2000, 成熟型, 移动互联网
功能测试, 10, 1, 技术, 测试, 新炬网络, 杭州, 本科, 500, 成熟型, 移动互联网 · 数据服务
功能测试, 4, 1, 技术, 测试, 浙江小融网络科技股份有限公司, 杭州, 大专, 50, 初创型, 金融
功能测试, 7, 1, 技术, 测试, 泛微, 上海, 本科, 500, 成熟型, 移动互联网 · 企业服务
功能测试, 9, 1, 技术, 测试, 德邦, 上海, 大专, 2000, 成长型, 企业服务
功能测试, 6, 1年以, 技术, 测试, 美柚, 厦门, 本科, 150, 成熟型, 移动互联网
功能测试, 15, 3, 技术, 测试, 百联全渠道电商, 上海, 学历不限, 500, 成熟型, 电子商务 · O2O
功能测试, 4, 1年以, 技术, 测试, 合言信息, 杭州, 大专, 50, 初创型, 电子商务 · O2O
功能测试/黑盒测试, 11, 1, 技术, 测试, 新致软件, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
功能测试, 6, 1, 技术, 测试, 天涯若比邻, 杭州, 本科, 50, 初创型, 电子商务 · 金融
功能测试, 2, 1年以, 技术, 测试, 西安习悦信息技术有限公司, 西安, 本科, 150, 上市公, 移动互联网 · 教育
功能测试, 9, 1, 技术, 测试, 软通动力, 杭州, 本科, 2000, 初创型, 移动互联网 · 金融
功能测试, 9, 不, 技术, 测试, 魔筷科技, 杭州, 学历不限, 15, 成长型, 移动互联网 · 电子商务
功能测试, 7, 1, 技术, 测试, 艾艺设计, 上海, 大专, 50, 初创型, 移动互联网
功能测试, 9, 1, 技术, 测试, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
功能测试, 15, 3, 技术, 测试, 怡美假日, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
功能测试, 9, 1, 技术, 测试, 触宝科技, 上海, 本科, 150, 成熟型, 移动互联网 · 数据服务
功能测试, 9, 1, 技术, 测试, 妈妈好, 杭州, 大专, 150, 初创型, 移动互联网 · 电子商务
功能测试, 5, 1, 技术, 测试, 安徽网新, 合肥, 本科, 500, 初创型, 移动互联网
功能测试, 7, 1, 技术, 测试, Dilato, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
功能测试, 4, 不, 技术, 测试, 汇域科技, 上海, 大专, 15, 初创型, 移动互联网
功能测试, 4, 不, 技术, 测试, 汇域科技, 上海, 大专, 15, 初创型, 移动互联网
功能测试, 6, 1, 技术, 测试, 维信理财, 上海, 本科, 2000, 成熟型, 金融
功能测试, 12, 1, 技术, 测试, 天星资本, 北京, 本科, 150, 成长型, 移动互联网 · 金融
功能测试, 20, 3, 技术, 测试, 蘑菇租房, 上海, 本科, 150, 成长型, 移动互联网 · 电子商务
功能测试, 12, 3, 技术, 测试, 宽文是风, 上海, 大专, 150, 初创型, 企业服务
功能测试, 12, 3, 技术, 测试, 融通金湾, 北京, 本科, 50, 成长型, 移动互联网 · O2O
功能测试（移动端）, 12, 3, 技术, 测试, 杰西卡的秘密, 北京, 学历不限, 15, 成长型, 移动互联网 · 电子商务
功能测试, 6, 1, 技术, 测试, Symbio, 北京, 大专, 2000, 成熟型, 移动互联网 · 电子商务
功能测试, 7, 1, 技术, 测试, 中软, 西安, 本科, 2000, 上市公, 移动互联网 · 招聘
功能测试, 9, 不, 技术, 测试, 抓钱猫, 杭州, 学历不限, 15, 成长型, 移动互联网 · 金融
功能测试, 6, 1, 技术, 测试, 软通动力, 武汉, 本科, 2000, 上市公, 移动互联网 · 数据服务
功能测试, 4, 不, 技术, 测试, 订订宝, 广州, 学历不限, 50, 初创型, 移动互联网 · 金融
功能测试, 10, 3, 技术, 测试, 设计院, 广州, 本科, 2000, 上市公, 移动互联网 · 金融
功能测试, 7, 1, 技术, 测试, 多多理财, 杭州, 本科, 50, 初创型, 移动互联网 · 金融
功能测试, 6, 1, 技术, 测试, 同花顺, 杭州, 本科, 2000, 上市公, 金融
功能测试, 15, 1, 技术, 测试, Pactera, 上海, 本科, 2000, 上市公, 金融
功能测试, 12, 3, 技术, 测试, 即富, 上海, 本科, 150, 成长型, 电子商务 · 金融
（贵阳）-功能测试, 7, 1, 技术, 测试, 高伟达, 贵阳, 大专, 2000, 上市公, 移动互联网
功能测试, 8, 不, 技术, 测试, 丈浔科技, 杭州, 本科, 15, 初创型, 移动互联网 · 数据服务
功能测试, 11, 3, 技术, 测试, 柯莱特, 上海, 大专, 2000, 成熟型, 企业服务 · 金融
功能测试, 7, 不, 技术, 测试, 山屿海集团, 上海, 本科, 50, 上市公, 旅游 · 金融
功能测试, 4, 1, 技术, 测试, 小猪CMS, 合肥, 学历不限, 50, 初创型, 移动互联网 · O2O
功能测试, 9, 1, 技术, 测试, 北京捷科, 北京, 本科, 500, 上市公, 金融
功能测试, 6, 1, 技术, 测试, 鸿庭科技, 上海, 大专, 15, 初创型, 企业服务 · 数据服务
功能测试, 9, 1, 技术, 测试, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
功能测试, 5, 1, 技术, 测试, 卡拉卡尔, 成都, 大专, 50, 初创型, 数据服务 · 文化娱乐
功能测试, 12, 3, 技术, 测试, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
功能测试, 12, 3, 技术, 测试, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
功能测试, 9, 1, 技术, 测试, 每天惠, 杭州, 学历不限, 50, 成长型, O2O
功能测试, 9, 不, 技术, 测试, 唐大大, 上海, 本科, 50, 成长型, 移动互联网
功能测试, 7, 不, 技术, 测试, 今翌科技, 上海, 本科, 50, 初创型, 电子商务 · 社交网络
功能测试, 10, 1, 技术, 测试, 大白科技, 杭州, 大专, 50, 初创型, 移动互联网 · 金融
功能测试, 15, 1, 技术, 测试, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
功能测试, 12, 3, 技术, 测试, 优分期, 北京, 学历不限, 500, 成长型, 电子商务 · 金融
功能测试, 4, 1, 技术, 测试, 六帝网络科技, 太原, 大专, 15, 初创型, 移动互联网 · 电子商务
功能测试, 9, 3, 技术, 测试, 柯莱特, 上海, 大专, 2000, 成熟型, 企业服务 · 金融
