职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
硬件测试, 4, 不, 技术, 测试, 辉瑞制药, 泰州, 大专, 2000, 上市公, 医疗健康 · 其他
硬件测试, 9, 1, 技术, 测试, 软通动力信息技术有限公司, 杭州, 大专, 2000, 上市公, 企业服务
硬件测试, 12, 3, 技术, 测试, 云创, 深圳, 大专, 15, 成长型, 移动互联网
硬件测试, 13, 3, 技术, 测试, 蓝帕科技, 北京, 本科, 150, 成长型, 移动互联网 · 教育
硬件测试, 12, 3, 技术, 测试, 蓝帕科技, 北京, 本科, 150, 成长型, 移动互联网 · 教育
硬件测试, 8, 1, 技术, 硬件开发, 上海图游科技有限公司, 上海, 大专, 15, 初创型, 社交网络 · 硬件
硬件测试, 9, 1, 技术, 测试, 上海共进, 上海, 大专, 150, 上市公, 硬件
硬件测试, 6, 1, 技术, 测试, 软通动力, 杭州, 大专, 2000, 上市公, 硬件 · 分类信息
硬件测试, 4, 1, 技术, 测试, 文思海辉, 杭州, 本科, 2000, 上市公, 移动互联网 · 金融
硬件测试, 4, 不, 技术, 测试, 文思海辉, 杭州, 本科, 2000, 上市公, 移动互联网 · 金融
硬件测试, 6, 1, 技术, 测试, 沃邦, 深圳, 大专, 50, 成长型, 医疗健康 · 硬件
硬件测试（外派酒仙桥）, 5, 1年以, 技术, 测试, Symbio, 北京, 大专, 2000, 成熟型, 移动互联网 · 电子商务
硬件测试, 7, 1, 技术, 测试, 软通动力, 杭州, 本科, 2000, 初创型, 移动互联网 · 金融
硬件测试, 7, 1, 技术, 测试, 联合永道, 北京, 本科, 500, 成熟型, 移动互联网 · 企业服务
硬件测试, 7, 1, 技术, 测试, 博彦科技, 深圳, 大专, 2000, 上市公, 企业服务 · 数据服务
硬件测试, 4, 不, 技术, 测试, 文思海辉, 杭州, 本科, 2000, 上市公, 移动互联网 · 金融
硬件测试, 8, 不, 技术, 测试, camelot, 北京, 学历不限, 2000, 上市公, 企业服务 · 其他
硬件测试, 8, 3, 技术, 测试, 深圳嘟嘟智能科技有限公司, 深圳, 大专, 15, 初创型, 移动互联网
硬件测试, 5, 1, 技术, 测试, 易凯联讯, 北京, 大专, 50, 成长型, 企业服务
硬件测试, 9, 1, 技术, 测试, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网 · 企业服务
硬件测试, 5, 1年以, 技术, 测试, 深圳易思博软件, 武汉, 本科, 2000, 上市公, 移动互联网 · 金融
硬件测试工程师, 7, 1, 技术, 测试, 黑格科技, 广州, 本科, 15, 成长型, 移动互联网 · 硬件
硬件测试工程师, 7, 1, 技术, 硬件开发, 玛酷机器人, 深圳, 本科, 150, 成长型, 教育
硬件测试, 6, 1, 技术, 测试, 卓信科技, 南京, 本科, 50, 初创型, 企业服务 · 其他
硬件测试, 6, 1, 技术, 测试, 豌豆投影, 深圳, 学历不限, 15, 成长型, 生活服务 · 文化娱乐
硬件测试, 11, 1, 技术, 测试, 博彦科技, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
硬件测试, 6, 3, 技术, 测试, 贝阳, 深圳, 本科, 15, 初创型, 教育 · 硬件
硬件测试工程师, 11, 3, 技术, 测试, 奇沃智联, 深圳, 本科, 150, 成长型, 移动互联网
硬件测试, 3, 不, 技术, 测试, 慧博云通, 北京, 本科, 500, 成长型, 移动互联网 · 信息安全
硬件测试工程师, 12, 1, 技术, 硬件开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
硬件测试, 4, 1年以, 技术, 测试, 宽广智通, 广州, 大专, 150, 成长型, 信息安全 · 硬件
硬件测试工程师, 18, 不, 技术, 测试, 丁盯, 北京, 本科, 15, 成长型, 硬件
硬件测试工程师（LHOH-2C）, 8, 1, 技术, 测试, 一起唱, 上海, 大专, 150, 成熟型, 移动互联网 · O2O
硬件测试, 5, 应届毕业, 技术, 测试, 慧博云通, 北京, 本科, 500, 成长型, 移动互联网 · 信息安全
硬件测试工程师, 15, 3, 技术, 测试, 蓝帕科技, 北京, 本科, 150, 成长型, 移动互联网 · 教育
硬件测试, 5, 1年以, 技术, 测试, 联合永道, 杭州, 本科, 500, 成熟型, 移动互联网 · 企业服务
硬件测试工程师, 15, 1, 技术, 运维, UCloud, 上海, 本科, 500, 成熟型, 数据服务
硬件测试工程师, 10, 1, 技术, 硬件开发, 上海青客, 上海, 本科, 500, 成长型, 移动互联网 · O2O
硬件测试, 11, 1, 技术, 测试, 飞天联合, 北京, 大专, 50, 成长型, 移动互联网
硬件测试工程师, 15, 不, 技术, 测试, 众景视界, 北京, 本科, 15, 初创型, 移动互联网
