职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
手机测试, 8, 1, 技术, 测试, 神州专车, 天津, 本科, 2000, 上市公, 移动互联网 · 电子商务
手机测试, 7, 1, 技术, 测试, Symbio, 北京, 大专, 2000, 成熟型, 移动互联网 · 电子商务
手机测试, 6, 1, 技术, 测试, Symbio, 北京, 本科, 2000, 成熟型, 移动互联网 · 电子商务
手机测试, 4, 不, 技术, 测试, 豆米科技, 合肥, 学历不限, 15, 初创型, 移动互联网 · 电子商务
手机测试, 11, 1, 技术, 测试, 里程保车险, 南京, 本科, 50, 成长型, 移动互联网 · 数据服务
手机测试, 9, 1, 技术, 测试, 博彦科技, 北京, 大专, 2000, 上市公, 企业服务 · 数据服务
手机测试, 1, 不, 技术, 测试, ViewsTap, 宁波, 学历不限, 15, 初创型, 数据服务
手机测试, 12, 3, 技术, 测试, camelot, 上海, 学历不限, 2000, 上市公, 企业服务 · 其他
手机测试, 7, 1, 技术, 测试, 微创, 上海, 大专, 2000, 初创型, 移动互联网 · 数据服务
手机测试, 6, 1, 技术, 测试, tophot, 上海, 本科, 15, 成长型, 移动互联网 · 社交网络
手机测试, 9, 1, 技术, 测试, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
手机测试, 7, 1, 技术, 测试, camelot, 上海, 学历不限, 2000, 上市公, 企业服务 · 其他
手机测试, 8, 1, 技术, 测试, adsquare, 武汉, 本科, 15, 成长型, 移动互联网
手机测试, 11, 1, 技术, 测试, 岸卓科技, 上海, 本科, 15, 初创型, 电子商务 · 金融
手机测试, 10, 3, 技术, 测试, 金螳螂企业集团, 苏州, 大专, 2000, 上市公, O2O
手机测试, 6, 1, 技术, 测试, Symbio, 北京, 大专, 2000, 成熟型, 移动互联网 · 电子商务
手机测试, 6, 1, 技术, 测试, Symbio, 北京, 大专, 2000, 成熟型, 移动互联网 · 电子商务
手机测试, 6, 1, 技术, 测试, 亿达信息深圳分公司, 深圳, 大专, 500, 上市公, 移动互联网
手机测试, 6, 1, 技术, 测试, 美乐乐家具－乐师傅, 深圳, 学历不限, 15, 初创型, O2O · 生活服务
手机测试, 5, 1, 技术, 测试, 润和软件, 南京, 大专, 2000, 上市公, 移动互联网
手机测试, 9, 1, 技术, 测试, 短趣网, 杭州, 本科, 50, 成长型, 移动互联网 · 社交网络
手机测试, 9, 1, 技术, 测试, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
手机测试, 5, 1, 技术, 测试, 创幻数码, 广州, 大专, 50, 初创型, 移动互联网 · 游戏
手机测试, 7, 1, 技术, 测试, 阿拉丁云计算, 杭州, 本科, 500, 上市公, 信息安全 · 数据服务
手机测试, 19, 不, 技术, 测试, 静遥网络科技, 上海, 本科, 150, 成长型, 移动互联网 · 电子商务
手机测试, 5, 1, 技术, 测试, 亿达信息深圳分公司, 深圳, 大专, 500, 上市公, 移动互联网
手机测试, 1, 不, 技术, 测试, BoYeah, 西安, 学历不限, 15, 成长型, 移动互联网 · 社交网络
手机测试, 12, 3, 技术, 测试, 米学网, 北京, 本科, 150, 成长型, 移动互联网 · 教育
手机测试, 12, 1年以, 技术, 测试, 岸卓科技, 上海, 学历不限, 15, 初创型, 电子商务 · 金融
手机测试, 10, 1, 技术, 测试, 文思海辉, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
手机测试, 9, 1, 技术, 测试, 知微科技, 广州, 大专, 150, 成长型, 企业服务 · 数据服务
手机测试, 7, 不, 技术, 测试, 佰钧成技术, 武汉, 本科, 2000, 成熟型, 企业服务 · 金融
手机测试, 8, 1, 技术, 测试, 佰钧成技术, 武汉, 本科, 2000, 成熟型, 企业服务 · 金融
手机测试, 3, 不, 技术, 测试, 南京石鼓文信息技术有限公司是一家移动互联网创业公司, 南京, 本科, 15, 初创型, 移动互联网
手机测试, 4, 1年以, 技术, 测试, 宝丰, 常州, 大专, 50, 初创型, 移动互联网
手机测试, 12, 3, 技术, 测试, e家洁, 北京, 大专, 500, 成熟型, O2O · 分类信息
手机测试, 6, 1, 技术, 测试, 听云, 深圳, 大专, 150, 上市公, 移动互联网 · 数据服务
手机测试, 7, 1, 技术, 测试, 社汇, 杭州, 大专, 15, 初创型, 社交网络 · 教育
手机测试, 6, 1, 技术, 测试, 掌酷软件, 深圳, 学历不限, 50, 成长型, 移动互联网
手机测试, 6, 1, 技术, 测试, 虎扑体育, 上海, 大专, 150, 成熟型, 移动互联网 · 文化娱乐
手机测试, 4, 1, 技术, 测试, TCK 上亿大, 厦门, 大专, 150, 初创型, 硬件
手机测试, 4, 1, 技术, 测试, TCK 上亿大, 厦门, 大专, 150, 初创型, 硬件
手机测试, 5, 不, 技术, 测试, 亿达信息深圳分公司, 深圳, 大专, 500, 上市公, 移动互联网
手机测试, 12, 3, 技术, 测试, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
手机测试, 6, 1, 技术, 测试, 深圳易思博软件, 武汉, 本科, 2000, 上市公, 移动互联网 · 金融
手机测试, 6, 1, 技术, 测试, 亿达信息深圳分公司, 深圳, 大专, 500, 上市公, 移动互联网
