职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
COCOS2D-X开发工程师, 20, 1, 技术, 前端开发, 恺英网络, 上海, 大专, 500, 上市公, 移动互联网 · 游戏
COCOS2D-X, 22, 3, 技术, 前端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
COCOS2D-X, 30, 5, 技术, 前端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
COCOS2D-X, 9, 1, 技术, 前端开发, 锦玉山河, 重庆, 学历不限, 15, 初创型, 移动互联网 · 游戏
COCOS2D-X, 15, 1, 技术, 前端开发, 网易游戏, 广州, 本科, 2000, 上市公, 游戏
COCOS2D-X, 11, 1, 技术, 前端开发, 澳康达, 南昌, 大专, 500, 成熟型, 招聘
COCOS2D-X, 9, 不, 技术, 前端开发, 旺亨, 南京, 学历不限, 50, 成长型, 移动互联网 · 金融
COCOS2D-X工程师, 8, 3, 技术, 前端开发, 翼动数码, 武汉, 大专, 15, 初创型, 移动互联网 · 游戏
COCOS2D-X, 17, 3, 技术, 前端开发, 漫聚信息, 上海, 大专, 15, 初创型, 移动互联网 · 游戏
COCOS2D-X工程师, 6, 1年以, 技术, 前端开发, 翼动数码, 武汉, 大专, 15, 初创型, 移动互联网 · 游戏
Cocos2d-x, 12, 1, 技术, 前端开发, 配对科技, 广州, 学历不限, 15, 初创型, 游戏
COCOS2D-X, 11, 1, 技术, 前端开发, 银橙传媒, 上海, 学历不限, 150, 上市公, 移动互联网 · 数据服务
COCOS2D-X, 20, 1, 技术, 前端开发, 揆英, 上海, 大专, 50, 初创型, 移动互联网
COCOS2D-X, 22, 3, 技术, 前端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
COCOS2D-X, 9, 1, 技术, 前端开发, 百易科技, 郑州, 大专, 50, 初创型, 游戏
COCOS2D-X, 22, 不, 技术, 前端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
COCOS2D-X, 19, 3, 技术, 前端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
COCOS2D-X工程师, 7, 1, 技术, 前端开发, 翼动数码, 武汉, 大专, 15, 初创型, 移动互联网 · 游戏
COCOS2D-X, 15, 1, 技术, 前端开发, 凡游funyou, 杭州, 本科, 15, 初创型, 游戏
COCOS2D-X, 20, 不, 技术, 前端开发, 碰碰, 北京, 大专, 50, 成长型, 移动互联网 · 社交网络
COCOS2D-X, 6, 不, 技术, 前端开发, 点触, 厦门, 学历不限, 50, 初创型, 移动互联网 · 游戏
COCOS2D-X, 20, 1, 技术, 前端开发, 上海揆志网络, 上海, 大专, 50, 初创型, 移动互联网
COCOS2D-X, 7, 不, 技术, 前端开发, 胡莱游戏, 广州, 学历不限, 500, 初创型, 游戏
COCOS2D-X工程师, 8, 1, 技术, 前端开发, 亿聚科技, 长沙, 本科, 15, 初创型, 移动互联网 · 电子商务
COCOS2D-X研发工程师, 7, 1, 技术, 前端开发, 微屏游戏, 上海, 本科, 50, 成长型, 游戏
