职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Hadoop, 20, 不, 技术, 后端开发, 好买基金网（联想腾讯注资企业）, 上海, 本科, 500, 成熟型, 电子商务 · 金融
Hadoop, 15, 1, 技术, 后端开发, 卡咪网络, 杭州, 本科, 50, 成长型, 移动互联网
Hadoop, 22, 5, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
Hadoop开发工程师, 25, 3, 技术, 后端开发, 恺英网络, 上海, 本科, 500, 上市公, 移动互联网 · 游戏
Hadoop, 12, 1, 技术, 后端开发, 万表网, 广州, 大专, 150, 成熟型, 移动互联网 · 电子商务
Hadoop, 20, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
Hadoop, 21, 3, 技术, 后端开发, 德邦, 上海, 大专, 2000, 成长型, 企业服务
Hadoop, 22, 不, 技术, 后端开发, 北京蓝汛, 北京, 本科, 500, 上市公, 企业服务
Hadoop开发工程师, 21, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
Hadoop开发工程师, 22, 不, 技术, 后端开发, 平安科技, 深圳, 本科, 2000, 成熟型, 金融
Hadoop, 22, 1, 技术, 后端开发, 拉勾网, 北京, 本科, 150, 成长型, 企业服务 · 招聘
Hadoop, 15, 1, 技术, 后端开发, SmartData, 上海, 本科, 50, 初创型, 移动互联网 · 数据服务
Hadoop, 10, 1, 技术, 后端开发, 彩讯科技, 杭州, 本科, 500, 成熟型, 移动互联网 · 生活服务
Hadoop研发工程师, 9, 1, 技术, 后端开发, 中新软件, 合肥, 本科, 500, 成熟型, 硬件 · 信息安全
Hadoop研发工程师, 15, 1, 技术, 后端开发, 机窝网, 广州, 硕士, 50, 成长型, 移动互联网 · O2O
Hadoop, 20, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
Hadoop开发工程师, 12, 3, 技术, 后端开发, 斗鱼TV, 武汉, 本科, 150, 成长型, 移动互联网
Hadoop开发工程师, 22, 3, 技术, 后端开发, Gridsum 国双, 深圳, 本科, 500, 成熟型, 数据服务
Hadoop, 15, 不, 技术, 后端开发, 新炬网络, 杭州, 本科, 500, 成熟型, 移动互联网 · 数据服务
Hadoop, 11, 1, 技术, 后端开发, 惠装网, 成都, 本科, 150, 成长型, 移动互联网 · O2O
Hadoop, 22, 3, 技术, 高端技术职位, 爱上租, 杭州, 本科, 500, 初创型, 移动互联网 · O2O
Hadoop, 8, 1, 技术, 后端开发, 万贸科技, 天津, 本科, 50, 成长型, 企业服务 · 文化娱乐
Hadoop工程师, 15, 不, 技术, 后端开发, 新炬网络, 杭州, 大专, 500, 成熟型, 移动互联网 · 数据服务
Hadoop工程师, 14, 1, 技术, 后端开发, 顺网科技, 杭州, 本科, 500, 上市公, 游戏 · 移动互联网
Hadoop, 11, 1, 技术, 后端开发, 惠装网, 成都, 本科, 150, 成长型, 移动互联网 · O2O
Hadoop工程师, 10, 3, 技术, 后端开发, 要出发, 广州, 本科, 500, 成熟型, 电子商务 · 生活服务
Hadoop, 21, 3, 技术, 后端开发, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
Hadoop工程师, 15, 不, 技术, 后端开发, 深圳惠卡世纪有限公司, 深圳, 学历不限, 500, 上市公, 移动互联网
Hadoop, 12, 不, 技术, 后端开发, 思特奇浙江, 杭州, 本科, 2000, 成熟型, 移动互联网 · 企业服务
Hadoop工程师, 25, 5, 技术, 后端开发, 车享网, 上海, 本科, 500, 成熟型, 电子商务 · O2O
Hadoop开发工程师, 22, 1, 技术, 后端开发, 百联全渠道电商, 上海, 大专, 500, 成熟型, 电子商务 · O2O
Hadoop, 11, 1, 技术, 后端开发, 银橙传媒, 上海, 本科, 150, 上市公, 移动互联网 · 数据服务
hadoop工程师, 11, 1, 技术, 后端开发, 掌上药店, 苏州, 本科, 15, 成长型, 移动互联网
Hadoop, 19, 5, 技术, 后端开发, 赛意, 深圳, 本科, 500, 初创型, 移动互联网 · 金融
Hadoop, 12, 1, 技术, 后端开发, 星阵地, 成都, 大专, 15, 成长型, 移动互联网
hadoop开发工程师, 10, 1, 技术, 后端开发, 上海思创华信, 上海, 本科, 500, 成熟型, 其他
Hadoop工程师, 9, 1, 技术, 后端开发, 汇融, 大连, 本科, 15, 初创型, 金融
Hadoop, 8, 1, 技术, 后端开发, 天源迪科, 成都, 本科, 2000, 上市公, 移动互联网  · 电子商务
Hadoop, 15, 1, 技术, 后端开发, 恒天软件, 杭州, 本科, 500, 成熟型, 移动互联网
