职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
VB, 2, 不, 技术, 后端开发, 赢时胜软件, 深圳, 大专, 500, 上市公, 金融
VB, 5, 1年以, 技术, 后端开发, 赢时胜软件, 深圳, 大专, 500, 上市公, 金融
VB, 18, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
VB开发工程师（高薪急聘）, 9, 不, 技术, 后端开发, 赢时胜软件, 上海, 本科, 500, 上市公, 金融
VB, 1, 不, 技术, 后端开发, 房小宝, 广州, 学历不限, 15, 初创型, 移动互联网 · 生活服务
VB, 15, 3, 技术, 后端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
VB, 12, 3, 技术, 后端开发, 中经电商, 广州, 大专, 150, 初创型, 电子商务 · 金融
VB开发工程师, 11, 不, 技术, 后端开发, 赢时胜软件, 北京, 学历不限, 500, 上市公, 金融
VB, 9, 1, 技术, 后端开发, 东软（广州）, 福州, 本科, 2000, 上市公, 移动互联网 · 教育
VB, 4, 不, 技术, 后端开发, 货宝宝, 广州, 大专, 15, 初创型, 电子商务 · 移动互联网
VB, 7, 1, 技术, 后端开发, 开元软件, 深圳, 大专, 15, 成长型, 企业服务
.Net高级工程师（VB）, 12, 3, 技术, 后端开发, 客凯易 Cuscapi, 苏州, 大专, 50, 上市公, 企业服务
C语言、VB、.net中级开发工程师, 7, 3, 技术, 后端开发, 成都博盛邦, 成都, 本科, 15, 初创型, 金融
软件开发工程师(VB、Fortran、C++、C#), 10, 1, 技术, 后端开发, 中油瑞飞, 北京, 本科, 2000, 成熟型, 企业服务
