职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
.NET, 20, 3, 技术, 后端开发, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
.NET, 20, 3, 技术, 后端开发, 汽车之家, 北京, 大专, 2000, 上市公, 移动互联网 · 文化娱乐
.NET, 9, 1, 技术, 后端开发, 智富金融, 上海, 学历不限, 2000, 成熟型, 金融
.NET, 10, 1, 技术, 后端开发, 掌维科技, 杭州, 本科, 15, 初创型, 移动互联网 · 文化娱乐
.NET, 13, 3, 技术, 后端开发, 波波网, 上海, 大专, 50, 成长型, 电子商务
.NET, 12, 3, 技术, 后端开发, 软通动力, 上海, 大专, 2000, 上市公, 数据服务
.NET开发工程师, 12, 1, 技术, 后端开发, 54贷客, 上海, 本科, 50, 成长型, 金融
.NET工程师, 9, 1, 技术, 后端开发, 微盟, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
.net开发工程师, 9, 3, 技术, 后端开发, 微盟, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
.NET开发工程师, 20, 5, 技术, 后端开发, 掌合天下, 北京, 本科, 150, 成长型, 电子商务
.NET, 7, 1, 技术, 后端开发, 风云科技, 上海, 大专, 15, 初创型, 移动互联网 · 电子商务
.NET, 15, 3, 技术, 后端开发, 息壤, 上海, 本科, 15, 初创型, O2O · 文化娱乐
.NET, 8, 1, 技术, 后端开发, 佳之易, 西安, 学历不限, 15, 初创型, 移动互联网 · 游戏
.NET, 9, 1, 技术, 后端开发, 南京优尚, 南京, 大专, 15, 初创型, 移动互联网 · 生活服务
.NET, 6, 1, 技术, 后端开发, 嬉戏谷科技, 常州, 学历不限, 500, 成长型, 移动互联网 · O2O
.NET, 11, 1, 技术, 后端开发, 志晟信息, 北京, 本科, 150, 上市公, 企业服务
.NET开发工程师, 16, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
.NET, 10, 3, 技术, 后端开发, 联创集团信通科技, 南京, 本科, 150, 成长型, 移动互联网 · 教育
.NET工程师, 8, 1, 技术, 后端开发, 优兑科技, 无锡, 大专, 150, 初创型, 移动互联网 · 电子商务
.NET, 9, 3, 技术, 后端开发, 金像科技, 武汉, 大专, 50, 初创型, 电子商务 · 文化娱乐
.NET, 15, 3, 技术, 后端开发, 卡车之家, 北京, 大专, 150, 成长型, 移动互联网
.NET, 9, 1, 技术, 后端开发, 颂图科技, 杭州, 本科, 15, 初创型, 移动互联网 · 游戏
.NET, 6, 1, 技术, 后端开发, feijiu网, 石家庄, 大专, 150, 成熟型, 电子商务
.net, 7, 不, 技术, 前端开发, 知网, 杭州, 本科, 2000, 上市公, 移动互联网 · 电子商务
.NET, 11, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 大专, 2000, 上市公, 企业服务
.NET开发工程师, 7, 1, 技术, 后端开发, 谨豪科技, 沈阳, 大专, 15, 初创型, 移动互联网 · 金融
.NET开发工程师, 10, 3, 技术, 后端开发, 华谊保险, 成都, 学历不限, 500, 初创型, O2O · 金融
.NET, 8, 1, 技术, 后端开发, 泛亚, 无锡, 大专, 500, 成熟型, 移动互联网 · 电子商务
.NET开发工程师, 8, 1, 技术, 后端开发, 直信创邺, 广州, 大专, 500, 成熟型, 企业服务 · 硬件
.net, 6, 1年以, 技术, 后端开发, 星光聚, 广州, 本科, 50, 成长型, 电子商务
.NET, 8, 1, 技术, 后端开发, 文思海辉, 上海, 大专, 2000, 上市公, 数据服务
.NET, 14, 1, 技术, 后端开发, 广州灵酷, 广州, 学历不限, 15, 成长型, 电子商务 · O2O
.NET开发, 7, 1, 技术, 后端开发, 华邦房地产, 杭州, 大专, 2000, 成熟型, 生活服务 · 其他
.NET, 17, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
.NET, 13, 3, 技术, 后端开发, 文思海辉, 上海, 大专, 2000, 上市公, 数据服务
.NET, 7, 1, 技术, 后端开发, 邦乐达, 邢台, 本科, 150, 初创型, 电子商务 · O2O
.NET开发工程师, 6, 1, 技术, 后端开发, 一滑, 嘉兴, 大专, 15, 初创型, O2O
.NET开发工程师, 9, 1, 技术, 后端开发, 凡闻, 杭州, 学历不限, 15, 成长型, 移动互联网
.NET, 6, 1, 技术, 后端开发, 云联华康, 南京, 本科, 50, 初创型, 移动互联网 · 医疗健康
.NET, 3, 不, 技术, 后端开发, 亚通动力, 南通, 大专, 50, 初创型, 移动互联网
.NET开发工程师, 11, 3, 技术, 后端开发, 凯美瑞德, 杭州, 本科, 150, 成长型, 金融
.NET, 11, 1, 技术, 后端开发, 蓝鸽集团, 珠海, 本科, 500, 成熟型, 移动互联网 · 企业服务
.NET, 11, 1, 技术, 后端开发, 蓝鸽集团, 佛山, 本科, 500, 成熟型, 移动互联网 · 企业服务
.NET, 9, 1, 技术, 后端开发, 蓝月亮, 广州, 本科, 2000, 成熟型, 生活服务
.NET, 6, 不, 技术, 后端开发, 车位管家, 福州, 本科, 50, 成长型, 移动互联网 · O2O
.NET, 11, 1, 技术, 后端开发, 蓝鸽集团, 东莞, 本科, 500, 成熟型, 移动互联网 · 企业服务
.NET开发工程师, 7, 1, 技术, 后端开发, 房小二网, 沈阳, 大专, 150, 成长型, 文化娱乐
.NET, 17, 3, 技术, 后端开发, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
.NET开发工程师, 17, 3, 技术, 后端开发, 相宜本草, 上海, 大专, 2000, 成熟型, 电子商务
.net开发工程师, 16, 1, 技术, 前端开发, 浙江鹰泊, 杭州, 大专, 50, 成熟型, 电子商务
.NET, 5, 1, 技术, 后端开发, 维创盈通, 郑州, 大专, 50, 初创型, 移动互联网 · 电子商务
.net开发, 7, 不, 技术, 前端开发, 知网, 杭州, 本科, 2000, 上市公, 移动互联网 · 电子商务
.NET开发, 12, 1, 技术, 后端开发, 绿漫科技, 杭州, 本科, 15, 初创型, 移动互联网
.NET工程师, 9, 3, 技术, 后端开发, 民创联盟, 郑州, 大专, 50, 初创型, 移动互联网 · O2O
.NET开发工程师, 10, 1, 技术, 后端开发, 易家纺, 杭州, 学历不限, 15, 初创型, 电子商务
.NET, 8, 1, 技术, 后端开发, 维创盈通, 郑州, 大专, 50, 初创型, 移动互联网 · 电子商务
.NET, 18, 3, 技术, 后端开发, 资邦, 上海, 本科, 2000, 成熟型, 金融
.NET, 15, 1, 技术, 后端开发, 缤谷科技, 朝阳, 学历不限, 15, 初创型, 移动互联网 · 硬件
