职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Java, 19, 1, 技术, 后端开发, 爱奇艺, 上海, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
Java, 19, 不, 技术, 后端开发, 基玉金服, 上海, 本科, 15, 初创型, 移动互联网 · 金融
Java, 19, 3, 技术, 后端开发, 平安科技, 成都, 本科, 2000, 成熟型, 金融
Java, 19, 1, 技术, 后端开发, 人人行, 杭州, 本科, 500, 成熟型, 移动互联网 · 金融
Java, 19, 1, 技术, 后端开发, 浙江万航, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
Java工程师, 19, 1, 技术, 后端开发, 铜板街, 杭州, 本科, 150, 成长型, 移动互联网
JAVA开发工程师, 19, 1, 技术, 后端开发, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
Java, 19, 1, 技术, 后端开发, 易恒健康, 上海, 学历不限, 500, 初创型, 电子商务 · 企业服务
Java, 19, 3, 技术, 后端开发, 海大物联, 宁波, 本科, 50, 成长型, 移动互联网 · 企业服务
Java工程师, 19, 3, 技术, 后端开发, 美的集团总部流程IT, 佛山, 本科, 2000, 上市公, 硬件
Java研发工程师, 19, 1, 技术, 后端开发, 车来了, 武汉, 本科, 150, 成长型, 移动互联网 · 数据服务
Java开发工程师, 19, 3, 技术, 后端开发, 悠云, 成都, 本科, 15, 初创型, 移动互联网 · 数据服务
Java, 19, 3, 技术, 后端开发, 荣光, 深圳, 本科, 50, 成长型, 移动互联网 · O2O
java工程师(深圳/上海/南京), 19, 3, 技术, 后端开发, 平安科技, 上海, 本科, 2000, 成熟型, 金融
Java, 19, 3, 技术, 后端开发, 联创集团信通科技, 兰州, 大专, 150, 成长型, 移动互联网 · 教育
Java开发工程师, 19, 1, 技术, 后端开发, 宇泛智能, 杭州, 本科, 15, 初创型, 硬件
JAVA工程师, 27, 3, 技术, 后端开发, 贝米钱包, 上海, 本科, 15, 成长型, 金融
Java, 37, 3, 技术, 后端开发, 赢了网, 上海, 本科, 15, 成长型, 电子商务 · O2O
Java, 19, 3, 技术, 后端开发, 拖把儿爱飞行, 深圳, 本科, 15, 成长型, O2O · 旅游
Java, 6, 1, 技术, 后端开发, 厦门微家, 厦门, 学历不限, 15, 初创型, 电子商务 · 社交网络
Java, 22, 3, 技术, 后端开发, 广通软件, 杭州, 大专, 150, 上市公, 移动互联网 · 信息安全
Java, 20, 3, 技术, 后端开发, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
Java, 10, 1, 技术, 后端开发, 聚讯达, 深圳, 本科, 150, 成熟型, 移动互联网 · 其他
Java, 10, 1, 技术, 后端开发, 万存, 南京, 大专, 150, 成长型, 移动互联网 · 数据服务
Java, 9, 1, 技术, 后端开发, 鑫臧锐翔, 南京, 大专, 50, 成长型, 电子商务
Java开发工程师, 30, 3, 技术, 后端开发, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
Java开发工程师, 14, 3, 技术, 后端开发, 卖客疯APP（宝尊电商旗下，纳斯达克上市公司）, 上海, 大专, 500, 上市公, 移动互联网 · 电子商务
Java, 7, 3, 技术, 后端开发, 恩普特, 郑州, 本科, 50, 成长型, 移动互联网 · 硬件
Java开发, 5, 1, 技术, 后端开发, 维创盈通, 郑州, 大专, 50, 初创型, 移动互联网 · 电子商务
Java工程师, 15, 3, 技术, 后端开发, 煜隆集团, 深圳, 本科, 150, 成长型, O2O · 金融
Java工程师, 15, 3, 技术, 后端开发, 上海圆昶金融信息服务有限公司, 上海, 大专, 50, 成长型, 金融
Java, 15, 1, 技术, 后端开发, 如涵电商, 杭州, 本科, 500, 成长型, 电子商务
Java开发工程师, 5, 1, 技术, 后端开发, 博安达, 台州, 大专, 150, 上市公, 移动互联网
java, 16, 3, 技术, 后端开发, 房多多, 深圳, 本科, 2000, 成熟型, 移动互联网 · O2O
Java, 12, 5, 技术, 后端开发, 博彦科技, 南京, 本科, 500, 上市公, 企业服务 · 招聘
Java, 10, 3, 技术, 后端开发, 博彦科技, 南京, 本科, 500, 上市公, 企业服务 · 招聘
java工程师, 7, 1, 技术, 后端开发, DMM, 广州, 学历不限, 15, 初创型, 电子商务 · 移动互联网
Java, 15, 3, 技术, 后端开发, 高新汇智, 武汉, 本科, 150, 成长型, 企业服务 · O2O
Java, 4, 1, 技术, 后端开发, 鼎城数码, 西安, 学历不限, 15, 初创型, 移动互联网
Java开发工程师, 11, 3, 技术, 后端开发, 壹豆, 广州, 大专, 50, 成长型, 移动互联网
Java开发, 12, 3, 技术, 后端开发, 天行家, 深圳, 本科, 15, 初创型, O2O · 生活服务
Java, 3, 不, 技术, 后端开发, 赢了网, 上海, 本科, 15, 成长型, 电子商务 · O2O
Java, 7, 1, 技术, 后端开发, 易迁网络科技有限公司, 常熟, 大专, 15, 初创型, 移动互联网 · 数据服务
Java开发工程师, 9, 1, 技术, 后端开发, 博安达, 深圳, 大专, 150, 上市公, 移动互联网
Java, 30, 1, 技术, 后端开发, 学乐, 杭州, 学历不限, 150, 成熟型, 教育
Java, 9, 1, 技术, 后端开发, 博彦科技, 南京, 大专, 500, 上市公, 企业服务 · 招聘
Java工程师, 12, 应届毕业, 技术, 后端开发, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
Java, 10, 1, 技术, 后端开发, 海聊, 上海, 本科, 15, 初创型, 社交网络 · 金融
Java开发工程师（山东区）, 8, 1, 技术, 后端开发, 北大医信, 济南, 本科, 500, 成熟型, 医疗健康
Java, 22, 3, 技术, 后端开发, 买好车, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
Java开发工程师, 12, 1, 技术, 后端开发, 华康移动医疗, 深圳, 本科, 150, 成长型, 移动互联网 · 数据服务
Java工程师, 27, 3, 技术, 后端开发, 恺英网络, 上海, 本科, 500, 上市公, 移动互联网 · 游戏
Java, 19, 3, 技术, 后端开发, 慧择网, 深圳, 大专, 500, 成长型, 移动互联网  · 电子商务
Java, 17, 1, 技术, 后端开发, 南方报业, 广州, 本科, 2000, 成熟型, 其他
JAVA开发工程师, 12, 1, 技术, 后端开发, 微波超市, 北京, 本科, 15, 初创型, 电子商务 · O2O
Java工程师, 19, 3, 技术, 后端开发, 拖把儿爱飞行, 深圳, 本科, 15, 成长型, O2O · 旅游
Java, 14, 3, 技术, 后端开发, 西瓜理财, 上海, 本科, 15, 初创型, 移动互联网 · 金融
Java开发（高级）, 20, 3, 技术, 后端开发, 上海圆昶金融信息服务有限公司, 上海, 大专, 50, 成长型, 金融
Java开发工程师, 12, 1, 技术, 后端开发, 海上的鸟, 深圳, 本科, 15, 初创型, 移动互联网
Java, 20, 3, 技术, 后端开发, 超客网络, 北京, 大专, 500, 成熟型, 社交网络
Java, 20, 3, 技术, 后端开发, 荣光, 深圳, 本科, 50, 成长型, 移动互联网 · O2O
Java开发, 18, 1, 技术, 后端开发, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
Java, 22, 1, 技术, 后端开发, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
Java, 12, 1, 技术, 后端开发, 蓝鸽集团, 佛山, 本科, 500, 成熟型, 移动互联网 · 企业服务
Java, 4, 应届毕业, 技术, 后端开发, camelot, 上海, 大专, 2000, 上市公, 企业服务 · 其他
Java开发, 22, 不, 技术, 后端开发, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
Java, 18, 1, 技术, 后端开发, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
Java, 12, 1, 技术, 后端开发, 蓝鸽集团, 珠海, 本科, 500, 成熟型, 移动互联网 · 企业服务
Java研发工程师, 12, 3, 技术, 后端开发, 用友审计, 北京, 本科, 2000, 上市公, 其他
Java, 16, 3, 技术, 后端开发, 我厨（上海）科技有限公司, 上海, 本科, 150, 成长型, 电子商务 · O2O
Java, 15, 3, 技术, 后端开发, 文思海辉, 上海, 大专, 2000, 成熟型, 移动互联网 · 企业服务
JAVA开发, 15, 1, , web前端, 维那多, 北京, 大专, 50, 初创型, 移动互联网 · 数据服务
Java开发（报销面试车费）, 20, 3, 技术, 后端开发, 么么直播, 上海, 学历不限, 50, 成长型, 移动互联网 · 社交网络
Java, 7, 1, 技术, 后端开发, 澳康达, 南昌, 大专, 500, 成熟型, 招聘
Java, 15, 1, 技术, 后端开发, 凡游funyou, 杭州, 本科, 15, 初创型, 游戏
Java工程师, 15, 1, 技术, 后端开发, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
Java工程师, 11, 1, 技术, 后端开发, 千百浪信息科技, 东莞, 本科, 50, 初创型, 移动互联网 · 电子商务
Java, 18, 3, 技术, 后端开发, 聚讯达, 深圳, 本科, 150, 成熟型, 移动互联网 · 其他
Java, 20, 1, 技术, 后端开发, 聚讯达, 深圳, 本科, 150, 成熟型, 移动互联网 · 其他
Java, 20, 3, 技术, 后端开发, 容易网, 上海, 本科, 150, 成长型, 电子商务 · O2O
Java, 18, 1, 技术, 后端开发, 脆饼旅行, 杭州, 本科, 15, 成长型, 移动互联网 · 旅游
Java, 11, 3, 技术, 后端开发, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
Java开发工程师, 13, 1, 技术, 后端开发, 卡木科技, 上海, 大专, 50, 成长型, 移动互联网 · 企业服务
Java, 7, 不, 技术, 后端开发, 12308全国汽车票, 深圳, 大专, 50, 成长型, 移动互联网 · 电子商务
Java, 9, 1, 技术, 后端开发, 恒天软件, 杭州, 大专, 500, 成熟型, 移动互联网
Java开发工程师, 20, 3, 技术, 后端开发, 未来动力科技, 深圳, 大专, 500, 成熟型, 移动互联网 · 数据服务
Java, 11, 1, 技术, 后端开发, 筑梦家, 深圳, 大专, 15, 初创型, 移动互联网
Java, 13, 3, 技术, 后端开发, 博彦科技, 上海, 本科, 500, 上市公, 企业服务 · 招聘
Java开发工程师, 13, 1, 技术, 后端开发, 卡木科技, 上海, 大专, 50, 成长型, 移动互联网 · 企业服务
java开发工程师, 12, 3, 技术, 高端技术职位, 数游软件科技, 杭州, 大专, 150, 成长型, 金融
Java, 12, 1, 技术, 后端开发, 聚贸, 杭州, 大专, 150, 成长型, 金融 · 电子商务
Java, 7, 1, 技术, 后端开发, 思贤股份, 上海, 本科, 15, 初创型, 移动互联网 · 数据服务
Java开发工程师, 15, 3, 技术, 后端开发, 爱奇艺, 上海, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
Java, 8, 1, 技术, 后端开发, 西瓜理财, 上海, 学历不限, 15, 初创型, 移动互联网 · 金融
Java开发工程师, 21, 3, 技术, 后端开发, Darma, 深圳, 本科, 15, 成长型, 硬件
Java开发工程师, 5, 1年以, 技术, 后端开发, 陕西金蝶, 西安, 本科, 50, 上市公, 移动互联网 · 企业服务
中级java, 7, 3, 技术, 后端开发, 联创集团信通科技, 昆明, 本科, 150, 成长型, 移动互联网 · 教育
Java, 18, 3, 技术, 后端开发, POP时尚网络机构, 上海, 本科, 500, 成长型, 移动互联网 · 电子商务
