职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
NLP, 18, 1, 技术, 后端开发, 慧泉众康, 杭州, 硕士, 15, 成长型, 移动互联网 · 医疗健康
自然语言处理, 11, 1, 技术, 后端开发, 哎吖科技, 深圳, 本科, 15, 初创型, 移动互联网 · 社交网络
自然语言处理, 22, 不, 技术, 后端开发, MindTurbo 明境, 北京, 本科, 15, 初创型, 企业服务 · 数据服务
自然语言处理, 22, 1, 技术, 后端开发, 大白, 杭州, 大专, 15, 初创型, 移动互联网 · O2O
自然语言处理, 32, 3, 技术, 后端开发, 卓术信息, 广州, 本科, 15, 初创型, 移动互联网
自然语言处理, 22, 1, 技术, 后端开发, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
自然语言处理, 15, 1, 技术, 后端开发, 欧电云, 上海, 本科, 50, 初创型, 电子商务 · 企业服务
自然语言处理, 20, 3, 技术, 后端开发, 哎吖科技, 深圳, 本科, 15, 初创型, 移动互联网 · 社交网络
自然语言处理, 37, 3, 技术, 后端开发, 北京智能管家科技有限公司, 北京, 本科, 150, 成长型, 硬件
自然语言处理, 30, 3, 技术, 后端开发, 学霸君, 北京, 硕士, 150, 成长型, 移动互联网 · 教育
自然语言处理, 32, 不, 技术, 后端开发, 名片全能王, 上海, 硕士, 150, 成长型, 移动互联网
自然语言处理, 30, 5, 技术, 后端开发, 欧电云, 上海, 本科, 50, 初创型, 电子商务 · 企业服务
自然语言处理, 15, 1, 技术, 后端开发, 全景数据, 西安, 硕士, 50, 成长型, 数据服务 · 金融
自然语言处理工程师, 14, 1, 技术, 后端开发, 慧泉众康, 杭州, 本科, 15, 成长型, 移动互联网 · 医疗健康
自然语言处理, 40, 1, 技术, 后端开发, 北京智能管家科技有限公司, 北京, 本科, 150, 成长型, 硬件
自然语言处理工程师, 15, 1, 技术, 后端开发, 欧电云, 上海, 本科, 50, 初创型, 电子商务 · 企业服务
文本挖掘/自然语言处理, 22, 1, 技术, 后端开发, 拉勾网, 北京, 本科, 150, 成长型, 企业服务 · 招聘
自然语言处理, 24, 1, 技术, 后端开发, 乐鼠科技, 北京, 硕士, 15, 初创型, 移动互联网 · 其他
自然语言处理, 23, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
自然语言处理, 25, 3, 技术, 后端开发, 买衣爽, 上海, 硕士, 50, 成长型, 电子商务 · O2O
自然语言处理, 24, 3, 技术, 后端开发, 同花顺, 杭州, 硕士, 2000, 上市公, 金融
自然语言处理, 24, 3, 技术, 后端开发, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
自然语言处理工程师, 30, 1, 技术, 后端开发, 学霸君, 上海, 硕士, 150, 成长型, 移动互联网 · 教育
自然语言处理, 25, 3, 技术, 后端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
自然语言处理工程师, 22, 1, 技术, 后端开发, 拓维信息, 北京, 本科, 2000, 上市公, 移动互联网 · 教育
自然语言处理实习生, 4, 不, 技术, 后端开发, 妙计旅行, 北京, 硕士, 50, 成长型, 旅游
自然语言处理, 20, 3, 技术, 后端开发, YoMail, 上海, 本科, 15, 初创型, 社交网络
自然语言处理, 22, 1, 技术, 后端开发, 多盟, 北京, 本科, 150, 成长型, 移动互联网 · 广告营销
自然语言处理, 35, 3, 技术, 后端开发, 金利恒, 北京, 本科, 500, 初创型, 其他
自然语言处理(nlp)研发工程师, 25, 1, 技术, 后端开发, 拉勾网, 北京, 硕士, 150, 成长型, 企业服务 · 招聘
自然语言处理, 19, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
自然语言处理, 25, 5, 技术, 后端开发, 艾特智能, 深圳, 硕士, 15, 初创型, 移动互联网 · 其他
NLP自然语言处理, 30, 3, 技术, 后端开发, 精诚瑞宝计算机系统有限公司, 广州, 硕士, 2000, 上市公, 企业服务 · 数据服务
自然语言处理, 15, 1, 技术, 后端开发, 驰声科技, 苏州, 本科, 50, 成长型, 移动互联网 · 教育
自然语言处理研究员, 22, 不, 技术, 后端开发, 思必驰科技, 苏州, 本科, 150, 成长型, 企业服务
自然语言处理, 22, 1, 技术, 后端开发, 北京一路捞, 北京, 本科, 500, 成熟型, 移动互联网 · 电子商务
自然语言处理, 22, 不, 技术, 后端开发, 搬矿科技, 上海, 学历不限, 15, 初创型, 移动互联网 · 金融
自然语言处理, 25, 3, 技术, 后端开发, 爱奇艺, 北京, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
自然语言处理, 19, 1, 技术, 后端开发, 爱奇艺, 北京, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
自然语言处理（NLP)工程师, 18, 1, 技术, 后端开发, 渡鸦科技, 北京, 本科, 50, 成长型, 移动互联网 · 数据服务
自然语言处理, 20, 3, 技术, 后端开发, 北京极数创联科技有限公司, 北京, 学历不限, 50, 成长型, 数据服务
自然语言处理, 30, 3, 技术, 后端开发, 天火科技, 北京, 本科, 15, 初创型, 移动互联网 · 游戏
自然语言处理, 22, 1, 技术, 后端开发, 嘉玛蓝鸿（北京）科技有限公司, 北京, 本科, 15, 成长型, 移动互联网
自然语言处理工程师, 15, 不, 技术, 后端开发, DMCC, 北京, 大专, 50, 成长型, 数据服务
自然语言处理, 30, 3, 技术, 后端开发, 360, 北京, 本科, 2000, 上市公, 移动互联网 · 游戏
自然语言处理工程师, 20, 1, 技术, 后端开发, 猎豹移动, 北京, 本科, 500, 上市公, 移动互联网 · 信息安全
自然语言处理研究员, 18, 不, 技术, 后端开发, 妙计旅行, 北京, 硕士, 50, 成长型, 旅游
自然语言处理工程师, 22, 3, 技术, 后端开发, 微店, 北京, 本科, 500, 成熟型, 移动互联网  · 电子商务
自然语言处理开发工程师, 30, 1, 技术, 后端开发, 学霸君, 北京, 硕士, 150, 成长型, 移动互联网 · 教育
自然语言处理工程师, 18, 3, 技术, 后端开发, 苏小研, 苏州, 硕士, 500, 成熟型, 移动互联网
自然语言处理工程师, 15, 不, 技术, 后端开发, 聚熵智能, 上海, 硕士, 50, 成长型, 移动互联网 · 硬件
自然语言处理, 30, 3, 技术, 后端开发, 携程, 上海, 硕士, 2000, 上市公, 移动互联网 · 旅游
自然语言处理工程师, 9, 1, 技术, 后端开发, 舜达天下物流云服务平台, 青岛, 大专, 150, 初创型, 移动互联网 · O2O
自然语言处理, 30, 1年以, 技术, 后端开发, 发镖网, 北京, 硕士, 150, 成熟型, 移动互联网 · O2O
自然语言处理工程师, 12, 1, 技术, 后端开发, 购物党, 南京, 本科, 15, 初创型, 电子商务 · 数据服务
