职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Python, 15, 不, 技术, 后端开发, twinkle, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
Python, 13, 1, 技术, 后端开发, 汇域科技, 上海, 大专, 15, 初创型, 移动互联网
Python, 20, 1, 技术, 后端开发, 买个便宜货mgpyh, 上海, 本科, 15, 成长型, 电子商务 · 生活服务
Python, 16, 1, 技术, 后端开发, 矿池科技, 杭州, 学历不限, 15, 初创型, 移动互联网
Python, 15, 1, 技术, 后端开发, 两鲜, 上海, 大专, 150, 成长型, 电子商务
Python（运营开发方向）, 10, 不, 技术, 后端开发, 拉勾网, 北京, 学历不限, 150, 成长型, 企业服务 · 招聘
Python, 18, 3, 技术, 后端开发, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
Python, 16, 3, 技术, 运维, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
Python, 15, 1, 技术, 后端开发, 12308全国汽车票, 深圳, 大专, 50, 成长型, 移动互联网 · 电子商务
Python, 11, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 大专, 2000, 上市公, 企业服务
Python, 8, 1, 技术, 后端开发, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
Python工程师, 20, 3, 技术, 后端开发, OPPO, 深圳, 本科, 2000, 成熟型, 移动互联网
Python, 15, 不, 技术, 后端开发, 谷露软件, 上海, 学历不限, 15, 成长型, 数据服务 · 招聘
Python, 17, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
Python, 15, 1, 技术, 后端开发, 广州灵酷, 广州, 学历不限, 15, 成长型, 电子商务 · O2O
Python, 20, 不, 技术, 后端开发, 谷露软件, 上海, 学历不限, 15, 成长型, 数据服务 · 招聘
Python, 20, 3, 技术, 后端开发, Student.com, 上海, 本科, 50, 成长型, 电子商务
Python, 20, 1, 技术, 后端开发, 云信, 北京, 本科, 50, 成长型, 金融
python, 15, 1, , web前端, 谷露软件, 北京, 大专, 15, 成长型, 数据服务 · 招聘
Python, 12, 3, 技术, 后端开发, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
python开发工程师, 30, 1, 技术, 运维, 畅捷通, 北京, 本科, 500, 上市公, 移动互联网 · 企业服务
Python, 15, 不, 技术, 后端开发, 哈客(HarkHark), 杭州, 学历不限, 15, 初创型, 移动互联网 · O2O
Python, 12, 1, 技术, 后端开发, 世界邮轮网, 北京, 学历不限, 50, 成长型, 旅游
Python, 17, 1, 技术, 后端开发, iHandy, 北京, 本科, 50, 成长型, 移动互联网
Python, 20, 3, 技术, 后端开发, 美团网, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
Python, 20, 3, 技术, 后端开发, 犇众信息, 上海, 本科, 15, 初创型, 移动互联网
Python, 30, 3, 技术, 后端开发, eengoo, 上海, 本科, 15, 初创型, 移动互联网 · 数据服务
Python, 13, 1, 技术, 后端开发, 医道互联, 北京, 本科, 15, 初创型, 移动互联网 · 医疗健康
Python, 20, 3, 技术, 后端开发, 世界邮轮网, 北京, 大专, 50, 成长型, 旅游
Python, 11, 1, 技术, 后端开发, 无境, 珠海, 本科, 15, 初创型, 移动互联网 · 硬件
Python, 22, 不, 技术, 后端开发, 世界邮轮网, 北京, 学历不限, 50, 成长型, 旅游
Python, 20, 1年以, 技术, 后端开发, 万联信息, 广州, 本科, 15, 成长型, 移动互联网
Python, 22, 不, 技术, 后端开发, 点我吧（点我达）, 杭州, 本科, 2000, 成熟型, 移动互联网 · 电子商务
Python, 6, 不, 技术, 后端开发, 点触, 厦门, 学历不限, 50, 初创型, 移动互联网 · 游戏
Python, 9, 3, 技术, 后端开发, 中软国际, 西安, 大专, 2000, 上市公, 移动互联网 · 企业服务
Python工程师, 22, 1, 技术, 后端开发, 礼物说, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
Python, 7, 1, 技术, 后端开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
Python, 24, 1, 技术, 后端开发, 米学网, 北京, 本科, 150, 成长型, 移动互联网 · 教育
Python, 2, 1, 技术, 后端开发, 中创三优, 北京, 本科, 50, 初创型, 移动互联网 · 数据服务
Python, 22, 1, 技术, 后端开发, 十号体育, 北京, 本科, 15, 初创型, 广告营销 · 文化娱乐
Python, 17, 不, 技术, 后端开发, 世界邮轮网, 北京, 学历不限, 50, 成长型, 旅游
Python, 22, 1, 技术, 后端开发, 美的集团总部流程IT, 深圳, 本科, 2000, 上市公, 硬件
Python, 7, 1, 技术, 后端开发, 百益软件, 西安, 学历不限, 50, 初创型, 电子商务
Python（总部）, 30, 3, 技术, 后端开发, 美菜网, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
Python, 12, 1, 技术, 后端开发, Dilato, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
高级Python工程师, 20, 5, 技术, 后端开发, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
Python, 10, 3, 技术, 后端开发, 一石科技, 长沙, 大专, 15, 初创型, 移动互联网 · 信息安全
Python, 15, 1, 技术, 后端开发, 东奥, 北京, 本科, 500, 成熟型, 电子商务 · 教育
Python, 11, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
