职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
精准推荐, 22, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
精准推荐, 24, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
精准推荐（数据分析）, 12, 1, 技术, 后端开发, 聚数数据, 深圳, 硕士, 15, 初创型, O2O · 数据服务
精准推荐, 15, 不, 技术, 后端开发, 奕报告, 广州, 学历不限, 15, 初创型, 移动互联网 · 教育
精准推荐, 20, 3, 技术, 后端开发, 欧电云, 上海, 本科, 50, 初创型, 电子商务 · 企业服务
精准推荐, 24, 1, 技术, 后端开发, 乐鼠科技, 北京, 硕士, 15, 初创型, 移动互联网 · 其他
精准推荐, 20, 3, 技术, 后端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
精准推荐, 23, 3, 技术, 后端开发, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
精准推荐, 21, 3, 技术, 后端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
精准推荐, 45, 3, 技术, 后端开发, 58同城, 北京, 本科, 2000, 上市公, 生活服务 · 分类信息
精准推荐, 29, 3, 技术, 后端开发, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
精准推荐, 19, 1, 技术, 后端开发, 多盟, 北京, 本科, 150, 成长型, 移动互联网 · 广告营销
精准推荐, 23, 不, 技术, 后端开发, 微店, 杭州, 学历不限, 500, 成熟型, 移动互联网  · 电子商务
精准推荐, 30, 3, 技术, 后端开发, 银联, 上海, 学历不限, 2000, 初创型, 移动互联网 · 金融
资深精准推荐（数据分析合伙人）, 17, 3, 技术, 后端开发, 聚数数据, 深圳, 硕士, 15, 初创型, O2O · 数据服务
精准推荐, 23, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
精准推荐, 15, 3, 技术, 后端开发, 观相数据, 上海, 本科, 15, 初创型, 企业服务
