职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
搜索算法, 30, 1, 技术, 后端开发, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
搜索算法, 30, 5, 技术, 后端开发, 普奥云信息, 北京, 本科, 15, 成长型, 数据服务
搜索算法, 21, 3, 技术, 后端开发, 慧泉众康, 杭州, 本科, 15, 成长型, 移动互联网 · 医疗健康
搜索算法, 25, 5, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
搜索算法, 22, 3, 技术, 后端开发, 普奥云信息, 北京, 本科, 15, 成长型, 数据服务
搜索算法, 27, 3, 技术, 后端开发, 55海淘, 上海, 本科, 150, 成长型, 电子商务
搜索算法, 21, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
搜索算法, 16, 1, 技术, 后端开发, 商询科技, 朝阳, 本科, 15, 初创型, 企业服务 · 数据服务
搜索算法, 15, 3, 技术, 后端开发, 全景数据, 西安, 硕士, 50, 成长型, 数据服务 · 金融
搜索算法, 25, 1, 技术, 后端开发, 互联网效果整合营销的领航者, 北京, 本科, 500, 成熟型, 移动互联网 · 电子商务
搜索算法, 24, 1, 技术, 后端开发, 乐鼠科技, 北京, 硕士, 15, 初创型, 移动互联网 · 其他
搜索算法, 22, 3, 技术, 后端开发, 知聊, 杭州, 本科, 15, 成长型, 移动互联网 · 生活服务
搜索算法, 20, 5, 技术, 后端开发, DFRobot-SH, 上海, 本科, 150, 成长型, 电子商务 · 硬件
搜索算法, 14, 不, 技术, 后端开发, 1号店, 武汉, 本科, 2000, 成熟型, 移动互联网
搜索算法, 30, 1, 技术, 后端开发, 美团网, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
搜索算法, 12, 3, 技术, 后端开发, 上海青客, 上海, 硕士, 500, 成长型, 移动互联网 · O2O
搜索算法, 22, 3, 技术, 后端开发, 欧电云, 上海, 本科, 50, 初创型, 电子商务 · 企业服务
搜索算法, 18, 3, 技术, 后端开发, 埃微, 深圳, 大专, 50, 初创型, 移动互联网 · 医疗健康
