职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
WEB安全, 10, 1, 技术, 运维, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
WEB安全, 7, 1, 技术, 运维, 傲磐国科, 南京, 学历不限, 50, 成长型, 移动互联网 · 信息安全
WEB安全, 11, 1, 技术, 运维, 畅途网, 南京, 本科, 150, 成熟型, 电子商务
WEB安全, 22, 不, 技术, 运维, 静遥网络科技, 上海, 本科, 150, 成长型, 移动互联网 · 电子商务
WEB安全, 12, 3, 技术, 运维, 东方合信, 北京, 本科, 50, 初创型, 金融 · 信息安全
WEB安全, 15, 3, 技术, 运维, 北京亚信数据有限公司, 上海, 学历不限, 2000, 上市公, 移动互联网 · 数据服务
WEB安全, 11, 3, 技术, 运维, 微摇软件, 武汉, 本科, 150, 成长型, 移动互联网 · 电子商务
WEB安全, 2, 1, 技术, 运维, 重庆梦之想科技有限责任公司, 重庆, 大专, 50, 成长型, 信息安全
WEB安全, 8, 1, 技术, 运维, 天融信, 北京, 本科, 500, 成熟型, 信息安全
WEB安全, 13, 1, 技术, 运维, 中睿天下, 北京, 学历不限, 50, 成长型, 信息安全 · 其他
Web安全工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
WEB安全, 22, 3, 技术, 运维, 迪服黛尔, 北京, 本科, 150, 成长型, 电子商务 · O2O
Web安全工程师, 30, 1, 技术, 前端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
WEB安全, 15, 不, 技术, 运维, 郑州赛欧思科技有限公司, 郑州, 学历不限, 15, 初创型, 信息安全
WEB安全, 20, 5, 技术, 运维, 饿了么, 上海, 本科, 2000, 成熟型, 移动互联网
WEB安全, 13, 3, 技术, 运维, 中科软, 北京, 大专, 500, 上市公, 移动互联网 · 数据服务
WEB安全, 20, 3, 技术, 运维, 立维网, 南京, 本科, 15, 初创型, 信息安全 · 数据服务
WEB安全, 10, 1, 技术, 运维, 北京苹果知科技有限公司, 北京, 大专, 15, 初创型, 移动互联网 · 硬件
web安全负责人, 17, 3, 技术, 高端技术职位, 51信用卡管家, 杭州, 学历不限, 150, 成长型, 金融 · 数据服务
WEB安全, 22, 3, 技术, 运维, 千寻位置, 上海, 本科, 150, 初创型, 移动互联网
WEB安全工程师, 20, 1, 技术, 运维, 网信集团, 北京, 本科, 2000, 成长型, 金融
WEB安全工程师（平台）, 15, 3, 技术, 运维, 随手科技, 深圳, 本科, 150, 成长型, 移动互联网 · 金融
WEB安全(系统、网络等), 19, 3, 技术, 运维, 如风达, 北京, 大专, 2000, 初创型, 移动互联网 · O2O
web安全工程师, 22, 3, 技术, 高端技术职位, 京东金融, 北京, 本科, 2000, 上市公, 金融
WEB安全, 15, 3, 技术, 运维, 安邦保险集团, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
web安全工程师, 20, 1, 技术, 运维, e袋洗, 北京, 本科, 500, 成长型, O2O
WEB安全, 13, 1, 技术, 运维, 易网新科技, 杭州, 大专, 50, 初创型, 移动互联网 · 电子商务
WEB安全, 22, 1, 技术, 运维, 新浪微博, 北京, 学历不限, 2000, 上市公, 移动互联网
WEB安全工程师, 6, 1, 技术, 运维, 亿百润, 北京, 学历不限, 50, 成长型, 金融
web安全工程师, 22, 3, 技术, 运维, 英富森, 北京, 本科, 2000, 初创型, 移动互联网 · 电子商务
WEB安全工程师, 11, 1, 技术, 运维, 分期乐, 深圳, 本科, 500, 成熟型, 移动互联网
WEB安全工程师, 21, 1, 技术, 运维, SKT, 深圳, 学历不限, 50, 初创型, 企业服务 · 其他
Web安全测试工程师, 10, 1, 技术, 测试, 地利控股成都研发中心, 成都, 大专, 150, 上市公, 电子商务
WEB安全工程师, 15, 1, 技术, 运维, Red Hat, 北京, 大专, 500, 上市公, 移动互联网 · 数据服务
WEB安全工程师, 25, 3, 技术, 运维, 中搜, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
WEB安全工程师, 6, 1, 技术, 运维, 易贷, 成都, 大专, 50, 初创型, 金融
WEB安全工程师, 27, 3, 技术, 高端技术职位, 启明星辰, 北京, 本科, 2000, 上市公, 移动互联网
web安全工程师, 24, 3, 技术, 前端开发, 唯品会, 北京, 本科, 2000, 上市公, 电子商务
WEB安全工程师, 25, 3, 技术, 运维, 艺龙, 北京, 本科, 150, 上市公, 移动互联网 · 旅游
产品技术部-Web安全工程师, 22, 1, 技术, 高端技术职位, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
WEB安全工程师, 22, 1, 技术, 运维, 途牛网, 北京, 本科, 2000, 成熟型, 移动互联网 · 电子商务
WEB安全测试工程师, 7, 1, 技术, 测试, 微往, 苏州, 本科, 50, 成长型, 移动互联网 · 电子商务
安全研究员 - 病毒或Web安全, 22, 1, 技术, 高端技术职位, 瀚思HanSight, 成都, 本科, 50, 成长型, 企业服务 · 数据服务
高级测试工程师（web安全方向）, 12, 3, 技术, 测试, 魅族深圳, 深圳, 大专, 2000, 成长型, 移动互联网 · 硬件
