职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
运维经理, 19, 不, 技术, 运维, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
运维经理, 24, 3, 技术, 运维, 慧择网, 深圳, 大专, 500, 成长型, 移动互联网  · 电子商务
运维经理, 7, 3, 技术, 运维, 观流科技, 聊城, 大专, 150, 成长型, 移动互联网 · 电子商务
运维经理, 15, 不, 技术, 运维, 杭州知彼科技有限公司, 杭州, 学历不限, 50, 成长型, 数据服务
运维经理, 22, 3, 技术, 运维, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
运维经理, 15, 3, 技术, 运维, 浙江小融网络科技股份有限公司, 杭州, 本科, 50, 初创型, 金融
运维经理, 17, 3, 技术, 运维, 沙塔, 上海, 本科, 50, 成长型, 移动互联网 · 数据服务
运维经理, 27, 3, 技术, 运维, 千山药机, 长沙, 本科, 2000, 上市公, 医疗健康
运维经理, 30, 5, 技术, 运维, 沪江, 上海, 大专, 500, 成熟型, 移动互联网 · 教育
运维经理, 12, 1, 技术, 运维, 富邦财富, 上海, 大专, 50, 初创型, 金融
运维经理, 12, 3, 技术, 运维, 广东东田教育集团有限公司, 广州, 本科, 150, 成长型, 移动互联网 · 教育
运维经理, 20, 3, 技术, 运维, 浙江鹰泊, 杭州, 大专, 50, 成熟型, 电子商务
运维经理, 15, 3, 技术, 运维, 珠海赞友, 珠海, 大专, 15, 初创型, 移动互联网 · 社交网络
运维经理/运维总监, 22, 5, 技术, 运维, 齐家网, 上海, 大专, 2000, 成熟型, O2O  · 生活服务
运维经理, 7, 1, 技术, 运维, 深圳成为智能交通, 深圳, 本科, 150, 成长型, 移动互联网 · 硬件
运维经理, 20, 3, 技术, 运维, 力美传媒, 上海, 本科, 150, 成长型, 移动互联网  · 广告营销
运维经理, 9, 3, 技术, 运维, 车位管家, 福州, 大专, 50, 成长型, 移动互联网 · O2O
运维经理/高级经理, 20, 5, 技术, 运维, 115科技, 东莞, 大专, 50, 成长型, 移动互联网 · 数据服务
运维经理, 15, 3, 技术, 运维, 爱贷网, 杭州, 大专, 150, 初创型, 金融
运维经理, 25, 3, 技术, 运维, 上海我加网络科技有限公司, 上海, 大专, 50, 成长型, 移动互联网
运维经理, 7, 1, 技术, 运维, 好友聚, 杭州, 学历不限, 15, 初创型, 社交网络 · O2O
运维经理, 2, 不, 技术, 运维, 永安信（忻州）基金, 忻州, 大专, 15, 初创型, 金融
运维经理, 21, 3, 技术, 运维, 东融在线, 上海, 本科, 150, 成长型, 金融
运维经理, 20, 5, 技术, 运维, 即富, 上海, 大专, 150, 成长型, 电子商务 · 金融
运维经理, 15, 3, 技术, 运维, 全维科技, 苏州, 本科, 150, 成长型, 移动互联网 · 医疗健康
运维经理, 25, 5, 技术, 运维, 上海眯客, 上海, 学历不限, 150, 成长型, 移动互联网 · O2O
运维经理, 7, 1, 运营, 运营, 聚财通, 北京, 大专, 50, 成长型, 移动互联网 · 金融
运维经理, 2, 不, 技术, 运维, 永安信（忻州）基金, 忻州, 大专, 15, 初创型, 金融
运维经理, 15, 5, 技术, 运维, 好慷在线, 厦门, 本科, 150, 成长型, 生活服务
运维经理, 20, 3, 技术, 运维, 宁圣金控, 上海, 学历不限, 500, 成熟型, 移动互联网 · 金融
运维经理, 30, 5, 技术, 运维, 我来贷WeLab, 深圳, 本科, 150, 成长型, 金融
运维经理, 11, 3, 技术, 运维, 韵航科技, 广州, 本科, 15, 初创型, 数据服务 · 其他
运维经理, 16, 3, 技术, 运维, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
运维经理, 9, 1, 技术, 运维, 高阳通联, 长沙, 大专, 150, 上市公, 移动互联网 · 电子商务
运维经理, 25, 5, 技术, 运维, 上海眯客, 上海, 本科, 150, 成长型, 移动互联网 · O2O
运维经理, 21, 3, 技术, 运维, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
运维经理, 15, 5, 技术, 运维, 支点网络, 广州, 本科, 50, 成长型, 移动互联网 · 社交网络
运维经理, 20, 3, 技术, 运维, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
运维经理, 12, 3, 技术, 运维, 上海宝玉石交易中心, 上海, 大专, 50, 成长型, 移动互联网 · 电子商务
