职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
运营总监, 30, 3, 运营, 运营, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
运营总监, 12, 1, 运营, 运营, 金卖网, 厦门, 本科, 50, 成长型, 移动互联网 · 电子商务
运营总监, 12, 5, 运营, 运营, 点豆农业电商, 临沂, 大专, 500, 成熟型, 移动互联网 · 电子商务
运营总监, 18, 5, 运营, 高端运营职位, 长投互联网（老母鸡）, 武汉, 本科, 50, 初创型, O2O · 金融
运营总监, 22, 3, 运营, 运营, twinkle, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
运营总监, 22, 3, 运营, 高端运营职位, 小肚皮App, 北京, 学历不限, 15, 成长型, 移动互联网
运营总监, 40, 3, 运营, 高端运营职位, 千里马招标网, 北京, 本科, 150, 成长型, 电子商务 · 企业服务
运营总监, 12, 1, 运营, 运营, 资味网, 杭州, 本科, 50, 成长型, 移动互联网 · 电子商务
运营总监, 22, 3, 运营, 高端运营职位, 广通软件, 杭州, 本科, 150, 上市公, 移动互联网 · 信息安全
运营总监, 60, 5, 运营, 高端运营职位, Voyageone, 上海, 本科, 150, 成长型, 电子商务
运营总监, 25, 5, 运营, 高端运营职位, 我来也, 北京, 本科, 50, 成长型, 移动互联网 · O2O
运营总监, 25, 5, 运营, 高端运营职位, 慈铭@慈记, 北京, 学历不限, 50, 初创型, 移动互联网 · 医疗健康
运营总监, 10, 1, 运营, 运营, 云麻豆, 宁波, 大专, 15, 初创型, 移动互联网 · 电子商务
运营总监, 30, 5, 运营, 高端运营职位, 新移传媒, 杭州, 本科, 50, 成长型, 移动互联网
运营总监, 20, 3, 运营, 高端运营职位, 12308全国汽车票, 深圳, 本科, 50, 成长型, 移动互联网 · 电子商务
运营总监, 12, 3, 运营, 高端运营职位, 91沐足, 广州, 大专, 15, 成长型, 社交网络 · O2O
运营总监, 30, 5, 运营, 高端运营职位, 迪安诊断, 杭州, 学历不限, 2000, 上市公, 医疗健康
运营总监, 32, 5, 运营, 运营, 南华智闻, 广州, 大专, 50, 初创型, 移动互联网 · 文化娱乐
运营总监, 16, 3, 运营, 高端运营职位, CATCH, 杭州, 本科, 15, 成长型, 移动互联网
运营总监, 6, 1, 运营, 高端运营职位, 西安际宇星, 西安, 学历不限, 15, 初创型, 移动互联网
运营总监, 20, 5, 运营, 高端运营职位, e井在线, 杭州, 本科, 15, 初创型, 移动互联网 · 电子商务
运营总监, 21, 5, 运营, 高端运营职位, 订货宝, 成都, 大专, 50, 成长型, 电子商务
运营总监, 15, 5, 运营, 运营, 中铭智集团, 深圳, 大专, 500, 成熟型, 企业服务 · 教育
运营总监, 22, 3, 运营, 高端运营职位, 跳吧, 上海, 学历不限, 15, 成长型, 文化娱乐
运营总监, 45, 5, 运营, 运营, hooray, 上海, 学历不限, 15, 成长型, 移动互联网 · 教育
运营总监, 22, 5, 运营, 高端运营职位, 爱财在线, 广州, 学历不限, 50, 成长型, 金融
运营总监, 37, 5, 运营, 高端运营职位, 信利康供应链, 深圳, 本科, 500, 成熟型, 电子商务 · 金融
运营总监, 15, 1, 运营, 高端运营职位, 搜油, 宁波, 大专, 15, 初创型, 移动互联网
运营总监, 9, 3, 运营, 高端运营职位, 52校园, 郑州, 大专, 50, 成长型, 电子商务 · 金融
运营总监, 20, 3, 运营, 高端运营职位, 泛微, 上海, 本科, 500, 成熟型, 移动互联网 · 企业服务
运营总监, 22, 5, 运营, 高端运营职位, 博鼎智文, 厦门, 大专, 50, 成长型, 移动互联网 · O2O
运营总监, 15, 1, 运营, 高端运营职位, e井在线, 杭州, 大专, 15, 初创型, 移动互联网 · 电子商务
运营总监, 7, 3, 运营, 高端运营职位, 时光流影, 合肥, 本科, 500, 上市公, 社交网络
运营总监, 15, 3, 运营, 高端运营职位, 美分期网络科技, 上海, 本科, 15, 初创型, 移动互联网 · 金融
运营总监, 22, 不, 运营, 高端运营职位, 金智教育, 南京, 学历不限, 500, 上市公, 移动互联网
运营总监, 17, 3, 运营, 运营, 拾财贷, 北京, 本科, 150, 成长型, 移动互联网 · 金融
运营总监, 11, 3, 运营, 运营, 天行网络, 福州, 大专, 15, 初创型, 移动互联网 · 游戏
运营总监, 25, 5, 运营, 高端运营职位, 华融道, 上海, 大专, 50, 成长型, 金融
运营总监, 6, 1, 运营, 运营, 好网, 西安, 大专, 50, 初创型, 移动互联网 · 电子商务
运营总监, 20, 5, 运营, 高端运营职位, 搜房网, 北京, 本科, 2000, 上市公, 移动互联网 · O2O
运营总监, 25, 5, 运营, 高端运营职位, 返利网, 上海, 本科, 150, 成熟型, 电子商务
运营总监, 18, 3, 运营, 高端运营职位, 杜仲哥, 广州, 本科, 15, 初创型, 移动互联网 · 医疗健康
运营总监, 17, 3, 运营, 高端运营职位, 拾财贷, 北京, 本科, 150, 成长型, 移动互联网 · 金融
运营总监, 22, 5, 运营, 高端运营职位, 搜道网, 杭州, 本科, 50, 成长型, 电子商务 · 社交网络
运营总监, 17, 3, 运营, 高端运营职位, 智驾科技ICARFORCE, 杭州, 本科, 15, 成长型, 移动互联网 · 电子商务
运营总监, 45, 5, 运营, 高端运营职位, 杭州铭师堂教育科技, 杭州, 本科, 150, 成长型, 移动互联网
运营总监, 17, 3, 运营, 高端运营职位, 拾财贷, 北京, 本科, 150, 成长型, 移动互联网 · 金融
运营总监, 30, 5, 运营, 高端运营职位, 星河互联集团, 北京, 本科, 500, 成熟型, 移动互联网
运营总监, 30, 3, 市场与销售, 高端市场职位, 云创谷VentureShares, 深圳, 本科, 15, 成长型, 金融
运营总监, 25, 5, 运营, 运营, 郑州悉知, 郑州, 本科, 150, 初创型, 电子商务
运营总监, 30, 5, 运营, 运营, 诚信互通, 上海, 本科, 150, 成长型, 移动互联网 · 企业服务
运营总监, 40, 5, 运营, 高端运营职位, 真融宝, 北京, 本科, 50, 成长型, 金融
运营总监, 25, 5, 运营, 运营, 初页, 北京, 本科, 15, 成长型, 移动互联网
运营总监, 10, 3, 运营, 高端运营职位, 中联合力, 青岛, 本科, 50, 初创型, 移动互联网 · 企业服务
运营总监, 20, 5, 运营, 运营, 兔狗科技, 杭州, 本科, 500, 成长型, 电子商务
