职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
记者, 22, 3, 运营, 编辑, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
记者, 11, 不, 运营, 编辑, 以太资本, 北京, 本科, 150, 成长型, 金融
记者, 9, 1, 运营, 编辑, 集群宝, 杭州, 本科, 15, 初创型, 电子商务 · 教育
记者, 6, 1, 运营, 编辑, 潮流阁网络科技, 广州, 本科, 150, 成长型, 电子商务 · O2O
记者, 12, 1, 运营, 编辑, 明投, 深圳, 本科, 15, 初创型, 金融 · 移动互联网
记者, 10, 1, 运营, 编辑, 青苔债管家, 北京, 本科, 15, 成长型, 移动互联网 · 金融
记者, 4, 1, 运营, 编辑, 东方网升, 杭州, 大专, 150, 初创型, 企业服务 · 招聘
记者, 10, 3, 运营, 编辑, 清科集团, 北京, 本科, 500, 成熟型, 金融
记者, 4, 1, 运营, 编辑, 哇沃网络科技有限责任公司, 成都, 本科, 50, 初创型, 电子商务 · O2O
记者, 4, 1, 运营, 编辑, 智能界, 北京, 大专, 15, 初创型, 硬件 · 文化娱乐
记者, 1, 不, 运营, 编辑, 跟谁学, 武汉, 大专, 150, 初创型, O2O · 教育
记者, 5, 1, 运营, 编辑, 融动科技（网贷天下）, 杭州, 本科, 15, 初创型, 金融 · 文化娱乐
记者, 5, 1, 运营, 编辑, 家创易, 深圳, 本科, 15, 初创型, 移动互联网 · 电子商务
记者, 6, 1, 运营, 编辑, 哇呀, 上海, 学历不限, 15, 初创型, 移动互联网 · 旅游
记者, 7, 1, 运营, 编辑, 前橙会, 杭州, 本科, 15, 初创型, 其他
记者, 4, 3, 运营, 编辑, 南京掘智, 南京, 本科, 50, 成长型, 文化娱乐
记者, 6, 1, 运营, 编辑, 阿拉丁数字技术, 杭州, 本科, 150, 成长型, 移动互联网 · O2O
记者, 5, 1, 运营, 编辑, 阿拉丁数字技术, 杭州, 大专, 150, 成长型, 移动互联网 · O2O
记者, 6, 3, 运营, 编辑, 深圳国联明德, 深圳, 本科, 150, 初创型, 金融
记者, 6, 不, 运营, 编辑, 风云际会, 北京, 本科, 15, 初创型, 移动互联网 · 电子商务
记者, 4, 1年以, 运营, 编辑, 中国服装网, 杭州, 大专, 50, 初创型, 电子商务
记者, 6, 3, 运营, 编辑, 大学问网, 武汉, 本科, 15, 初创型, 移动互联网 · 教育
记者, 6, 1, 运营, 编辑, 车与轮, 北京, 本科, 15, 初创型, 广告营销
记者, 4, 1, 运营, 编辑, 武汉亿房网, 武汉, 大专, 150, 上市公, 移动互联网
记者/采编, 6, 1, 运营, 编辑, 汇志传媒, 广州, 本科, 150, 初创型, 广告营销 · 文化娱乐
记者, 6, 1, 运营, 编辑, 杭州酒圈, 杭州, 大专, 15, 初创型, 移动互联网 · O2O
记者, 8, 1, 运营, 编辑, 和讯网, 北京, 学历不限, 150, 成长型, 移动互联网
记者, 6, 1, 运营, 编辑, 微E贷, 佛山, 大专, 15, 初创型, 电子商务 · 金融
记者, 7, 不, 运营, 编辑, 银盛, 深圳, 学历不限, 500, 成熟型, 移动互联网 · 电子商务
记者, 7, 不, 运营, 编辑, 动脉网, 北京, 本科, 15, 初创型, 移动互联网 · 医疗健康
记者（手游媒体）, 4, 不, 运营, 编辑, 1688玩, 杭州, 大专, 15, 初创型, 移动互联网 · 游戏
记者, 4, 应届毕业, 运营, 编辑, 云思维, 深圳, 本科, 15, 初创型, 移动互联网 · 广告营销
记者, 12, 3, 运营, 编辑, 图经理, 南京, 学历不限, 15, 初创型, 移动互联网
记者, 10, 3, 运营, 编辑, 研客, 北京, 本科, 15, 成长型, 移动互联网 · 金融
记者/采编, 4, 不限, , 美术设计师（2d/3d）, 中教采购网, 北京, 学历不限, 15, 初创型, 电子商务 · 教育
记者/采编, 8, 1, 运营, 编辑, 转型家, 广州, 本科, 15, 初创型, 移动互联网 · 社交网络
记者, 5, 应届毕业, 运营, 编辑, 云思维, 北京, 大专, 15, 初创型, 移动互联网 · 广告营销
记者, 6, 3, 运营, 编辑, 行游天下, 西安, 本科, 150, 成长型, 移动互联网 · O2O
记者, 4, 不, 运营, 编辑, 动点科技, 北京, 本科, 15, 成长型, 文化娱乐
记者, 6, 1, 运营, 编辑, 清睿国际, 北京, 大专, 150, 成长型, 移动互联网 · 教育
记者, 3, 不, 运营, 编辑, 广佛都市网, 佛山, 本科, 50, 初创型, 文化娱乐
记者, 3, 不, 运营, 编辑, 微金科技, 北京, 本科, 15, 初创型, 移动互联网 · 广告营销
记者, 9, 不, 运营, 编辑, 淘国际, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
记者, 11, 不, 运营, 编辑, 小饭桌, 北京, 本科, 50, 成长型, 移动互联网 · O2O
记者, 4, 1, 运营, 编辑, 行游天下, 西安, 大专, 150, 成长型, 移动互联网 · O2O
记者, 3, 应届毕业, 运营, 编辑, 云思维, 北京, 本科, 15, 初创型, 移动互联网 · 广告营销
记者, 6, 不, 运营, 编辑, 期货日报社, 北京, 本科, 50, 成长型, 金融 · 其他
记者, 9, 1, 运营, 编辑, 它它邦, 北京, 大专, 50, 成长型, 移动互联网
记者, 7, 不, 运营, 编辑, 融资中国, 北京, 学历不限, 15, 初创型, 金融
记者/编辑, 5, 1, 运营, 编辑, 定向点金, 北京, 本科, 50, 成长型, 移动互联网 · 医疗健康
记者, 5, 1, 运营, 编辑, 一刻talks, 北京, 本科, 15, 成长型, 电子商务
记者, 11, 不, 运营, 编辑, 餐饮老板内参, 北京, 本科, 50, 成长型, 移动互联网 · 社交网络
记者, 3, 不, 运营, 编辑, 猎云网, 厦门, 本科, 50, 初创型, 移动互联网 · 企业服务
记者, 11, 不, 运营, 编辑, 农丰网, 北京, 学历不限, 500, 上市公, 电子商务 · O2O
记者, 8, 1, 运营, 编辑, 清睿教育, 北京, 本科, 150, 成熟型, 移动互联网
记者, 4, 1, 运营, 编辑, 汇联天下, 成都, 本科, 15, 初创型, 移动互联网 · 文化娱乐
记者, 8, 1, 运营, 编辑, 挖贝网, 北京, 本科, 15, 初创型, 金融
记者（创投/科技/财经方向）, 4, 应届毕业, 运营, 编辑, 闹客邦, 广州, 本科, 15, 初创型, 移动互联网 · 其他
记者, 8, 应届毕业, 运营, 编辑, 铅笔道, 北京, 本科, 15, 初创型, 文化娱乐 · 其他
记者, 10, 1, 运营, 编辑, 海尔小焙, 北京, 本科, 15, 成长型, 硬件
记者, 3, 1, 运营, 编辑, 东方辉煌, 深圳, 大专, 50, 初创型, 电子商务
资深记者, 9, 1, 运营, 编辑, 天下网商, 杭州, 本科, 150, 成长型, 移动互联网 · 广告营销
编辑记者, 5, 1, 运营, 编辑, 汇桔网, 广州, 大专, 500, 成长型, 企业服务 · O2O
记者, 4, 不, 运营, 编辑, 一起上, 深圳, 学历不限, 15, 初创型, 社交网络 · 企业服务
记者, 6, 不, 运营, 编辑, 方得网, 北京, 本科, 15, 初创型, 移动互联网 · 广告营销
记者, 5, 1年以, 运营, 编辑, 猎云网, 北京, 本科, 50, 初创型, 移动互联网 · 企业服务
记者, 8, 1, 运营, 编辑, 中国家电网, 北京, 本科, 50, 成长型, 移动互联网
记者, 11, 5, 运营, 编辑, 创投梦工场, 北京, 本科, 50, 初创型, 金融 · 文化娱乐
记者, 7, 不, 运营, 编辑, 超好玩, 北京, 学历不限, 50, 成长型, 游戏 · 文化娱乐
记者, 7, 不, 运营, 编辑, 超好玩, 北京, 学历不限, 50, 成长型, 游戏 · 文化娱乐
记者, 1, 不, 运营, 编辑, 界面, 广州, 本科, 150, 成长型, 金融
记者, 8, 1, 运营, 编辑, 数据客, 杭州, 本科, 15, 初创型, 移动互联网
记者, 4, 应届毕业, 运营, 编辑, 猎云网, 杭州, 本科, 50, 初创型, 移动互联网 · 企业服务
记者, 6, 不, 运营, 编辑, 第一视频, 北京, 本科, 500, 上市公, 文化娱乐
记者（深圳）, 8, 1, 运营, 编辑, 雅昌艺术网, 深圳, 本科, 150, 成长型, 文化娱乐
记者, 4, 不, 运营, 编辑, 智汇云商, 深圳, 本科, 50, 成长型, 移动互联网
记者, 4, 应届毕业, 运营, 编辑, 猎云网, 杭州, 本科, 50, 初创型, 移动互联网 · 企业服务
记者, 6, 1, 运营, 编辑, 第一手机界, 深圳, 大专, 15, 初创型, 移动互联网
记者, 4, 不, 运营, 编辑, 意酒网, 北京, 大专, 15, 初创型, 其他
记者, 8, 1, 运营, 编辑, 威客安全, 北京, 学历不限, 50, 初创型, 企业服务 · 信息安全
记者, 9, 1, 运营, 编辑, 新浪网, 北京, 本科, 2000, 上市公, 文化娱乐
记者, 3, 应届毕业, 运营, 编辑, 猎云网, 北京, 本科, 50, 初创型, 移动互联网 · 企业服务
记者, 12, 1, 运营, 编辑, 阿尔法工场, 北京, 本科, 15, 初创型, 移动互联网 · 金融
记者（教育领域）, 10, 1, 运营, 编辑, 芥末堆, 北京, 本科, 15, 成长型, 移动互联网 · 教育
