职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
品类运营, 9, 3, 运营, 运营, 易果生鲜, 上海, 本科, 500, 成长型, 电子商务
品类运营, 6, 1, 运营, 运营, 踏浪者国际, 北京, 本科, 500, 成长型, 电子商务
品类运营, 6, 1, 运营, 运营, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
品类运营, 9, 3, 运营, 运营, 踏浪者国际, 北京, 本科, 500, 成长型, 电子商务
品类运营, 5, 1, 运营, 运营, 淘粉吧, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
品类运营, 9, 3, 运营, 运营, ZEALER, 深圳, 大专, 150, 成长型, 移动互联网 · 电子商务
品类运营, 8, 1, 运营, 运营, 百洋健康网, 青岛, 大专, 150, 初创型, 移动互联网 · 医疗健康
品类运营, 5, 1, 运营, 运营, 易直供, 南京, 大专, 150, 成长型, 移动互联网 · 电子商务
品类运营, 5, 不, 运营, 运营, 艺术间, 杭州, 本科, 15, 初创型, 移动互联网 · 电子商务
品类运营, 11, 1, 市场与销售, 市场/营销, 正邦创意, 北京, 本科, 500, 成熟型, 移动互联网 · 广告营销
品类运营, 11, 1, 运营, 运营, 零号线, 上海, 本科, 500, 成长型, 电子商务 · O2O
品类运营, 9, 1, 运营, 运营, 东家, 杭州, 学历不限, 50, 成长型, 移动互联网
品类运营, 15, 3, 运营, 运营, 壹药网, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
品类运营, 8, 1, 运营, 运营, 零号线, 上海, 本科, 500, 成长型, 电子商务 · O2O
品类运营, 7, 3, 运营, 运营, 源品优购, 杭州, 大专, 150, 成长型, 电子商务 · 移动互联网
品类运营（非食品）, 15, 3, 运营, 运营, 百联全渠道电商, 上海, 大专, 500, 成熟型, 电子商务 · O2O
品类运营, 10, 3, 运营, 运营, 领结管家, 北京, 本科, 50, 成长型, 移动互联网 · 数据服务
品类运营, 3, 1, 运营, 运营, 西安网库信息技术有限公司, 西安, 大专, 2000, 成长型, 移动互联网 · 电子商务
品类运营, 7, 1, 运营, 运营, 源石数据, 上海, 本科, 15, 初创型, 移动互联网 · 数据服务
品类运营, 6, 1, 运营, 运营, 猪八戒网, 重庆, 学历不限, 500, 成熟型, 电子商务 · 生活服务
品类运营, 7, 1, 运营, 运营, 桑德环境, 武汉, 本科, 500, 上市公, 医疗健康 · 生活服务
品类运营, 5, 1, 运营, 运营, 枫车, 广州, 大专, 150, 成长型, 电子商务 · O2O
品类运营, 7, 1, 运营, 运营, 妈蜜, 杭州, 学历不限, 15, 初创型, 移动互联网
品类运营, 5, 不, 运营, 运营, 奢家, 上海, 学历不限, 15, 初创型, 移动互联网
品类运营（英文）, 12, 1, 运营, 运营, 东方机械网, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
品类运营, 8, 1, 运营, 运营, 御途网, 深圳, 本科, 50, 成长型, 移动互联网 · 电子商务
品类运营, 7, 1, 运营, 运营, 骐茂电子商务, 上海, 学历不限, 50, 初创型, 电子商务
品类运营（英语类）, 6, 1, 运营, 运营, 踏浪者国际, 北京, 大专, 500, 成长型, 电子商务
品类运营, 7, 1, 运营, 运营, evermarker, 北京, 本科, 50, 初创型, 电子商务
品类运营/商品专员, 4, 1, 运营, 运营, 52校园, 郑州, 大专, 50, 成长型, 电子商务 · 金融
品类运营, 27, 3, 运营, 运营, 爱学贷, 杭州, 本科, 500, 成长型, 金融
品类运营, 15, 3, 运营, 运营, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
品类运营, 4, 1, 运营, 运营, 中科亿达, 北京, 大专, 15, 初创型, 电子商务 · 文化娱乐
品类运营, 7, 不, 运营, 运营, 踏浪者国际, 苏州, 大专, 500, 成长型, 电子商务
品类运营, 15, 5, 运营, 运营, 乡邻小站, 上海, 大专, 150, 成长型, 电子商务 · 金融
品类运营, 11, 3, 运营, 运营, 北京加双筷子科技有限公司, 北京, 本科, 150, 成长型, 移动互联网 · O2O
品类运营, 6, 1, 运营, 运营, 金仁医药, 成都, 本科, 150, 成长型, 医疗健康
品类运营, 17, 5, 运营, 运营, 果敢时代, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
品类运营/类目运营, 15, 3, 运营, 运营, 北京加双筷子科技有限公司, 北京, 本科, 150, 成长型, 移动互联网 · O2O
品类运营, 3, 不, 运营, 运营, 京博控股股, 武汉, 本科, 150, 初创型, 广告营销 · 其他
品类运营（产品助理）, 4, 不, 运营, 运营, 蜂云网络（51订货网）, 南京, 大专, 500, 成长型, 电子商务 · O2O
品类运营, 11, 不, 运营, 运营, 司羽, 上海, 本科, 50, 成长型, 移动互联网 · 企业服务
品类运营, 4, 不, 运营, 运营, 狗管家, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
品类运营, 6, 1, 运营, 运营, 上品折扣, 北京, 大专, 500, 初创型, 电子商务 · O2O
品类运营（电商）, 11, 3, 运营, 运营, 合农网, 上海, 大专, 50, 成长型, 移动互联网
品类运营, 10, 3, 运营, 运营, 蜂蚁创盟, 杭州, 本科, 15, 初创型, 移动互联网 · 电子商务
品类运营, 17, 5, 运营, 运营, 必要商城, 北京, 本科, 50, 成长型, 电子商务
品类运营, 22, 5, 运营, 运营, 西狗国际, 上海, 本科, 50, 初创型, 电子商务 · O2O
品类运营, 6, 1, 运营, 运营, 信分宝, 北京, 大专, 50, 成长型, 移动互联网 · 电子商务
品类运营, 6, 1, 运营, 运营, 尚品网, 北京, 大专, 500, 成熟型, 电子商务
品类运营, 15, 1, 运营, 运营, 唛客网络科技, 杭州, 学历不限, 50, 初创型, 移动互联网 · 电子商务
品类运营, 6, 1, 运营, 运营, 信分宝, 北京, 大专, 50, 成长型, 移动互联网 · 电子商务
品类运营, 10, 1, 运营, 运营, 乐栈科技, 北京, 本科, 150, 成长型, O2O
品类运营, 11, 1, 运营, 运营, 快法务, 北京, 大专, 50, 成长型, 电子商务 · 企业服务
品类运营, 7, 1, 运营, 运营, 赞美传媒, 北京, 大专, 15, 初创型, 电子商务
品类运营, 10, 1, 运营, 运营, 趣活美食送, 北京, 大专, 2000, 成熟型, 移动互联网 · O2O
品类运营, 6, 3, 运营, 运营, 卷皮, 武汉, 本科, 500, 成长型, 电子商务
品类运营, 17, 3, 运营, 运营, 泽贤, 广州, 学历不限, 50, 成长型, 移动互联网 · 电子商务
品类运营专员, 7, 1, 运营, 运营, 贝贝网, 杭州, 大专, 500, 成熟型, 电子商务
品类运营, 7, 3, 运营, 运营, 金版文化数字传媒, 深圳, 本科, 50, 成长型, 移动互联网 · 生活服务
品类运营, 12, 1, 运营, 运营, 全民尚网, 深圳, 本科, 50, 成长型, 移动互联网 · O2O
品类运营专员, 7, 1, 运营, 运营, 52校园, 北京, 本科, 50, 成长型, 电子商务 · 金融
品类运营, 5, 不, 运营, 运营, 折800, 北京, 大专, 500, 成熟型, 电子商务 · O2O
品类运营/商品运营, 11, 1, 运营, 运营, 零号线, 上海, 本科, 500, 成长型, 电子商务 · O2O
品类运营, 15, 3, 运营, 运营, 融贯, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
品类运营, 9, 1, 运营, 运营, 天津五八到家生活服务有限公司, 北京, 本科, 150, 成长型, 移动互联网 · O2O
品类运营, 7, 3, 运营, 运营, 卓尔购, 武汉, 大专, 50, 上市公, 电子商务
品类运营（15届毕业生）, 3, 应届毕业, 运营, 运营, 1折网, 厦门, 大专, 50, 初创型, 电子商务
品类运营, 22, 3, 运营, 运营, 腾讯, 北京, 本科, 2000, 上市公, 移动互联网  · 游戏
品类运营专员/经理, 12, 3, 运营, 运营, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
品类运营, 8, 1, 运营, 运营, 一学时--职业在线学习平台, 上海, 学历不限, 15, 初创型, 教育
品类运营, 15, 1, 运营, 高端运营职位, BLOOM鲜花, 北京, 本科, 15, 初创型, 移动互联网 · O2O
品类运营, 17, 3, 运营, 运营, 果敢时代, 北京, 大专, 50, 成长型, 移动互联网 · 电子商务
品类运营, 7, 1, 运营, 运营, 蜜芽, 北京, 大专, 500, 成熟型, 电子商务
品类运营专员, 7, 1, 运营, 运营, 本来生活网, 北京, 大专, 2000, 成长型, O2O
品类运营专员, 5, 不, 运营, 运营, 美秒科技, 北京, 学历不限, 15, 成长型, 移动互联网 · 电子商务
品类运营, 6, 1, 运营, 运营, 西港全球购, 重庆, 大专, 50, 成长型, 电子商务
品类运营, 7, 1, 运营, 运营, ENJOY, 北京, 本科, 150, 成熟型, 移动互联网 · 社交网络
