职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
新媒体运营, 15, 3, 运营, 运营, 铜板街, 北京, 本科, 150, 成长型, 移动互联网
新媒体运营, 15, 1, 运营, 运营, 猛联科技, 广州, 本科, 15, 初创型, 移动互联网
新媒体运营, 4, 1, 运营, 运营, Dreamtimes, 合肥, 本科, 15, 初创型, 电子商务
新媒体运营, 7, 1, 运营, 运营, 3W Coffee, 深圳, 本科, 15, 成长型, 移动互联网 · 招聘
新媒体运营, 5, 1, 运营, 运营, 优呗, 杭州, 本科, 15, 初创型, 移动互联网
新媒体运营, 7, 不, 运营, 运营, 达观科技, 上海, 学历不限, 15, 初创型, 移动互联网
新媒体运营, 8, 不, 运营, 运营, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
新媒体运营, 8, 不, 运营, 运营, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
新媒体运营, 6, 不, 运营, 运营, 嘟嘟囔囔, 上海, 学历不限, 15, 初创型, 移动互联网 · 电子商务
新媒体运营, 7, 1, 运营, 运营, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
新媒体运营, 5, 1, 运营, 运营, 资味网, 杭州, 大专, 50, 成长型, 移动互联网 · 电子商务
新媒体运营, 18, 1, 运营, 运营, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
新媒体运营（中文）, 17, 1, 运营, 运营, Rush, 北京, 本科, 15, 成长型, 移动互联网 · 企业服务
新媒体运营, 11, 1, 运营, 运营, ickey, 上海, 本科, 150, 成长型, 电子商务
新媒体运营, 6, 1, , 运营专员, 天平派, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
新媒体运营, 8, 应届毕业, 运营, 运营, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
新媒体运营, 7, 1, 运营, 运营, 闻上科技, 上海, 本科, 15, 初创型, 硬件 · 移动互联网
新媒体运营, 15, 1, 运营, 运营, 真融宝, 北京, 本科, 50, 成长型, 金融
新媒体运营, 5, 应届毕业, 运营, 运营, 棒呆Bon Day！, 上海, 本科, 15, 初创型, 教育 · 移动互联网
新媒体运营, 6, 1, 运营, 运营, 聚居网, 长沙, 大专, 15, 成长型, 移动互联网 · 硬件
新媒体运营（急）, 15, 3, 运营, 运营, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
新媒体运营, 5, 不, 运营, 运营, 云朗, 泉州, 大专, 15, 成长型, 移动互联网
新媒体运营, 14, 3, 市场与销售, 公关, 生意专家, 上海, 本科, 15, 成长型, 移动互联网 · O2O
新媒体运营, 7, 1, 运营, 运营, 英途, 北京, 学历不限, 15, 初创型, 企业服务
新媒体运营, 9, 1, 运营, 运营, 华康移动医疗, 深圳, 本科, 150, 成长型, 移动互联网 · 数据服务
新媒体运营, 8, 1, 运营, 运营, 九江银行, 九江, 本科, 2000, 成熟型, 金融
新媒体运营, 5, 不, 运营, 运营, 欧石传媒, 北京, 学历不限, 15, 初创型, 移动互联网 · 企业服务
新媒体运营, 7, 1, 运营, 运营, 银盒宝成, 杭州, 本科, 50, 成长型, O2O
新媒体运营专员, 7, 3, 运营, 运营, 3W Coffee, 深圳, 大专, 15, 成长型, 移动互联网 · 招聘
新媒体运营, 7, 1, 运营, 运营, 医攻略, 北京, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
新媒体运营, 6, 1, 运营, 运营, 对勾网, 杭州, 学历不限, 15, 初创型, 企业服务 · 招聘
新媒体运营, 9, 1, 运营, 运营, 好有钱, 北京, 本科, 50, 成长型, 移动互联网 · 金融
新媒体运营, 8, 1, 运营, 运营, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
新媒体运营, 5, 不, 运营, 运营, 华信六合众筹网, 郑州, 学历不限, 50, 成长型, 电子商务 · 金融
新媒体运营, 4, 不, 运营, 运营, 天狐网络, 济南, 学历不限, 15, 初创型, 广告营销
新媒体运营, 6, 1, 运营, 运营, 永利宝, 上海, 大专, 150, 成长型, 金融
新媒体运营, 8, 1, 运营, 运营, 杭州小知科技, 郑州, 学历不限, 15, 成长型, 移动互联网 · 教育
新媒体运营, 6, 不, 运营, 运营, 素剪, 杭州, 大专, 15, 初创型, O2O
新媒体运营, 7, 1, 运营, 运营, 谷瞰, 杭州, 大专, 50, 成长型, 移动互联网 · 医疗健康
新媒体运营, 6, 1, 运营, 运营, 永利宝, 上海, 大专, 150, 成长型, 金融
新媒体运营, 8, 不, 运营, 运营, 帆软软件, 南京, 本科, 50, 成长型, 数据服务
新媒体运营, 6, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
新媒体运营, 6, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
新媒体运营, 6, 1, 运营, 运营, 点投科技, 杭州, 大专, 15, 初创型, 移动互联网 · 电子商务
新媒体运营, 15, 3, 运营, 运营, 八点半网络, 上海, 本科, 50, 成长型, 移动互联网 · 数据服务
新媒体运营, 6, 1, 运营, 运营, 永利宝, 上海, 大专, 150, 成长型, 金融
新媒体运营, 5, 1, 运营, 运营, 珍岛集团, 上海, 本科, 500, 成长型, 移动互联网 · 广告营销
新媒体运营, 8, 不, 运营, 运营, 帆软软件, 南京, 本科, 50, 成长型, 数据服务
媒体运营, 7, 1, 运营, 运营, 普益投, 广州, 本科, 150, 成长型, 金融
新媒体运营, 4, 1, 运营, 运营, 思可达, 苏州, 学历不限, 50, 成长型, 移动互联网 · 金融
新媒体运营, 6, 1, 运营, 运营, 东方机械网, 合肥, 大专, 50, 成长型, 移动互联网 · 电子商务
新媒体运营, 7, 1, 运营, 编辑, 问理财, 北京, 大专, 50, 成长型, 移动互联网 · 金融
新媒体运营, 7, 1, 运营, 运营, 大白, 杭州, 大专, 15, 初创型, 移动互联网 · O2O
新媒体运营, 7, 1, 运营, 运营, 大白, 杭州, 大专, 15, 初创型, 移动互联网 · O2O
新媒体运营, 5, 1, 运营, 运营, 米订, 杭州, 大专, 50, 成长型, 移动互联网 · O2O
新媒体运营, 7, 1, 运营, 运营, 多彩饰家, 北京, 本科, 150, 成长型, 生活服务
新媒体运营, 5, 1, 运营, 运营, 52校园, 郑州, 大专, 50, 成长型, 电子商务 · 金融
新媒体运营, 8, 1, 运营, 运营, 趣运动, 广州, 大专, 150, 成长型, 移动互联网  · O2O
新媒体运营, 5, 1, 运营, 运营, AAA教育, 郑州, 大专, 500, 初创型, 移动互联网 · 教育
新媒体运营, 4, 1, 运营, 运营, 母婴之家, 南昌, 大专, 150, 成长型, 电子商务
新媒体运营, 6, 1, 运营, 运营, 舍品, 杭州, 本科, 15, 初创型, 移动互联网
新媒体运营, 7, 1, 运营, 运营, 一丢丢海淘, 上海, 本科, 15, 初创型, 电子商务
新媒体运营, 4, 不, 运营, 运营, 微链科技, 杭州, 本科, 15, 初创型, 电子商务 · 企业服务
新媒体运营, 6, 1, 运营, 运营, 步传云, 厦门, 本科, 15, 初创型, 移动互联网 · O2O
新媒体运营, 12, 1, 运营, 运营, 宠宠熊, 上海, 本科, 150, 成长型, 电子商务
新媒体运营, 5, 1, 运营, 运营, 智驾科技ICARFORCE, 杭州, 大专, 15, 成长型, 移动互联网 · 电子商务
新媒体运营, 6, 1年以, 运营, 运营, 星光聚, 广州, 本科, 50, 成长型, 电子商务
新媒体运营, 4, 1, 运营, 运营, 夏微移, 武汉, 大专, 15, 初创型, 移动互联网 · O2O
新媒体运营, 6, 1, 运营, 运营, 没事找事, 杭州, 大专, 50, 初创型, 移动互联网
新媒体运营, 7, 1, 运营, 运营, 美妮萱, 杭州, 学历不限, 50, 初创型, 电子商务
新媒体运营, 6, 1, 运营, 运营, 微众传媒, 上海, 本科, 150, 成长型, 企业服务 · 广告营销
新媒体运营, 6, 1, 运营, 运营, 小九集团, 杭州, 学历不限, 50, 初创型, O2O · 金融
新媒体运营, 9, 1, 运营, 运营, 嗨美极, 杭州, 大专, 15, 成长型, 电子商务
新媒体运营, 6, 1, 运营, 运营, 粉铺, 北京, 本科, 15, 成长型, 移动互联网
新媒体运营, 12, 1, 运营, 运营, 银巴克, 北京, 学历不限, 50, 成长型, 金融
