职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
产品运营, 7, 3, 运营, 运营, 房星科技, 昆明, 本科, 50, 成长型, 移动互联网 · O2O
产品运营, 5, 1, 运营, 运营, 最鲜到, 杭州, 本科, 150, 成长型, O2O
产品运营, 7, 不, 产品, 产品经理, 嘀嗒拼车, 北京, 本科, 50, 成熟型, 移动互联网 · O2O
产品运营, 15, 1, 运营, 运营, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
产品运营, 9, 3, 运营, 运营, Dreamtimes, 合肥, 本科, 15, 初创型, 电子商务
产品运营, 6, 1, 运营, 运营, 福华中金, 上海, 本科, 50, 成长型, 移动互联网 · 金融
产品运营, 6, 1, 运营, 运营, 彩视, 北京, 大专, 15, 成长型, 移动互联网
产品运营, 9, 3, 运营, 运营, 大特保, 上海, 本科, 50, 成长型, 金融
产品运营, 6, 3, 运营, 运营, 灵犀金融, 杭州, 本科, 150, 上市公, 移动互联网 · 金融
产品运营, 17, 3, 运营, 运营, 河马牙医, 上海, 大专, 15, 初创型, 医疗健康
产品运营, 8, 不, 运营, 运营, 帆软软件, 南京, 本科, 50, 成长型, 数据服务
产品运营, 8, 不, 运营, 运营, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
产品运营, 22, 3, 运营, 运营, 平安科技, 深圳, 本科, 2000, 成熟型, 金融
产品运营, 4, 1, 运营, 运营, 便利客智能科技, 济南, 大专, 15, 初创型, 移动互联网 · 生活服务
产品运营, 12, 1, 运营, 运营, 洋葱数学, 北京, 学历不限, 50, 成长型, 移动互联网 · 教育
产品运营, 8, 不, 运营, 运营, 帆软软件, 无锡, 本科, 50, 成长型, 数据服务
产品运营, 6, 1, 运营, 运营, 聚居网, 长沙, 大专, 15, 成长型, 移动互联网 · 硬件
产品运营, 7, 应届毕业, 运营, 运营, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
产品运营, 8, 应届毕业, 运营, 运营, 帆软软件, 南京, 本科, 50, 成长型, 数据服务
产品运营, 15, 1, 运营, 运营, 达观科技, 上海, 本科, 15, 初创型, 移动互联网
产品运营, 4, 1, 运营, 运营, 一零二四, 郑州, 学历不限, 15, 初创型, 移动互联网 · 企业服务
产品运营, 15, 3, 运营, 运营, 卡咪网络, 杭州, 本科, 50, 成长型, 移动互联网
产品运营, 12, 1, 运营, 运营, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
产品运营, 12, 1, 运营, 运营, 易保互联, 杭州, 本科, 50, 初创型, 移动互联网
产品运营, 4, 1, 运营, 运营, 西安际宇星, 西安, 学历不限, 15, 初创型, 移动互联网
产品运营, 8, 3, 运营, 运营, 偶尔科技, 杭州, 大专, 150, 成长型, 移动互联网 · 电子商务
产品运营, 7, 1, 运营, 运营, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
产品运营（高级）, 15, 3, 运营, 运营, 墨齐, 深圳, 本科, 15, 成长型, 移动互联网 · 教育
产品运营, 11, 5, 运营, 运营, 时光流影, 合肥, 大专, 500, 上市公, 社交网络
产品运营, 4, 1, 运营, 运营, 图普科技（深度学习图像识别云）, 广州, 大专, 15, 成长型, 移动互联网 · 数据服务
产品运营, 12, 1, 运营, 运营, 爱客仕, 杭州, 大专, 150, 成长型, 移动互联网 · O2O
产品运营, 6, 1, 运营, 运营, 上海网萌, 杭州, 大专, 150, 初创型, 电子商务
产品运营, 8, 应届毕业, 运营, 运营, 帆软软件, 南京, 本科, 50, 成长型, 数据服务
产品运营, 10, 1, 运营, 运营, 云财经, 深圳, 本科, 15, 成长型, 金融 · 数据服务
产品运营, 6, 不, 运营, 运营, 易尔通网络, 厦门, 大专, 150, 初创型, 移动互联网 · 广告营销
产品运营, 16, 3, 运营, 运营, 51信用卡管家, 杭州, 大专, 150, 成长型, 金融 · 数据服务
产品运营, 10, 1, 运营, 运营, HuHu, 杭州, 学历不限, 15, 成长型, 移动互联网 · 广告营销
产品运营, 6, 不, 运营, 运营, 送个礼物, 上海, 学历不限, 15, 初创型, 移动互联网 · 广告营销
产品运营, 7, 3, 运营, 运营, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
产品运营, 8, 1, 运营, 运营, Synet, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
产品运营, 15, 3, 运营, 运营, 爱上租, 杭州, 本科, 500, 初创型, 移动互联网 · O2O
产品运营, 7, 3, 运营, 运营, 竞网智赢, 长沙, 本科, 500, 成熟型, O2O · 数据服务
产品运营, 10, 不, 运营, 运营, 人言, 杭州, 本科, 15, 初创型, 移动互联网 · 社交网络
产品运营（用户）, 11, 1, 运营, 运营, 空空狐, 北京, 本科, 15, 成长型, 移动互联网
产品运营, 15, 1, 运营, 运营, 智明星通, 北京, 本科, 500, 上市公, 移动互联网 · 游戏
产品运营, 9, 1, 运营, 运营, 美妮萱, 杭州, 本科, 50, 初创型, 电子商务
