职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
网店运营, 4, 不, 运营, 运营, 辉瑞制药, 泰州, 大专, 2000, 上市公, 医疗健康 · 其他
网店运营, 4, 1, 运营, 运营, 别早网络, 广州, 大专, 50, 成长型, 移动互联网
网店运营, 4, 1, 运营, 运营, 迈维电子, 杭州, 大专, 15, 初创型, 硬件
网店运营, 4, 1, 运营, 运营, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
网店运营, 3, 不, 运营, 运营, 九鱼娱乐, 成都, 本科, 50, 初创型, 文化娱乐 · 游戏
网店运营, 6, 3, 运营, 运营, 百星文化, 广州, 大专, 50, 初创型, 电子商务 · 文化娱乐
网店运营, 5, 1, 运营, 运营, 东阳光电商, 东莞, 大专, 2000, 成熟型, 电子商务
网店运营, 5, 1, 运营, 运营, 杰夫电商, 杭州, 大专, 150, 成长型, 移动互联网  · 电子商务
网店运营, 11, 3, 运营, 运营, 奥卓, 深圳, 大专, 15, 成长型, 移动互联网 · 硬件
网店运营, 4, 1, 运营, 运营, 好网, 西安, 大专, 50, 初创型, 移动互联网 · 电子商务
网店运营, 4, 1, 运营, 运营, 霆轩国际, 厦门, 学历不限, 15, 初创型, 移动互联网 · 电子商务
网店运营, 9, 1, 运营, 运营, 云家政, 上海, 大专, 50, 成长型, O2O
网店运营, 7, 1, 运营, 运营, 慧跑, 南京, 大专, 15, 初创型, 医疗健康 · 文化娱乐
网店运营, 6, 1, 运营, 运营, vsea, 宁波, 大专, 150, 初创型, 电子商务
网店运营, 9, 1, 运营, 运营, 上海翼成, 上海, 大专, 150, 初创型, 移动互联网 · 电子商务
网店运营, 4, 1, 运营, 运营, 购汽派, 长沙, 大专, 15, 初创型, 电子商务
网店运营, 3, 3, 运营, 运营, 微笑果, 武汉, 大专, 15, 初创型, 电子商务
网店运营, 6, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
网店运营, 5, 不, 运营, 运营, 乔德, 上海, 大专, 500, 成熟型, 电子商务 · 其他
网店运营, 4, 1, 运营, 运营, 韩游网, 青岛, 学历不限, 50, 初创型, 移动互联网 · 旅游
网店运营, 4, 1, 运营, 运营, 韩游网, 青岛, 大专, 50, 初创型, 移动互联网 · 旅游
网店运营, 7, 1, 运营, 运营, 美柚, 杭州, 大专, 150, 成熟型, 移动互联网
网店运营, 11, 1, 运营, 运营, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
网店运营, 4, 1, 运营, 运营, 豫米传媒, 深圳, 学历不限, 15, 初创型, 移动互联网 · 广告营销
网店运营, 10, 1, 运营, 运营, 朗诗, 上海, 学历不限, 150, 成长型, 生活服务 · 硬件
网店运营, 6, 1, 运营, 运营, 领耀东方, 深圳, 本科, 150, 上市公, 硬件
网店运营/店长, 8, 不, 技术, 后端开发, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
网店运营, 6, 1, 运营, 运营, 维他购, 长沙, 学历不限, 15, 初创型, 移动互联网 · 电子商务
网店运营, 6, 1, 运营, 运营, 维他购, 长沙, 大专, 15, 初创型, 移动互联网 · 电子商务
网店运营, 7, 3, 运营, 运营, 笨瓜网, 上海, 本科, 15, 成长型, 电子商务
网店运营, 4, 1, 运营, 运营, 韩游网, 青岛, 学历不限, 50, 初创型, 移动互联网 · 旅游
网店运营, 6, 1, 运营, 运营, 光点商贸, 成都, 大专, 15, 初创型, 电子商务 · 其他
网店运营/店长, 6, 不, 运营, 运营, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
网店运营, 2, 不, 运营, 运营, 永安信（忻州）基金, 忻州, 大专, 15, 初创型, 金融
网店运营, 2, 不, 运营, 运营, 永安信（忻州）基金, 忻州, 大专, 15, 初创型, 金融
